Abundances (Grouped): Total Proteins,Abundances (Grouped): No Wash,"Abundances (Normalized): F1: Sample, Total Proteins, Total1, 1","Abundances (Normalized): F2: Sample, Total Proteins, Total1, 2","Abundances (Normalized): F7: Sample, No Wash, MF1, 1","Abundances (Normalized): F8: Sample, No Wash, MF1, 2","Abundance: F1: Sample, Total Proteins, Total1, 1","Abundance: F2: Sample, Total Proteins, Total1, 2","Abundance: F7: Sample, No Wash, MF1, 1","Abundance: F8: Sample, No Wash, MF1, 2"
63.1,136.9,26237950.73,28814800.86,56623810.39,62839676.56,9554873.5,13664609.28,53336723.63,62839676.56
,200,,,6940459.104,7696636.5,,,6537556.313,7696636.5
30.9,169.1,669294.9108,850275.4271,4099089.547,4167322.25,243732,403219.2188,3861132,4167322.25
65.4,134.6,24646921.4,26653743.19,51115944.13,54438447.84,8975480.539,12639788.43,48148596.25,54438447.84
188.7,11.3,69937406.29,70618398.13,4525429.22,3918837.734,25468569.44,33488790.13,4262722.094,3918837.734
68.5,131.5,1981490.082,2305148.764,3757930.967,4470026.375,721584.0625,1093152,3539778.125,4470026.375
,200,,,4821020.595,4462940,,,4541154,4462940
31.3,168.7,633949.3249,1085999.732,4245445.45,4713546.75,230860.4688,515004.8438,3998991.75,4713546.75
21.9,178.1,78494.57919,116847.8181,646244.7329,941760.1875,28584.76953,55411.79297,608729.375,941760.1875
,,,,,,,,,
2.8,197.2,270810.6055,402716.3627,22216814,23650467.08,98619.02344,190976.9141,20927098.69,23650467.08
17.1,182.9,30264.92723,,313347.0529,334021.3438,11021.34668,,295156.8438,334021.3438
56.5,143.5,6251462.626,5844074.403,15904336.16,14823023.25,2276547.25,2771388,14981068.5,14823023.25
2.6,197.4,115028.726,159650.8997,8855909.59,11909525.88,41889.12988,75709.95117,8341812.375,11909525.88
125.7,74.3,2080416.773,,1227794.925,1229598.406,757609.4375,,1156519.813,1229598.406
144.5,55.5,1762385.877,1867852.02,518024.2394,939686.25,641794.5625,885776.3125,487952.25,939686.25
22.8,177.2,142535.5255,266374.2667,1412982.893,1618228.094,51906.07031,126320.5078,1330957.375,1618228.094
,,,,,,,,,
13.5,186.5,179236.3836,214341.1185,2600485.349,2810815.125,65271.14063,101645.25,2449523.75,2810815.125
114.8,85.2,4939349.663,4965096.102,3620406.357,3725250,1798725.125,2354557.25,3410237,3725250
39.5,160.5,704475.6493,735769.628,2734382.987,3130026.313,256543.5,348918.0625,2575648.453,3130026.313
157.4,42.6,3268708.069,5020613.626,1113595.274,1080619.688,1190340.375,2380884.875,1048949.602,1080619.688
,200,,,1428428.665,1764060.375,,,1345506.5,1764060.375
106.8,93.2,1418651.332,1195564.9,1142224.977,1131802.297,516619.3867,566963.0449,1075917.313,1131802.297
75.9,124.1,33071482.38,35954953.2,52819705.27,60211241.25,12043388.37,17050625.81,49753451.81,60211241.25
,200,,,314575.9216,267322.8438,,,296314.375,267322.8438
,200,,,2756293.134,2656734.875,,,2596286.688,2656734.875
,200,,,2032466.348,3290275.25,,,1914479,3290275.25
,200,,,1878229.576,1511837.125,,,1769195.875,1511837.125
98.4,101.6,1197016.881,1451927.005,1478995.844,1251386.25,435908.4668,688535.5664,1393138.188,1251386.25
,200,,,1036436.106,982194.8125,,,976269.625,982194.8125
12.7,187.3,,786431.3685,11122797.15,12029918.5,,372942.9688,10477104.13,12029918.5
31.3,168.7,8325928.67,1579434.16,19316498.79,19849937.88,3031989.656,749002.25,18195150.59,19849937.88
,,,,,,,,,
4.6,195.4,53825.25532,89118.99833,2355477.576,3647098.75,19601.13086,42262.17969,2218739,3647098.75
103,97,8717068.53,12134967.07,8981009.227,10452317.38,3174428.063,5754667,8459649.813,10452317.38
,200,,,1433159.019,1418696.375,,,1349962.25,1418696.375
148.5,51.5,92125341.82,105109460,31894629.27,36555873.22,33548579.93,49845206.61,30043104.03,36555873.22
97,103,56553027.64,56156930.09,55191582.47,65005584.47,20594482.81,26630845.44,51987638.42,65005584.47
,,,,,,,,,
123.7,76.3,11779836.62,10609041.22,6339287.998,7488655.906,4289772.854,5031039.563,5971283.98,7488655.906
48,152,358106.4942,300040.3866,1045387.562,1032489.875,130408.8984,142285.7188,984701.4375,1032489.875
1.8,198.2,,19276.66814,1990161.363,2177448,,9141.417969,1874629.875,2177448
