msInspectTop3normPeakIntensity,msInspectTop3normAreaIntensity,msInspectAllnormPeakIntensity,msInspectAllnormAreaIntensity,msInspectTop3absPeakIntensity,msInspectTop3absAreaIntensity,msInspectAllabsPeakIntensity,msInspectAllabsAreaIntensity,msBIDTop3normPeakIntensity,msBIDTop3normAreaIntensity,msBIDAllnormPeakIntensity,msBIDAllnormAreaIntensity,msBIDTop3absPeakIntensity,msBIDTop3absAreaIntensity,msBIDAllabsPeakIntensity,msBIDAllabsAreaIntensity
0.033228858,0.033778671,0.036948634,0.037331574,61969814.65,2216035.802,69614532.84,2496214.35,0.013466263,0.010633449,0.018076465,0.018510012,251942158.2,31731152.34,339166175.1,55399688.16
9.40E-05,7.27E-05,9.40E-05,7.27E-05,208138.28,15807.34661,208138.28,15807.34661,0.000230927,0.000153687,0.000230927,0.000153687,2751503,642372.8814,2751503,642372.8814
NA,NA,NA,NA,NA,NA,NA,NA,3.17E-05,3.12E-05,3.17E-05,3.12E-05,636138,146617.6471,636138,146617.6471
0.000153253,0.000161652,0.000153253,0.000161652,153394.129,14441.19559,153394.129,14441.19559,0.002081391,0.002501138,0.002093073,0.002534561,12697058.2,5441911.765,12768323.29,5514632.353
0.000649654,0.000628101,0.000649654,0.000628101,1393164.09,100000.5732,1393164.09,100000.5732,0.000928364,0.000640837,0.000928364,0.000640837,14325260,2809411.765,14325260,2809411.765
0.003577928,0.002699726,0.003577928,0.002699726,7111088.7,318818.3349,7111088.7,318818.3349,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.004812421,0.003134134,0.005215621,0.005833935,10821455.1,460379.7868,11640449.86,902555.2639,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.000715805,0.00200639,0.000715805,0.00200639,628034.766,195500.2181,628034.766,195500.2181,0.000443613,0.000638147,0.000443613,0.000638147,3591889.86,2380495.05,3591889.86,2380495.05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.000167977,0.000117764,0.000167977,0.000117764,356473.44,9108.696429,356473.44,9108.696429,NA,NA,NA,NA,NA,NA,NA,NA
1.69E-05,1.29E-05,1.69E-05,1.29E-05,37379.71,1815.308415,37379.71,1815.308415,NA,NA,NA,NA,NA,NA,NA,NA
0.000407524,0.000397139,0.000407524,0.000397139,1240816.5,99268.48667,1240816.5,99268.48667,0.000547275,0.000340318,0.000547275,0.000340318,10984942.2,2173333.333,10984942.2,2173333.333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.003178827,0.001940871,0.00419559,0.00280018,10133719.9,205842.3129,13800008.3,308774.0396,0.003460453,0.001804342,0.005206678,0.002727993,93127700,6280575.54,140110742.8,9486498.801
0.020145661,0.022184009,0.020145661,0.022184009,5941506.002,1204745.111,5941506.002,1204745.111,0.012711272,0.008151202,0.012711272,0.008151202,32181497.34,20000000,32181497.34,20000000
0.00580604,0.008196043,0.005849845,0.008305596,5161283.38,692425.25,5205128.747,703705.1695,0.014106202,0.013760637,0.015874321,0.019159486,117395762.8,44363559.32,130264913.4,61237288.14
0.00818104,0.006533246,0.008276193,0.006748501,3293452.16,97876.85897,3321515.303,100237.3093,0.00529531,0.002328485,0.005367044,0.002373446,13527873.81,1168173.077,13709485.61,1190448.718
0.069471663,0.037257641,0.133609992,0.088318179,16427243.98,107492.8189,78957732.02,494057.2369,0.012617888,0.006499341,0.055449577,0.037383829,109126393,1511435.832,474794435.9,9747897.078
0.001475161,0.001117188,0.001475161,0.001117188,1476524.15,25658.54405,1476524.15,25658.54405,0.001654406,0.001302122,0.001654406,0.001302122,10709080.76,786956.5217,10709080.76,786956.5217
0.000890752,0.000695103,0.000890752,0.000695103,2903760.9,38062.33913,2903760.9,38062.33913,1.26E-05,8.31E-05,1.26E-05,8.31E-05,247231.66,105097.4513,247231.66,105097.4513
0.008011686,0.006035683,0.008172817,0.006171785,7594413.12,164602.822,7727567.24,167419.5582,0.005380078,0.003678843,0.005669244,0.004052871,50285200.5,3694243.07,52593010.41,3994008.529
0.008011686,0.006035683,0.008172817,0.006171785,7594413.12,164602.822,7727567.24,167419.5582,0.005380078,0.003678843,0.005669244,0.004052871,50285200.5,3694243.07,52593010.41,3994008.529
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.000273952,0.00024072,0.000273952,0.00024072,238771.52,16684.87092,238771.52,16684.87092,NA,NA,NA,NA,NA,NA,NA,NA
0.002864702,0.002299358,0.004081939,0.003699411,6342669.23,355389.0711,9037726.42,571781.4964,0.003313158,0.00197684,0.005046016,0.00391617,39476369,5873493.976,60123419.62,11635542.17
