Abundances (Grouped): 1000uL,Abundances (Grouped): 200uL,Abundances (Grouped): control
51070.9,50092.3,44632
23067.2,23840.4,20452
53287.2,56672.2,52468.6
36187.2,39081.8,35592.6
36421,39751.7,36902.3
18012.3,17663.1,16582
18972.9,21396.9,22731.7
7523.3,7920.1,7086.3
12063.6,12769.2,11143.5
14459.7,13779.5,15059.1
12675.6,11477.3,11975.7
15992.4,15444.5,17251.6
12109,12756,10637.6
15650.7,15291,16226.5
6695.3,6345.9,6225.9
9940.2,10668,11811.2
6162.6,5735,6277
5697.1,5714.1,5514.9
21793.6,19464.3,22998.4
22884.9,22018.4,21406.4
6019.7,6317.1,6587.7
7690.4,8268.7,7777.8
18454.3,17540.9,17095.9
12327,15423.6,12282.3
5226.8,5193.9,5010.3
25119.9,22713.1,23432.5
17911.7,16956.3,16400.7
39989.8,41478.3,33810.2
3466,3396,3294.2
9406.6,9859,10124.8
5040.3,5133.2,5377.1
7685.7,7413.9,7978.9
4744.6,4464.2,4561.8
8761.8,8897,9038.5
13079.4,13396.7,13117.8
7871.8,8731.8,7224.8
17658.5,17072.7,15552.8
3521.6,3260.3,3788.4
11234.9,11071,11995.2
4032.9,4020.8,4288.6
12769,12833.5,13487.8
7417.1,6776.1,7460.1
5203.8,5118.9,5018.4
13258.8,13052.9,12624.3
3605.7,3785.6,3904.1
2353.6,2485.4,2311.5
5849.6,6217.2,5894.6
4397.7,4215.4,4402.9
5097.3,5224,5073.3
11431,11013.2,11154.5
3808.2,3635,3610.7
2734,2672,2480.6
5641.4,6450.5,5101.7
8924.3,7778,6478.7
2592.1,2351.7,2742.8
5634.9,5769.5,5640.7
4879.6,5118.2,4745.7
3520,3301.1,3384
7168.6,6953.2,6583.7
5875,5329.8,5381.8
5316.5,5471.5,4733.9
4421.1,5080.2,5015.8
4551.9,4542,4495.4
19952.2,19336.8,19305.1
3433.3,3496.8,3283.1
3715.1,3699.7,3395.8
2187.6,1937.5,2418.9
8701.7,8462.6,9120.7
4943.7,5805.6,5122
4422,4422.8,4469.7
4489.7,4340.7,4536.8
2367.3,2593.1,2344.8
8949.6,8347.2,8440.3
2711.3,2905.9,2542.3
8751.9,8996.4,7889
7755.4,7182.7,6675
11758.4,10803.9,14958.2
4553.4,4369,4864.5
1756.7,1678.6,1822.2
3229.5,3015.6,3269.2
10384.5,10954.5,10451.6
3034.7,3165.5,2969.9
5660.8,5542.8,5368
1140,1439.8,1354.5
6959.8,8143.7,7808.3
1716.1,1781.8,1922.3
6332.5,6205.3,6877.2
3133.3,2946,3307.7
13909.5,12757.6,14576.5
5075.3,5145.8,5216.5
5469.4,4995.5,5561.5
3324.7,3261.3,3372.8
4984.4,4608.3,5033.3
5549.7,6304.9,5284.3
5534.1,4797.2,5259
3146.5,2898.4,2989.2
9080.3,9112,8612.6
4570,4475.2,4301.8
7253.7,6679,6797
5566,6303.3,5202.2
1345.6,1361.4,1250.7
2451,2426.4,2251.1
2180.6,2488.8,1941.3
2084.5,2387,3726.8
1318.8,1228.6,1973.4
6268.3,6683,7677.5
2956.9,3068.5,3294.5
4409.7,4200.8,4737.8
6267,6161.7,6607.5
3978.3,3904.7,4131.3
4823.6,4794.5,4919.7
6167.6,5709.1,6229.5
1369.5,1396.3,1310
2523.6,2530.7,2413.3
10344.1,11752.5,9626.5
4075.4,4003.9,3714.2
6920.3,6852.6,6136.2
2494.6,2432.6,2195.6
4401.3,3941.4,3835.4
1456.3,1451.1,1265.6
3599.9,3256.9,4061
2499,3425.5,2788.8
3525.9,4301,3911.3
5121.6,4881.5,5588.9
3399.5,3313.6,3672.9
2226.6,2064.4,2338.6
3302.2,3254.9,3459.6
4386.9,4703.4,4476.2
