LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48
0.27976014,-0.21649201,-0.16716783,-0.06399451,0.18752313,0.05966179,0.10323716,-0.27557055,-0.63107149,-0.10463267,0.1529619,0.16674452
0.04169489,0.32447587,-0.09334164,-0.12510029,-0.06679491,-0.20704397,-0.08383431,0.29998623,-0.06113853,-0.10395888,-0.18524456,-0.21358571
0.04380971,0.40906319,0.07595701,-0.32000484,-0.3064772,-0.12127925,-0.06701619,0.32029586,0.06152756,-0.25990279,-0.48351184,-0.00881594
0.37436101,-0.24647286,-0.79333706,-0.33493679,0.36161193,0.28353653,-0.02800817,-0.20743967,-0.57521531,-0.27943356,0.33691212,0.44552217
-0.0873185,0.17646134,0.15586735,-0.0355837,-0.22041755,-0.09152572,-0.07353669,0.34366739,0.11062283,-0.09323162,-0.31857311,-0.22000979
0.17431987,0.22289608,0.17211936,-0.31337081,-0.1241785,-0.25568983,0.01314554,0.3144725,0.19832404,-0.27169337,-0.32606397,-0.35593111
0.02301247,-0.18139168,-0.00660468,0.0133457,-0.01279199,0.01651107,-0.0936975,-0.34064177,0.08265627,0.11759096,0.04298363,0.20317911
-0.24514722,-0.1354602,0.03860388,-0.01052379,0.14876882,0.20207224,-0.11611144,-0.1888649,0.12141867,-0.03219147,0.02134442,0.19311426
-0.6100895,0.6670895,0.71927363,-0.11127284,-1.10562416,-0.99663212,-0.62661671,0.60012393,0.90459674,0.12203495,-1.14650236,-1.03389566
-0.29875404,0.96292461,0.2930957,-0.03770079,-1.56950282,-1.64221869,0.07255003,0.90486767,0.25359919,0.0911474,-1.30353172,-1.60879421
-0.03330437,0.22038539,0.21747332,-0.01180999,-0.1688554,-0.31542107,-0.13573997,0.24292718,0.22839427,-0.010594,-0.38037819,-0.20171809
0.28189013,-0.32699866,-0.25607394,0.01709162,0.11475597,0.25738431,0.09814644,-0.21363619,-0.26981065,-0.12175533,0.05188932,0.0528593
