6.5 hours LD,9.5 hours LD,11.5 hours LD,12.5 hours LD,14.5 hours LD,17.5 hours LD,21.5 hours LD,23.5 hours LD,24.5 hours LD,26.5 hours LD,30.5 hours LD,33.5 hours LD,35.5 hours LD,36.5 hours LD,38.5 hours LD,41.5 hours LD,45.5 hours LD,47.5 hours LD,48.5 hours LD,50.5 hours LD
0.218876936,0.212960962,0.165234222,0.366100229,1.397333271,2.13845443,2.451884454,2.193814992,0.790132635,0.36458601,0.379577097,0.400405468,0.45888092,0.470435406,1.213947765,1.482176762,1.890601508,2.519416678,0.744903475,0.595113771
0.225475833,0.457825523,0.392283463,0.461742659,1.107388477,1.325561861,1.588181014,1.61398688,1.487989957,0.950385934,0.353752893,0.503268792,0.456877741,0.451024361,0.750758054,1.27379635,1.769701423,1.823475783,1.568555898,0.943191764
7.954263981,2.237175219,4.313204007,2.593582099,3.163005885,0.878617805,0.980618314,0.978588257,0.923208937,1.047369686,-,-,-,-,-,-,-,-,-,-
0.55284069,0.51487286,0.562729911,0.774996962,1.780737892,1.879749595,1.77827941,1.681124974,0.58938625,0.340251462,0.772147021,0.762605617,0.61475207,0.804451749,1.155579955,1.58416349,1.596981922,1.618825363,0.62445335,0.592106734
0.340643417,0.252115763,0.250437869,0.738754263,1.370566145,1.403459873,1.630421899,1.704904276,1.534263665,0.775353943,0.463660394,0.438732695,0.413523314,0.818653268,1.244801205,1.432847598,1.568917113,1.729019933,1.298374568,0.747308634
0.974092052,0.227300295,0.173700073,0.519158537,1.261537022,1.483200967,1.876290156,2.335608247,0.526744488,0.48028608,0.18416199,0.162629752,0.145747126,0.276184944,0.582371348,1.35706297,2.671160599,3.176874071,0.923846888,0.413523314
1.122018454,0.44822905,0.532475954,1.037050726,0.625316661,0.473587248,0.887973489,1.6943378,2.584639636,0.799834255,1.649301295,0.735359995,0.494994074,0.71219677,0.688652296,0.739434994,0.803711162,0.727444727,2.179716441,1.166809617
0.794877127,2.579288964,1.780737892,1.109174815,0.477089655,1.334135683,0.902401898,0.733162089,0.67982949,0.547141932,0.751449846,1.019529978,0.983558056,1,1.16091387,1.206424088,0.944713236,0.962941713,0.938858192,0.921722099
0.500495296,0.957634977,0.706480209,0.859409203,1.903706532,0.894746483,1.092446053,1.102300489,1.020939484,0.779830111,0.841976558,1.126159747,0.942974611,1.151860804,1.088428738,1.069301067,0.89227762,0.886747556,0.950385934,0.817334818
0.477749235,1.267651866,0.817523038,0.745418213,1.229985524,0.891866805,1.19371321,1.100018528,1.026597022,0.912641052,0.70307232,1.008788215,0.813579506,1.153718881,0.931322296,-,-,-,-,-
0.402717034,1.622930791,1.941779894,1.41807761,0.510035024,1.464198643,0.771791516,0.507341046,0.558470195,0.546764111,0.944278279,0.950604794,0.85329657,0.998389489,0.94558375,1.041837535,0.991060119,0.958517398,0.912430933,1.07969229
0.530640019,1.090686657,1.009020524,1.161716078,0.913902783,0.945366046,0.944713236,0.902817565,0.922571427,0.737734341,1.020939484,1.066841742,0.953015579,0.819973845,1.087677138,1.022821857,0.872368549,1.167347076,1.047369686,1.27908675
