Rep1,Rep2,Rep3,Rep1,Rep2,Rep3
ND,ND,ND,ND,ND,ND
-0.0506,0.1272,-0.1125,ND,ND,ND
-0.0653,0.0502,-0.0899,-0.0420,-0.1230,-0.1831
-0.0132,0.0638,-0.0208,ND,ND,ND
0.1164,0.1933,ND,ND,ND,ND
ND,0.4884,ND,ND,ND,ND
0.0172,ND,ND,0.1524,0.0307,-0.1182
0.1505,0.3871,-0.0430,0.0186,0.1235,-0.1027
-0.0304,0.0459,-0.0514,-0.0231,-0.1058,-0.2164
-0.5920,0.5098,-1.7756,-0.0185,ND,-0.5600
-0.0129,0.1345,-0.1048,ND,ND,ND
-0.1569,0.3552,-0.2696,-0.2746,ND,-0.4827
0.0307,-0.2554,0.0403,0.0805,-0.1494,-0.1879
0.1593,0.0377,-0.0425,0.0973,-0.1424,-0.1786
ND,0.3294,ND,ND,ND,ND
-0.1621,0.1004,-0.1781,-0.0171,-0.0211,-0.1556
-0.0186,0.1608,-0.1077,ND,ND,ND
-0.0269,ND,ND,ND,ND,ND
0.0702,0.1976,-0.3276,ND,ND,ND
-0.1376,0.3391,-0.3391,ND,ND,ND
-0.1232,0.2099,-0.2652,-0.1867,0.1511,-0.5016
ND,0.0265,ND,ND,ND,ND
0.0609,0.2775,-0.0182,ND,ND,ND
ND,0.5858,ND,ND,ND,ND
0.2616,0.0102,0.0912,ND,ND,ND
-0.0223,0.2319,-0.0904,-0.0334,ND,ND
ND,0.0222,ND,ND,ND,ND
0.1292,-0.0062,-0.0163,ND,ND,ND
ND,0.5541,ND,ND,ND,ND
0.0250,0.0608,-0.0455,0.1512,ND,-0.1412
0.0976,0.2393,-0.0328,ND,ND,ND
-0.2305,0.2543,-0.1823,ND,ND,ND
-0.1513,0.7304,-0.3162,ND,ND,ND
0.0694,ND,0.0125,ND,ND,ND
-0.2231,0.1655,-0.2456,ND,ND,ND
-0.1164,0.3926,-0.3240,ND,ND,ND
-0.0344,-0.0849,-0.0689,ND,ND,ND
ND,0.1263,-0.3746,ND,ND,ND
ND,0.4974,-0.1261,ND,ND,ND
-0.0655,ND,ND,ND,ND,ND
0.4055,-0.4416,0.2364,ND,ND,2.9387
-0.0768,0.0363,-0.0607,-0.1236,ND,-0.1360
-0.1015,0.1688,-0.2291,-0.0408,ND,ND
-0.1075,0.1346,-0.1869,-0.1124,-0.0631,-0.2688
0.1131,-0.0504,-0.0282,ND,ND,ND
-0.0831,0.1238,-0.0159,ND,ND,ND
-0.0731,0.1250,-0.1766,ND,ND,ND
-0.0167,0.0489,-0.0514,ND,ND,ND
-0.0880,0.1230,-0.1365,-0.0389,0.0911,-0.0741
-0.0793,-0.0361,-0.1655,ND,ND,ND
-0.0411,0.1812,0.0254,ND,ND,ND
-0.1878,0.0900,-0.2749,-0.0481,-1.2296,0.0140
-0.1336,0.0576,-0.0835,ND,ND,ND
-0.0783,ND,-0.1593,ND,ND,-0.0682
0.0703,0.1263,0.0178,ND,ND,ND
-0.1756,0.2156,-0.2399,-0.0056,ND,0.0238
0.0050,0.1295,ND,ND,ND,ND
-0.0940,0.0099,0.0448,-0.1422,ND,-0.0740
-0.1065,0.0371,-0.1281,ND,ND,ND
-0.2337,0.0987,-0.2719,ND,ND,ND
-0.0991,0.2135,-0.1109,-0.1490,ND,-0.3235
-0.0670,ND,-0.0554,ND,ND,ND
-0.0773,0.2003,-0.0204,-0.0287,-0.1063,-0.0269
-0.1615,0.1916,-0.2110,ND,0.0868,ND
-0.0799,0.1012,-0.0794,ND,ND,ND
-0.1283,0.1409,-0.2442,-0.3015,0.0482,-0.3738
0.0240,0.1328,-0.0762,ND,ND,ND
ND,0.2046,-0.0239,ND,ND,ND
-0.1597,0.1777,-0.0457,ND,ND,ND
0.0434,-0.0225,0.0007,0.0745,ND,-0.0377
0.0297,0.2195,ND,ND,ND,ND
-0.0666,0.1603,-0.0094,-0.0051,ND,ND
-0.1197,-0.1335,ND,ND,ND,ND
-0.0559,0.0355,ND,0.0783,-0.0319,-0.0699
-0.0422,ND,ND,ND,ND,ND
0.0147,0.1012,-0.0020,-0.0734,ND,ND
0.0826,ND,ND,ND,ND,ND
-0.0994,0.2443,-0.3182,ND,ND,ND
-0.0740,ND,0.1810,ND,ND,ND
-0.0539,0.1998,-0.1503,ND,ND,ND
-0.0080,ND,ND,ND,ND,ND
ND,ND,ND,-0.0038,0.0868,0.0736
-0.0145,0.2640,0.4638,ND,ND,ND
-0.0305,0.2143,-0.1469,ND,0.2134,-0.6552
