PB03,PB08,PB23,PB13,PB11,PB12,PB14,PB10,PB01,PB04,PB24
0.056691027,0.044376146,0.040847881,0.045444558,0.044135464,0.040387277,0.044564727,0.068709791,0.069969738,0.056454321,0.053698267
0.001881666,0.002661504,0.002375998,0.003431308,0.004276572,0.004654288,0.005883015,0.010286819,0.003942006,0.004943272,0.007745784
0.004558746,0.005709595,0.004345648,0.004323147,0.005089676,0.004443092,0.002597911,0.003467667,0.003407062,0.003074772,0.003221279
0.003009419,0.002586918,0.002700689,0.001963171,0.002220223,0.002005235,0.003607114,0.002777534,0.002532967,0.003581081,0.004701946
0.013292146,0.007244388,0.005313495,0.007999159,0.010109429,0.012301599,0.004423744,0.005008562,0.007019259,0.006215048,0.004133887
0.00539033,0.003543042,0.003957168,0.006418062,0.005937098,0.004357559,0.0111453,0.013329618,0.004874492,0.008663774,0.005836277
0.000543532,0.000384242,0.000921944,0.000552057,0.000511117,0.00074102,0.000472495,0.000235869,0.000450471,0.000368031,0.000359881
0.000561578,0.000375012,0.000429385,0.000403732,0.000450056,0.000436572,0.000367148,0.000396456,0.000412128,0.000342784,0.000325935
4.20E-05,7.54E-05,8.73E-05,4.20E-05,9.24E-05,9.89E-05,4.19E-05,4.21E-05,4.20E-05,4.20E-05,4.19E-05
4.20E-05,4.20E-05,4.19E-05,0.000368428,4.20E-05,4.20E-05,0.000654552,0.000721616,0.000336591,0.001116507,0.000727806
0.000269246,0.000146585,0.000151178,0.000276332,0.000167419,0.000179549,4.19E-05,9.27E-05,4.20E-05,4.20E-05,0.000225632
4.20E-05,0.006984908,4.19E-05,4.20E-05,4.20E-05,0.000304078,0.024331857,0.002843663,0.002432216,0.022555707,8.35E-05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
