Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-2.09925,-1.23081,-0.35939,-0.10574,0.24072,-1.40047,2.88958,0.02963
-0.6345,-1.10749,-0.06028,0.29155,0.56798,-0.43949,0.86987,-0.09438
1.4582,5.77121,7.86115,0.25472,-0.04442,-2.45407,-1.23747,-1.78998
-1.10093,1.35623,2.37649,-0.39293,1.37957,-0.63571,3.11647,-0.19621
8.77859,2.5827,10.77178,1.63602,1.39876,1.11474,-2.95915,0.33685
-1.55102,0.17493,-1.167,0.24949,0.57301,16.38112,0.17947,0.51584
-0.03263,-1.43035,-0.65946,0.25482,-1.07288,-1.88518,0.10662,-0.0145
3.04277,0.16876,1.48274,-0.41361,0.46786,-0.25783,-1.02225,-0.53208
-0.13954,1.62628,2.09541,-0.2946,0.11188,-3.16389,-0.15702,-0.34355
0.25767,-3.13197,-0.90164,-4.27687,-0.0297,0.07646,-0.06748,-0.07427
0.49586,0.12122,0.45653,0.01418,-0.22342,-0.3825,-1.23033,-1.18202
0.09104,8.2526,0.80367,-0.75213,-1.21769,0.25935,-2.12786,-0.84026
0.19055,1.78343,1.7126,-4.16842,-1.24944,0.80685,-0.63236,0.15893
2.1631,-3.91914,0.01345,0.12116,-0.08903,-0.23043,0.66557,1.12719
0.11807,9.12218,12.68511,1.12279,2.75167,-1.46718,-0.03894,-1.34766
-0.46134,-8.54911,-7.0265,-7.40505,-0.63815,1.14021,1.19028,0.21039
-2.00921,-3.34882,-6.40382,-6.32092,-2.1701,-0.01444,0.87096,-0.29816
-0.03624,-2.40636,-1.54473,-3.85814,-0.08361,-0.40236,-0.07758,-0.01499
0.94319,-0.81317,0.22846,1.42605,0.22432,-1.67196,1.25003,0.04561
-1.25149,-3.69632,-0.36339,-2.06081,-0.15394,-0.07254,1.10374,-0.00943
-2.05204,0.33464,2.62629,-0.65749,-0.2893,-0.25417,1.21453,0.36986
-0.35789,-2.88397,1.67028,0.33627,0.46843,-0.45886,0.44794,0.0316
-0.45244,-0.89105,1.15673,-0.13695,-0.4107,0.21884,1.52551,2.99641
0.27027,-0.4191,0.08919,0.22451,0.03471,-1.55459,-0.00145,0.05656
3.04615,1.88883,0.3336,-1.29606,-0.15131,3.21487,-6.60896,-0.29826
1.44492,-0.60773,0.01756,-0.05401,-0.18088,0.18886,-3.57726,-0.63666
-3.28331,-3.3862,-3.24183,-0.41479,0.16005,-0.1019,4.1729,-0.35777
0.45789,-2.74389,-1.87007,0.11101,-1.1067,-0.10299,0.03814,4.55569
-0.22374,-6.61474,-7.47718,1.20052,-3.44962,-2.68945,0.32673,0.29188
-2.065,-0.33137,-3.13746,-1.36528,-0.55051,0.14933,-0.27796,-2.06603
-2.39907,-10.54932,-4.07225,4.23366,0.26927,-0.11611,0.95157,0.68191
-2.18367,-3.33797,-5.50755,-3.43462,-0.59325,0.70649,2.40636,-0.23147
-0.88318,-3.95734,-10.28588,-0.87721,-1.45065,2.91905,1.83969,4.95297
0.20236,-0.35836,-1.85992,-4.13548,-1.66085,3.35606,0.05666,-0.11552
-1.02504,-2.30719,-2.06437,1.70968,0.99539,-0.01521,4.97816,2.00767
0.20544,-5.46621,-8.17505,-1.15197,-4.71969,2.01025,0.63393,8.75426
