WTheart_1,WTheart_2,WTheart_3,WTheart_Flu_1,WTheart_Flu_2,WTheart_Flu_3,WTheart_Flu_4,WTheart_Flu_5,WTheart_Flu_6,WTheart_Flu_7,WTheart_Flu_8,WTheart_Spn_1,WTheart_Spn_2,WTheart_Spn_3,WTheart_Spn_4,WTheart_Spn+Flu_1,WTheart_Spn+Flu_2,WTheart_Spn+Flu_3,WTheart_Spn+Flu_4,WTheart_Spn+Flu_5,WTheart_Spn+Flu_6
25.2771,26.4097,25.6467,33.4129,33.3624,33.395,33.346,33.3616,33.3576,33.3221,33.3188,33.0757,32.7469,33.2891,33.293,32.747,32.858,32.9041,33.2642,32.8956,33.1618
21.661,21.9625,22.7041,27.2926,27.3277,27.4114,27.2185,27.3427,27.1108,27.2311,27.1038,27.6763,27.7278,26.4799,25.7215,29.1517,29.1811,29.193,29.466,28.8063,28.8994
22.2139,20.6939,22.0564,27.7662,28.0178,28.066,27.9679,27.7902,28.0834,28.0112,27.8887,27.6525,27.4031,26.6309,26.1927,27.13,27.1426,24.7301,25.3363,26.9364,26.5128
21.0404,19.699,20.7986,26.9267,26.905,27.1872,27.1588,27.1439,27.1652,26.9866,27.1798,26.391,25.3996,26.2709,25.8088,26.3453,25.3919,25.8397,25.3822,26.1014,26.5203
23.7584,25.0866,23.357,25.5743,25.3189,25.4399,25.3962,25.4262,24.4035,24.1305,24.012,25.5304,25.7117,24.6623,22.99,27.1776,27.4829,26.8352,27.1495,26.5007,26.3789
28.1713,27.9017,27.6778,26.8206,26.7829,27.0253,26.7448,26.7498,26.6382,26.6802,26.6455,26.6543,27.1417,26.9827,26.2971,27.2852,27.292,26.5795,26.3421,26.9817,26.9628
21.4842,23.2828,22.3146,19.3081,19.5018,18.1899,19.4454,19.1484,20.4838,20.2585,20.0404,25.872,26.0611,21.8541,21.3571,25.7185,25.8954,25.0835,25.9208,25.712,25.6384
25.6719,26.1654,25.9419,27.4648,27.4499,27.6276,27.726,27.2209,27.0008,26.9851,27.1174,26.453,26.0597,27.4554,27.2247,26.1496,25.9983,26.7667,26.604,26.8642,27.0081
27.4417,28.0284,28.0456,28.8491,28.7251,28.7219,28.7741,28.7856,28.8412,28.7812,28.7438,28.4481,28.3768,28.4883,28.5034,28.1924,28.0104,28.5521,28.4398,28.3971,28.4114
24.4866,25.2943,23.5846,27.846,27.776,27.9537,27.8081,27.8818,27.927,28.021,27.8362,27.9371,27.643,27.6239,28.1236,27.6136,27.7301,27.9482,28.0301,28.0281,27.9869
29.0031,29.0119,28.8709,27.9874,28.2268,28.2817,28.0938,28.1779,28.3265,28.1331,28.0532,28.3699,28.6724,28.2354,27.8664,28.1091,28.3493,27.6885,28.1428,28.0851,28.1865
20.9877,20.9536,21.7155,24.5967,25.017,25.5681,25.2273,25.0219,24.7727,25.3097,25.2287,23.9483,23.8788,24.1043,23.1978,23.5812,22.8365,22.7654,23.1785,23.3047,21.8862
22.8236,26.5514,24.7785,26.664,26.7433,27.0072,27.1301,26.7487,26.9718,26.9936,26.955,26.7933,26.4922,26.4424,26.3379,26.165,26.3671,26.2678,26.4853,25.5556,26.213
27.316,28.5454,28.7833,31.9571,31.8795,31.9955,31.8866,31.8649,31.8298,31.905,31.8094,31.7264,31.4488,31.6043,31.7513,31.1965,31.1165,31.2263,31.431,31.6027,31.4723
21.6104,28.2965,28.0766,19.0537,20.499,19.9272,18.6893,17.9688,19.7996,18.4083,19.724,19.3855,20.6158,20.2346,20.1187,20.9635,21.3729,20.3703,24.1146,18.5974,27.2089
22.4818,21.5292,20.4046,25.2982,26.0549,26.1701,25.8965,26.0766,26.2089,26.2738,26.008,26.1691,25.9247,27.9324,27.6759,26.2714,26.5611,27.1252,27.1317,27.5691,27.8604
26.7844,28.0582,29.4361,31.4891,31.5184,31.3805,31.3564,31.3891,31.3891,31.4503,31.406,31.5913,31.4738,31.5452,31.4921,31.1417,31.0042,31.273,31.6013,31.5538,31.2965
21.1302,21.5429,21.8832,19.8482,20.5087,18.8111,19.9546,18.2285,19.9277,18.8796,18.1105,23.3589,23.1046,22.2314,20.6598,22.1336,21.4042,20.3154,20.7012,20.9408,20.8034
22.8978,20.3364,21.4542,26.1421,26.4161,26.3345,26.3037,26.4853,26.4495,26.5295,26.2689,26.2265,26.026,25.5476,24.2165,26.9935,26.8435,25.4643,24.4791,25.3892,26.0577
20.6106,21.7584,22.8238,23.8304,23.7109,23.7087,24.1752,23.969,24.0245,23.5819,23.4715,24.29,23.9353,22.6302,21.1376,23.9238,23.7884,25.689,25.9001,25.0446,24.5789
21.6928,21.0118,21.6331,26.0831,26.1078,26.2302,26.4596,25.6773,25.729,25.8172,25.3597,26.0776,25.3863,25.1369,26.1669,25.7126,25.4241,25.6336,26.1771,25.8227,26.1139
29.4806,29.5349,29.5251,30.8554,30.8593,31.2388,31.0291,30.7142,30.7781,30.8717,30.7257,30.7916,30.3663,30.4518,30.3133,30.3289,30.2485,30.4595,30.4803,30.5669,30.3657
21.6683,23.0789,24.1845,24.8869,25.0885,25.0403,24.894,25.2781,25.0434,24.9403,25.0091,23.7765,23.8903,24.2454,23.327,26.7103,26.7652,26.1,25.8949,25.3343,25.5206
21.0374,20.8561,20.7079,25.5161,25.3226,25.1185,25.4256,25.3172,24.8294,25.0344,25.2306,19.7642,18.0419,22.3065,21.8779,27.3972,27.4073,24.7164,25.4484,24.6057,24.6752
23.1353,20.2378,21.4256,18.6097,18.9083,18.7198,19.145,20.1176,19.9502,20.8022,19.085,19.5587,20.5861,20.803,22.0118,24.543,24.8626,24.5116,23.8647,20.2216,20.7545
22.2979,21.7831,21.677,24.5958,24.6357,25.3685,24.886,24.9869,24.5865,24.6925,25.2714,23.4823,23.3312,21.2889,20.3865,26.8,26.7808,24.3325,23.6013,23.5289,23.6764
25.5061,25.4454,24.7758,24.0311,23.4211,23.77,24.4292,22.9878,22.7164,23.5617,23.0408,22.1203,23.7157,24.2418,22.3493,22.6858,19.9839,21.52,21.9416,20.4189,20.5441
26.7259,28.2787,27.1772,28.1375,28.1185,27.874,28.2837,28.1562,28.485,28.3113,28.3953,28.8932,28.5585,28.6319,29.7037,30.7239,30.6663,30.3934,29.7998,29.6363,29.3156
21.8683,22.865,20.9008,25.8636,26.9767,26.7178,26.5003,25.9129,26.2158,26.5729,26.365,26.1785,25.0725,24.7692,25.1291,25.0781,25.4115,26.3368,27.1581,25.4978,25.9058
