C1_lung,C2_lung,C3_lung,V1_lung,V2_lung,V3_lung,V4_lung,V5_lung
0.621458888,0.132443652,0.145912945,0.109749474,0.466437787,0.255558699,0.305319577,0.391496748
0.253458142,0.296543866,0.525649369,0.170592293,0.064820886,0.092081904,0.173460856,0.7105636
0.142905876,0.087516189,0.133348361,0.066831015,12.26317215,3.76906538,1.940370917,0.141016409
0.363500595,0.486804783,0.907493889,0.721860409,0.425798774,0.481260628,0.656716943,0.469661564
0.108008496,0.06568867,0.132317677,0.113922313,0.179561377,0.143149555,0.128081754,0.181145564
0.303253591,1.031248927,0.928331137,0.597080708,0.576618552,0.962684095,0.11383076,0.543472111
0.536626816,0.630755663,1.00878334,0.400084287,0.517201483,0.407411039,0.396721095,0.532568634
0.458008498,0.215985119,0.223804697,0.25656271,0.069931731,0.178478077,0.038881391,0.094950423
1.361675143,1.651109695,3.176041603,2.102406025,2.13663125,1.098357439,0.950643361,0.937659264
0.287784636,0.274452478,0.256090581,0.281422883,0.214157075,0.202343255,0.064774208,0.174946889
0.266950995,0.366251975,0.393186569,0.430273533,0.286172211,0.342393458,0.266688555,0.23711057
7.267849922,2.138613939,59.64772034,11.94008255,2.71121788,0.031940166,2.53870368,0.129510507
4.472404003,5.594979286,8.7539711,5.496130466,7.783771992,8.337895393,5.802090168,7.940384865
0.07810989,0.10941387,0.255547136,0.119140677,0.117465548,0.754790783,0.435978144,0.608715653
0.386800468,0.491405666,0.403835714,0.470078915,0.200315312,0.345880598,0.225781694,0.725750506
0.283025861,0.212017387,0.195962623,0.226718262,0.215929806,0.179895073,0.125318199,0.228037372
0.073764049,0.09071257,0.164662421,0.079063714,6.02228117,4.86149168,5.6727314,0.041529443
11.73948383,8.576318741,7.799476147,13.17408562,12.19941139,15.48494434,9.371541977,17.26387596
2.700540304,2.042953253,4.755652428,1.645199537,0.554897666,0.775550783,1.106080532,1.515009761
0.247661144,0.377121001,0.573210597,0.432687163,0.486582071,0.536533713,0.573395133,0.364556789
0.642570436,0.861459792,1.181040883,0.534595072,0.424362391,1.028712034,0.521721125,0.830395043
0.466692388,0.591998219,0.664361775,0.199383184,0.64122057,0.477121621,0.464374691,0.527116954
0.097046919,0.053051695,0.151329935,0.249367863,0.561484039,0.360252887,0.344919086,0.352693975
2.51022768,0.53719312,0.71505326,0.7613976,1.085096717,1.725361824,1.234262586,0.274168074
0.986028552,0.625565886,0.10144937,0.599609196,0.808155775,0.670023441,0.853832364,0.702810764
5.710150719,4.629172802,11.08204079,7.451153755,5.301990032,4.579259872,5.028707981,6.525417328
0.180451691,0.145878926,0.136700958,0.371331692,0.54526341,0.550580144,0.203569457,0.210821986
1.988344312,1.791195869,3.699822187,1.740479589,1.984164834,1.834539294,1.582388043,1.197819233
0.053378012,0.12329492,0.1850238,0.21929355,0.110527344,0.19215551,0.297385186,0.579687059
0.252346605,0.170315415,0.105284736,0.240330219,0.55896157,0.718485236,0.262209475,0.301529318
1.285372376,1.112885952,1.06573534,0.953183711,1.041689992,0.837635279,0.768988669,0.879672825
1.07333076,0.940005124,0.167949259,0.800360084,0.5070768,0.393853486,1.295655847,0.947111249
2.950135231,3.215134859,0.199960947,3.673511505,3.969310284,2.703917503,3.380119085,2.102768183
0.238224611,0.195108399,0.474116981,0.392536968,0.158127785,0.140490174,0.197727576,0.314500123
5.461984634,4.112039089,8.324612617,1.933415055,1.675973892,0.044192888,3.03697443,2.47461772
