run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3,run1,run2,run3
952.4754485,680.3319987,693.460473,426.3960099,667.1027423,813.9169662,1059.634319,930.788238,977.6335313,4461.139516,4723.304913,4153.522556,6051.441615,5969.426048,5876.034797,5496.036335,5883.249334,4753.034651
37819.88427,42588.60907,39368.90701,44127.91096,41347.59786,46638.65092,46652.04933,40780.17536,42708.797,46944.61569,46244.52547,43547.37822,47428.22675,43027.21261,40684.75346,50391.51336,50805.79734,49548.76039
1912.337996,2110.896881,2249.637169,2409.970595,2173.575663,2114.913957,2399.104088,1870.533313,2055.459698,3014.628246,2925.729176,2870.61027,3299.283444,2839.327006,3066.003129,3097.691404,3480.078805,3509.596504
12566.1405,13771.13875,13746.11319,15531.6324,15786.79992,17255.25295,15885.92961,13736.17693,14868.55559,259594.5358,257210.5031,257096.275,217672.0505,197127.5616,223946.1449,281117.429,259947.252,231650.8205
133446.5946,141695.0493,133668.5736,143487.893,143421.4527,153181.5024,151434.6727,146271.1521,145552.9936,304818.85,306112.7566,284796.4474,289581.7669,266707.7882,272282.6891,306137.3947,298522.8095,287586.0697
233545.261,237038.3357,227164.1431,218601.1384,178645.5241,194340.7939,259923.0902,250299.4682,246294.2572,538234.5207,523803.4644,454345.7947,399857.01,442035.86,490016.9922,507988.5732,480010.3547,480309.3013
1458134.911,1586150.535,1705693.446,1352759.951,1257673.164,1227585.299,1802806.256,1665363.453,1684632.455,4639575.548,4488207.425,4374792.103,2841953.913,2640804.405,3291854.988,4247711.468,4113198.162,4369167.254
43547.15545,44155.92778,50118.26286,55401.6445,49472.98506,61848.14727,50328.14547,45813.20688,41878.35615,267059.0376,267476.7973,266571.1813,340960.3562,326355.7551,316028.1808,265407.5905,247213.0721,255022.8717
8439.214337,9159.919085,7981.654734,6762.792644,6567.344986,7831.475993,8580.132563,7798.184259,8420.143203,17588.65761,13431.36492,12977.00593,11605.18126,10475.35447,11268.80352,12318.38432,11636.82377,12877.0472
30643.38702,27564.66433,31979.39529,30807.5931,30291.4475,31622.24725,25025.22784,26110.87561,25541.29453,112272.1481,107595.4918,118678.824,128242.361,118138.9727,100144.4492,109732.2621,113170.9715,91508.1429
26342.4259,27075.11055,27446.44459,26096.74835,25321.54991,25181.02853,25012.35386,24365.7428,22578.75611,56615.63575,55601.47886,52217.68509,48542.59412,46995.71638,47415.7095,48560.45116,45778.93344,46549.79909
2675.245113,2825.971515,2553.780768,2059.912495,1793.195139,1791.976476,1701.988246,2422.580022,2308.90064,4821.284613,5368.199907,5434.47169,2539.871019,2088.025699,2026.411374,3294.665109,3833.257988,3537.809676
8301.19792,8533.710588,8133.932221,7647.576728,7078.316091,7343.487479,6269.083287,5684.291297,5952.193299,9425.298248,9356.018202,9612.389087,8700.183257,7901.683255,7999.192874,6479.360754,6106.623395,6184.976715
9362.100699,9970.994496,11014.65699,9717.682975,9165.819121,10563.52905,6827.683876,6910.742406,6649.911136,5816.483768,5652.037632,5715.958796,4167.9497,3964.939894,3533.791313,3395.300042,3783.167831,3452.529213
130123.2158,146014.4299,138432.0335,136969.9637,128925.3866,138232.0743,100516.563,97011.80884,94118.493,155684.2484,149704.8368,139707.3763,120203.7408,118353.9212,117317.5101,84233.77201,88877.30047,86429.56893
2972.463946,3217.157681,3371.71177,2835.160127,2214.733725,2491.495154,2293.456965,2191.745656,2104.884316,2226.057972,2822.72148,2836.92198,1311.541179,1605.500849,1593.154937,1512.561695,1527.139799,1441.038274
32198.90888,35068.17753,34789.08394,15475.90521,11769.68148,13936.95325,18022.47063,15048.58793,17030.06901,37075.64641,43380.60447,37431.78481,21520.72293,19061.84305,18948.0643,21626.17436,19639.04802,20640.9146
8546.381075,8418.940493,8373.982372,5291.124655,5102.588877,5355.048361,3887.959206,4272.655923,4008.949934,37815.70632,37729.85633,31911.31819,20681.28612,19419.11982,19305.43984,18854.19776,16435.01238,18265.14142
