Bcells_H9_cyt,Bcells_H10_cyt,Bcells_H11_cyt,Bcells_H3_cyt,Bcells_H1_cyt,Bcells_H2_cyt,CLL1_cyt,CLL10_cyt,CLL11_cyt,CLL14_cyt,CLL15_cyt,CLL16_cyt,CLL2_cyt,CLL4_cyt,CLL8_cyt
20.3162,21.6952,21.3118,20.6014,20.7893,20.8115,19.4152,15.8252,19.8583,15.9982,16.0487,19.5597,19.8144,18.3033,18.3315
28.1077,27.3065,27.1849,27.8409,28.0329,28.1365,27.5722,27.2065,27.9372,28.0838,28.2514,28.5971,28.1359,27.7993,28.0887
25.4215,26.159,25.6356,25.0065,24.9925,24.923,15.714,22.1079,24.6451,23.5642,24.9783,24.8492,23.9092,24.3491,24.2711
21.2435,21.6223,18.5205,18.2594,22.0285,18.1651,18.0431,18.0453,16.0517,18.1796,18.2482,20.9842,18.2488,18.1712,18.1948
21.8966,23.1818,24.5515,19.7732,18.2005,17.9778,18.9791,18.721,22.0209,18.8434,18.9176,15.8609,20.2474,22.5098,18.2931
20.924,21.4089,22.5148,18.0768,18.0147,18.9547,18.7519,17.9465,21.1811,18.0825,18.1503,21.1923,21.9886,18.2647,20.6991
20.3267,20.4846,23.0024,19.0288,18.2289,18.7804,17.9395,19.7666,20.0787,20.2326,21.379,19.3108,20.0193,20.0285,21.0255
23.1615,21.0159,20.9758,17.137,23.1932,21.1399,22.8467,22.456,21.7585,23.4944,20.1191,20.9915,21.056,22.0128,22.0162
21.9584,20.8018,22.9437,22.0232,22.834,21.6037,21.8477,17.8296,22.2825,20.4331,18.0345,18.1208,18.3477,18.6394,20.7238
16.932,18.3025,18.3417,18.3192,18.983,17.0135,17.8168,16.6156,18.2457,17.9677,16.8317,18.8086,18.0254,15.975,18.6868
26.5538,25.9367,24.9779,25.9082,26.0502,26.0858,20.924,25.267,25.7901,24.8904,25.8603,26.5319,24.0293,24.8659,25.4403
24.0639,22.1504,23.0516,22.6076,22.7783,23.2112,22.9647,23.4737,23.4099,23.9283,24.1514,24.4755,23.5576,24.0046,26.1194
23.6075,23.8099,24.2762,23.3475,21.6713,23.3936,21.1095,19.7534,20.0272,20.3384,17.3207,18.0203,18.744,16.5569,20.9636
23.9452,22.635,21.8734,22.5519,24.457,22.8341,23.9112,24.6589,20.8447,20.6853,23.2418,25.0066,25.1824,23.5746,26.0191
24.2076,23.5709,19.9482,23.0988,25.4057,24.0056,21.8303,23.1502,23.7829,22.4711,25.7416,25.1009,24.3502,23.8886,21.2018
20.8173,20.724,19.2742,19.3594,17.059,20.1038,19.3317,21.5611,20.9071,21.0767,19.813,21.0814,16.5411,21.8658,19.086
23.9483,23.5202,22.9661,22.1122,23.6086,24.2621,23.5016,23.536,26.1479,24.3683,25.4885,26.3116,26.5776,23.8874,26.5814
24.1225,17.7171,17.8419,17.4699,18.2613,18.2265,19.2552,18.3156,19.1493,16.7748,21.37,21.2375,20.958,20.2751,19.9319
19.9603,20.7042,21.438,18.6979,18.6465,18.6151,20.8313,18.7932,19.4442,19.7638,16.7022,19.1953,17.3124,19.6116,20.2968
17.4859,18.1201,17.4212,21.9852,20.2063,21.9425,19.2836,21.2411,20.4459,21.7094,19.3412,18.7578,21.2868,17.2861,16.4983
25.8218,25.7454,25.3943,25.0199,25.2976,25.7726,23.034,25.2128,24.9291,25.3704,24.8565,26.0031,25.5693,25.3197,25.3024
19.9986,19.0713,18.7654,18.9594,17.3523,19.5407,16.5432,17.1091,20.309,24.0977,20.3948,16.591,19.4093,17.0691,16.65
25.8887,26.6764,25.6516,25.5236,25.4537,25.9439,25.4012,23.9546,25.5508,24.1228,26.838,26.5872,25.251,23.7841,24.8476
20.2787,22.074,19.461,20.9826,21.0135,21.9106,21.8045,20.9836,21.9586,22.1009,20.8371,22.0458,21.2104,20.3954,21.1525
23.7547,22.9356,23.492,22.5664,22.6806,23.2369,21.6965,22.6319,22.8281,22.4274,21.1822,22.2941,23.1086,22.8727,22.7968
20.6239,21.0987,20.5066,17.0937,20.7449,19.3138,23.3121,20.6817,19.9917,22.4677,20.6686,20.5503,17.419,20.0232,20.6767
17.5646,20.8416,17.297,26.4024,18.3125,16.0715,21.4889,23.5706,21.6621,17.2597,22.2014,18.0361,20.2198,20.1728,22.3195
21.6274,21.2162,22.0209,21.701,17.0149,22.4119,21.8015,21.4655,20.3785,21.2165,20.8902,21.6344,20.8945,22.0555,21.2206
22.3588,17.1812,19.898,19.5883,17.6462,18.3569,17.0609,16.4848,18.9134,19.4019,17.8139,18.4478,20.2173,19.9104,19.6925
21.6877,19.8772,21.4781,21.4924,25.9715,19.2939,20.071,18.8352,21.75,18.4885,18.9791,20.5329,20.5327,18.9616,20.398
17.2002,22.4148,21.2423,17.7144,18.6224,16.969,16.406,17.6069,18.148,16.6463,17.0724,17.9013,19.9945,17.3868,20.7505
19.4171,18.3622,18.9501,22.7108,19.8099,21.6108,21.2329,16.8585,19.7982,17.7489,20.2575,20.0958,14.9193,21.5456,18.5894
22.7668,21.6498,22.1618,21.318,21.0791,21.0217,23.191,22.0054,21.3261,22.0216,21.7397,22.8353,22.5475,21.5101,23.2804
21.063,18.7406,17.3787,18.6743,17.3815,20.2141,21.902,20.5872,20.7429,17.0135,16.8551,16.6654,21.1832,20.0669,21.6709
20.187,22.1315,21.0873,19.6665,20.3823,19.8859,21.0239,19.0715,18.7991,19.3167,18.1445,20.0014,19.5175,20.2011,20.5678
20.5961,17.1379,18.8705,17.6517,16.4572,17.606,21.8585,16.6392,18.0325,16.798,18.2806,21.1586,16.7319,15.0239,17.2646
22.071,23.9072,23.1832,17.4541,18.5655,18.5909,17.5832,17.1487,19.5527,17.2986,17.3599,17.1678,17.9223,18.1647,17.0366
22.1603,22.3021,21.1732,19.9904,22.2807,21.6568,16.798,20.4688,22.8827,21.2396,22.0245,22.5616,16.8029,21.8105,19.0618
18.7746,23.6529,24.1384,16.5454,18.5304,17.3388,24.1288,20.1678,16.8328,24.0839,16.0792,21.0804,16.9899,20.105,19.7992
19.3763,17.7581,19.3501,18.6183,18.5329,16.4064,16.568,19.2164,17.3205,16.0285,18.6183,20.3735,19.4619,19.2486,17.3705
17.8772,18.717,17.9868,19.6437,18.1586,18.5334,17.1025,19.7589,16.7035,18.398,18.4685,16.5323,16.2995,16.7373,14.8873
21.2079,17.4979,22.1612,18.5838,22.5407,22.056,25.4585,21.8655,24.8699,23.4867,18.3254,20.827,17.9249,21.6272,25.6787
28.1478,26.9746,31.2375,24.4188,24.9442,22.3909,20.2247,26.953,20.6832,25.6817,26.1486,26.8636,25.6104,23.3167,24.4319
17.9377,23.3149,21.8702,18.5862,18.2481,18.4981,15.7463,15.8559,17.8125,18.2561,17.5468,17.6746,17.9665,18.2779,16.6879
23.0407,22.2227,18.927,18.2182,16.863,18.5005,21.921,20.8295,21.233,22.5234,23.6348,16.9127,23.2758,23.2893,21.2813
20.0994,21.8577,20.3626,22.8365,22.6445,21.2142,23.3767,22.4897,22.3139,21.0358,22.159,22.3191,21.7676,21.3815,24.011
19.8089,22.8717,21.176,23.1338,23.8383,23.8903,23.5601,22.6416,22.1461,20.6065,25.1379,23.2002,21.8041,22.3425,23.3535
25.5067,24.9015,23.3216,24.5634,24.668,25.7736,19.6623,20.8163,22.7397,24.1414,22.9645,26.3414,24.0373,22.8779,25.2377
22.0139,21.0473,21.7978,18.3063,18.5017,18.1229,18.2764,18.2677,17.0728,17.484,18.593,16.6895,17.7954,17.8626,17.8704
21.8326,20.9504,20.2839,26.2266,26.5589,26.9076,18.1248,18.1232,16.8561,23.4072,28.5052,15.6899,22.4126,15.9381,16.7585
23.3152,20.8823,23.1834,23.6037,23.2166,22.872,24.7898,22.4162,23.5439,23.1217,23.4963,24.3252,19.2757,23.0218,22.3934
21.9756,21.4665,22.7699,20.1283,23.3695,18.2133,24.6488,22.4803,23.1223,22.4075,23.0695,22.368,22.8094,22.7966,23.4797
18.4481,16.59,17.7318,16.9444,17.7617,16.8158,17.3004,17.3374,21.9346,20.5048,17.7725,17.2081,17.0208,22.9583,16.9442
21.9769,20.9321,21.2691,22.2873,22.7845,24.0212,21.7794,22.7363,23.9967,23.8784,22.9553,22.8266,21.9751,23.4207,22.1033
21.6163,21.5241,21.4354,20.6046,20.7073,21.2725,22.908,22.6194,22.1728,22.3236,22.7928,21.6221,18.2892,21.5067,22.8016
24.4746,25.8441,25.6565,24.687,24.4118,24.61,23.2692,24.0239,24.0367,23.0524,23.6771,23.9818,25.6286,22.1575,23.2505
26.0991,25.5772,26.9864,25.0896,24.4772,24.8811,24.597,24.6404,24.7558,24.4804,24.8602,25.1612,24.7716,25.2603,24.9347
18.9378,21.1371,16.8416,18.5556,18.6181,18.0785,20.0876,19.0144,19.9294,21.4508,22.3655,19.9006,19.5638,16.8044,21.2005
19.1502,19.574,16.8562,22.2265,21.1559,23.3844,22.0237,21.6261,22.6289,23.6172,20.8902,21.0898,20.9527,18.9949,19.6882
29.7292,27.6816,30.0534,29.7632,28.9781,29.7366,29.9563,28.6341,29.0427,29.8384,28.6413,28.1477,29.0996,28.4548,29.2791
21.9422,25.1325,25.5919,22.7863,21.4641,23.0918,21.9802,21.915,18.6652,21.9126,21.9041,21.7514,21.0139,22.3505,23.1242
25.1233,21.7291,24.9018,21.7619,19.7524,23.7424,18.5415,18.1007,21.0497,21.9642,18.334,21.3584,20.8056,19.4761,21.9931
25.295,28.935,27.4265,26.6036,25.3864,25.8801,19.8109,20.8367,22.499,24.9386,18.3974,25.1292,18.9222,24.3597,22.8229
27.6215,25.8062,28.1378,26.9514,26.9872,27.1065,26.8883,25.6446,25.8184,26.9599,26.1019,26.7506,25.9305,25.5415,25.991
20.889,21.2711,19.9895,21.2405,20.7998,21.1543,23.5488,19.5414,20.9502,20.9456,20.7867,21.5046,21.4769,21.2814,21.2245
27.6092,27.2374,27.2109,27.5076,27.4708,27.3824,29.3281,28.1267,28.7225,27.7237,28.4485,28.0381,28.6527,28.0973,28.4009
24.527,24.957,24.2782,24.3059,24.9127,24.9845,24.9343,25.0974,25.4147,25.1568,25.0765,25.7366,24.5255,24.877,25.0439
24.4201,25.385,24.4319,24.2554,24.7417,25.2459,26.1266,24.9272,25.685,24.2761,25.8729,26.0607,26.3195,25.5037,25.2522
25.257,25.634,25.5446,24.9634,25.3458,24.9587,25.2696,25.2772,25.3496,24.8219,24.3289,25.9922,24.928,24.8271,25.4284
21.0009,22.9686,22.5025,17.8279,18.2442,21.9505,18.4082,24.1508,20.7541,21.9599,22.451,22.1385,18.5515,21.645,21.7973
25.7153,23.6545,24.1484,25.3953,27.1531,26.5035,21.2278,25.6794,26.1543,25.975,27.3822,26.1088,27.4238,25.7668,23.6515
26.5692,27.1495,28.1477,27.1697,23.405,26.686,18.8362,18.3559,17.6696,25.0065,19.0935,19.6661,17.4712,20.75,16.2583
26.8049,26.0981,25.1149,25.0351,26.641,25.9031,27.8501,25.921,25.8897,25.2649,25.6179,26.286,26.8665,24.586,21.4296
17.8715,18.6611,18.8721,18.378,18.4091,19.3858,17.5246,20.2256,19.0511,18.9326,18.7907,17.2158,17.1647,18.2195,17.9143
22.063,22.9403,22.255,20.9284,22.3353,20.4246,20.1097,20.5002,20.7855,21.7595,20.528,21.5269,22.2899,20.2575,20.1289
24.9563,24.325,24.0961,24.9738,25.0933,25.2022,26.1512,24.2309,24.3987,24.691,24.3468,23.1888,24.2889,24.3075,25.1904
25.0442,24.1011,23.678,27.716,24.1301,25.0872,25.4666,24.6221,24.8369,24.3606,24.405,24.9677,27.8681,24.7858,22.3217
27.442,27.7071,27.3236,27.6005,27.301,27.6511,28.7945,27.8022,27.7333,27.0666,27.5423,28.1868,28.0373,27.8839,28.0134
26.8459,26.3525,26.4298,26.6988,26.6213,26.823,25.9427,26.949,26.637,26.4697,26.3633,26.9486,27.3228,26.3033,27.0719
25.0595,24.2656,25.0475,25.8865,24.9253,26.0185,25.9555,25.1329,24.8623,24.7154,26.2276,25.6875,25.2075,24.9814,25.2407
23.5825,23.2504,24.1937,23.8139,23.5684,23.8322,26.5808,26.9965,28.2069,24.5502,26.8936,26.9643,28.2291,27.0344,27.0947
22.3638,22.4573,23.8874,22.4121,22.6632,18.4691,21.8741,18.3933,22.4313,18.5215,18.8741,19.6559,22.3485,20.6536,20.2637
18.4217,23.065,18.8383,18.67,18.6109,22.2837,17.5394,24.2805,24.474,24.6534,23.4793,15.8922,23.3149,16.9812,17.7444
24.3814,23.8952,25.0891,23.0473,23.0541,23.1245,23.6236,22.7022,22.2659,22.4254,22.9564,23.1516,22.3024,22.6967,23.8956
26.4064,24.0589,24.1632,25.1372,26.5444,25.9985,24.3666,25.9306,26.4772,25.7052,26.5698,26.886,26.9789,26.5747,24.4233
18.4227,17.8287,21.0525,20.0124,18.9768,20.4888,18.999,19.5855,20.4639,20.4288,20.2372,19.5818,19.9227,16.3285,19.7118
23.7507,22.7241,22.8685,26.2192,26.3628,26.3701,26.9083,26.4882,25.7632,26.137,26.7972,25.9832,26.5326,24.5211,26.4337
19.0216,18.6267,18.8336,18.3023,19.7857,19.8023,20.2789,20.2333,20.8923,19.0498,19.4608,18.6297,17.9083,21.3531,16.9749
19.0606,21.104,19.1282,18.6629,20.3406,19.5786,18.7059,21.3423,23.9287,18.4657,20.6619,19.2398,21.2218,22.3049,19.2011
28.2672,29.2934,28.674,30.4583,30.0205,30.4874,29.6564,29.7703,29.9207,29.6014,29.2652,29.8885,30.2275,29.3472,29.2674
26.181,26.1998,25.6473,25.2989,25.2183,25.8462,27.8881,26.1722,25.8484,25.9209,25.8376,26.995,25.1049,25.6944,26.1205
19.5958,17.1988,18.8407,17.1947,17.8221,17.7224,18.4939,17.5652,17.3596,17.7078,18.6739,18.3472,17.0535,17.9043,18.6442
25.3872,26.46,24.7519,24.9389,25.5327,25.3576,21.6547,24.958,25.0462,24.3509,24.5619,26.0591,23.7193,24.5894,24.6909
24.4367,23.6026,22.9706,24.6818,25.0911,25.013,26.5472,25.1139,25.4073,25.0535,24.7992,24.7721,23.9777,25.1259,25.0422
18.4603,20.6188,20.6181,21.0079,19.1636,18.9403,20.5691,19.6814,16.0821,19.2738,18.3251,18.2001,16.6649,22.8333,20.2381
22.4126,18.6219,20.0784,21.8808,22.2169,22.3138,18.1246,21.3657,18.4654,18.8003,19.5204,22.886,17.569,17.7426,18.235
17.6483,18.629,18.4802,20.3925,20.7392,21.205,22.5967,21.9231,18.3226,18.6018,17.7687,17.4002,20.6472,21.0003,20.7785
25.3933,26.0056,23.8038,29.5833,29.5306,29.2818,25.5481,18.6771,15.736,18.2559,22.4311,23.1013,17.7452,26.1981,18.4955
17.631,18.5357,18.5665,19.6494,16.6492,19.138,17.5353,19.1041,18.816,17.704,18.9618,18.4751,18.8791,19.411,17.8565
