Intensity,Intensity L,Intensity H,Intensity A,Intensity L A,Intensity H A,Intensity B,Intensity L B,Intensity H B
3129900000,2055600000,1074300000,1925500000,1587300000,338190000,1204400000,468340000,736070000
31758000000,20144000000,11614000000,19306000000,13068000000,6238000000,12452000000,7076500000,5375700000
6794100000,4060300000,2733800000,4387100000,2326500000,2060600000,2407100000,1733800000,673240000
87348000,75452000,11896000,NA,NA,NA,87348000,75452000,11896000
6080100000,4269300000,1810800000,1917800000,1044400000,873410000,4162300000,3224900000,937400000
828950000,360110000,468840000,809680000,345460000,464220000,19267000,14652000,4614600
21579000,21579000,NA,21579000,21579000,NA,NA,NA,NA
57513000000,34842000000,22671000000,32456000000,23315000000,9140700000,25057000000,11527000000,13530000000
2167000000,1444600000,722440000,1702800000,1165400000,537350000,464250000,279160000,185090000
596380000,350210000,246170000,105200000,53368000,51829000,491180000,296840000,194340000
NA,NA,NA,NA,NA,NA,NA,NA,NA
75910000,52940000,22970000,75910000,52940000,22970000,NA,NA,NA
3632600000,2539200000,1093400000,1772000000,1157700000,614340000,1860600000,1381500000,479110000
1191000000,718690000,472340000,916700000,513830000,402870000,274330000,204860000,69470000
NA,NA,NA,NA,NA,NA,NA,NA,NA
105860000,60814000,45050000,71863000,39420000,32443000,34001000,21394000,12607000
280180000,123810000,156370000,280180000,123810000,156370000,NA,NA,NA
760200000,420800000,339410000,638680000,338210000,300470000,121520000,82586000,38936000
46513000,38747000,7766400,NA,NA,NA,46513000,38747000,7766400
1299300000,861750000,437500000,1047900000,712990000,334920000,251340000,148770000,102580000
3357200000,1867700000,1489500000,1898100000,852330000,1045800000,1459000000,1015300000,443680000
1825900000,1162100000,663780000,1229200000,917930000,311220000,596770000,244210000,352560000
393940000,199170000,194770000,393940000,199170000,194770000,NA,NA,NA
5792600,5792600,NA,5792600,5792600,NA,NA,NA,NA
1802700000,1026900000,775810000,751540000,356580000,394960000,1051100000,670270000,380850000
10554000000,7230500000,3323200000,7016400000,5661900000,1354500000,3537300000,1568600000,1968700000
134790000,99509000,35276000,31347000,21483000,9863800,103440000,78026000,25413000
1918300000,1080900000,837390000,1157300000,698050000,459220000,761000000,382830000,378170000
736290000,389420000,346870000,269470000,159650000,109810000,466830000,229770000,237060000
NA,NA,NA,NA,NA,NA,NA,NA,NA
192100000,107280000,84821000,162180000,85355000,76824000,29918000,21921000,7996800
10505000,10505000,NA,10505000,10505000,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
453440000,379240000,74199000,197340000,167090000,30250000,256100000,212150000,43949000
NA,NA,NA,NA,NA,NA,NA,NA,NA
22027000000,13991000000,8036400000,12363000000,8475200000,3887800000,9664500000,5515800000,4148600000
1447300000,818210000,629120000,957310000,550630000,406680000,490030000,267580000,222440000
126730000,74077000,52651000,126730000,74077000,52651000,NA,NA,NA
261430000,139860000,121570000,208160000,121330000,86833000,53270000,18536000,34734000
182930000,108710000,74218000,88304000,56373000,31930000,94623000,52335000,42287000
11993000000,6964700000,5028300000,7399900000,4490600000,2909300000,4593100000,2474200000,2119000000
392740000,227480000,165260000,256710000,116400000,140310000,136030000,111080000,24954000
930300000,587200000,343100000,547780000,415590000,132190000,382510000,171610000,210900000
1016000000,470820000,545140000,1016000000,470820000,545140000,NA,NA,NA
909150000,584330000,324820000,491690000,356640000,135050000,417460000,227690000,189770000
553600000,337540000,216060000,212540000,126400000,86139000,341060000,211140000,129920000
11391000000,7230200000,4161200000,5936800000,3812900000,2123900000,5454600000,3417300000,2037300000
608890000,393930000,214960000,151050000,95120000,55934000,457840000,298810000,159020000
86925000,69407000,17517000,NA,NA,NA,86925000,69407000,17517000
256740000,190320000,66414000,NA,NA,NA,256740000,190320000,66414000
20871000,16513000,4358300,20871000,16513000,4358300,NA,NA,NA
211910000,148660000,63252000,112660000,79811000,32846000,99254000,68848000,30406000
487640000,291930000,195710000,376650000,232150000,144500000,110990000,59775000,51215000
76947000,59944000,17002000,NA,NA,NA,76947000,59944000,17002000
3179100000,1886400000,1292600000,1962700000,1106200000,856490000,1216400000,780260000,436130000
1850800000,1805600000,45197000,1850800000,1805600000,45197000,NA,NA,NA
20150000000,13175000000,6975600000,15118000000,11228000000,3889400000,5032800000,1946600000,3086200000
4173700,3470600,703070,4173700,3470600,703070,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
78933000,64716000,14218000,NA,NA,NA,78933000,64716000,14218000
