Ctrl_p1,45I_p1,120R_p1,Ctrl_p3,45I_p3,30R_p3,120R_p3,Ctrl_p5,45I_p5,30R_p5,120R_p5
0.2215538,0.5950165,-0.302166,0.869112,0.7296753,-0.5826187,0.210783,0.377943,0.1913738,-0.5511303,0.1460991
-0.7324734,-0.6596794,-0.7201099,0.1853008,-0.03634071,-2.163505,-0.8470364,-0.2955208,-0.6713829,-2.418727,-0.1937485
-1.640116,-1.284739,-2.588204,0.1853008,-1.362005,-3.295581,-2.814415,-1.428083,-1.943949,-3.818424,-1.950245
-0.861248,-0.7202091,-0.922905,0.1853008,-0.6002426,-1.183289,-0.8630543,-0.4131737,-0.8218098,-1.443846,-0.5447674
-1.344784,-1.031254,-1.560236,0.1853008,-2.452837,-3.826852,-1.934067,-1.778013,-1.966118,-3.00941,-1.877499
-0.2281265,0.08220863,-0.6149712,0.1853008,0.2345505,-1.097713,-0.4089184,0.554903,-0.03035736,-0.8975773,0.06734085
1.270239,1.545004,0.8101978,0.1853008,1.522215,0.6614952,0.8820057,1.474754,1.244083,0.4016724,1.318235
-0.3198566,0.7008076,-0.1183281,0.1853008,-0.2073631,-0.8599644,-0.2302341,0.04278755,0.4138298,-0.5500717,0.216217
0.000188828,0.3142872,0.2846794,0.1853008,0.2541733,-2.368321,-0.2029572,0.4301987,0.5196838,-0.3954315,-0.1030903
-0.3306866,0.4270668,-0.8727779,0.1853008,-0.1867218,-0.8659191,-0.7533951,-0.3622208,0.08843231,-1.013256,0.0772438
-1.497288,-1.703386,-1.890709,0.1853008,-1.298561,-3.586025,-1.691801,-1.559835,-1.743898,-2.649114,-1.373596
-3.955511,-1.046312,-1.503681,0.1853008,-0.7359066,-4.578549,-2.938722,-3.512377,-1.05896,-3.739459,-0.8801441
-3.554424,-2.002096,-1.649895,0.1853008,-2.574633,-3.991725,-1.859381,-1.649405,-1.77487,-3.626738,-1.335926
-2.334057,-1.636744,-1.874577,0.1853008,-1.895609,-3.19661,-1.778294,-1.843369,-1.152407,-2.759861,-1.282063
-1.216909,-0.2985325,-1.209227,0.1853008,-0.4711418,-3.58954,-1.27898,-0.589098,-0.7130699,-1.587822,-0.3288441
