old_1,old_2,old_3,old_4,young_1,young_2,young_3,young_4
32.32026,31.61021,28.76582,31.48424,NaN,NaN,NaN,NaN
30.14662,31.20332,31.60245,31.87592,NaN,NaN,NaN,25.65832
28.3993,29.08654,29.49956,29.66718,NaN,NaN,NaN,NaN
26.7465,27.17807,28.95649,30.24479,NaN,NaN,NaN,NaN
28.47642,29.30175,28.16221,29.71715,NaN,NaN,NaN,NaN
26.76344,26.36671,29.07107,30.42512,NaN,NaN,NaN,NaN
26.32646,26.7506,28.0451,28.25363,24.62081,NaN,NaN,NaN
NaN,27.90357,27.45238,27.85875,NaN,NaN,NaN,NaN
28.17236,26.71542,26.82432,28.41127,26.56945,NaN,NaN,NaN
27.18234,27.04822,26.14552,27.07245,NaN,NaN,NaN,NaN
26.98923,NaN,28.22541,26.72767,NaN,NaN,NaN,NaN
26.30027,26.35778,27.67943,26.96983,NaN,NaN,NaN,NaN
27.63339,26.00408,25.34777,26.11619,NaN,NaN,NaN,NaN
NaN,27.27773,26.83593,27.4847,NaN,NaN,NaN,NaN
27.68003,30.14479,30.76825,30.62593,NaN,30.49448,NaN,30.40811
29.49318,36.43403,31.1508,28.04077,28.71764,28.39374,29.24688,27.2166
27.9954,28.01116,NaN,27.06322,NaN,NaN,NaN,NaN
27.74913,28.68913,27.90919,28.15108,26.58721,NaN,NaN,26.66194
25.74676,26.80673,26.8405,27.18471,NaN,NaN,NaN,NaN
26.38083,26.57189,NaN,29.35138,NaN,NaN,NaN,NaN
25.57534,27.18281,27.89412,28.12139,24.15422,NaN,NaN,25.38225
25.58494,29.35723,27.96763,24.77057,NaN,24.57016,24.46868,NaN
26.57436,26.58764,26.68539,26.03328,NaN,NaN,NaN,NaN
27.4373,26.94481,27.62394,28.62303,27.2841,26.8071,NaN,NaN
31.31915,31.90052,30.74423,31.42822,NaN,30.98976,30.80186,29.95726
29.31443,27.49656,27.21438,28.86024,25.30466,26.49706,25.36189,25.94949
28.64058,25.54307,24.7757,25.79734,NaN,NaN,NaN,NaN
25.03674,26.29752,26.03944,25.41706,NaN,NaN,NaN,NaN
27.12376,25.71523,26.36139,25.81841,NaN,NaN,NaN,NaN
26.87044,29.22009,30.21512,29.94949,25.58964,26.18094,28.31583,26.76976
28.59676,27.23224,27.06989,27.91039,NaN,NaN,26.79489,26.45155
26.4727,24.69243,25.49326,26.30516,NaN,NaN,NaN,NaN
29.70652,28.8914,28.10345,28.81943,25.58383,27.56012,26.53502,26.77568
26.06634,24.901,25.91563,24.97583,NaN,NaN,NaN,NaN
26.91262,26.05968,25.81797,26.27528,NaN,26.46992,NaN,NaN
25.44272,25.77485,26.36838,25.17771,NaN,NaN,NaN,NaN
25.29404,26.22245,25.81827,25.89092,NaN,NaN,NaN,NaN
NaN,26.13455,25.62559,25.66368,NaN,NaN,NaN,NaN
26.06052,NaN,26.77756,27.31294,NaN,NaN,NaN,NaN
25.6841,26.19376,25.83398,26.6702,25.57842,NaN,NaN,NaN
25.62929,25.46014,25.5491,25.64265,NaN,NaN,NaN,NaN
25.33576,25.98531,26.53708,27.34282,NaN,NaN,NaN,NaN
25.76838,25.71898,25.76023,25.4737,NaN,NaN,NaN,NaN
26.66357,26.18539,NaN,28.3699,NaN,NaN,NaN,NaN
26.63339,27.1059,27.18962,27.15653,NaN,25.73097,26.2578,25.0737
NaN,25.67368,25.79959,24.93881,NaN,NaN,NaN,NaN
29.21459,35.8191,30.80931,28.21595,30.75883,27.86302,29.33922,28.08806
27.29614,26.77543,26.54498,NaN,NaN,NaN,NaN,NaN
27.5148,27.45998,27.45998,26.58176,26.79005,NaN,27.01574,25.70409
26.16707,25.29506,25.34299,24.91255,NaN,NaN,NaN,NaN
25.69,25.78209,25.78654,25.91554,NaN,NaN,NaN,NaN
27.99113,28.09507,28.40377,28.30509,26.21275,25.98279,27.03181,25.98172
25.29649,25.22578,25.70767,26.26612,NaN,NaN,NaN,NaN
25.9249,NaN,25.12361,25.63503,NaN,NaN,NaN,NaN
24.89841,25.0559,25.79303,26.04366,NaN,24.8962,NaN,NaN
27.9788,30.20897,28.11053,29.29134,27.17016,26.65116,27.44821,26.87197
32.09626,31.39028,30.0683,30.85875,29.11847,29.60221,29.46888,28.81827
33.09552,32.57111,32.72757,33.51206,31.12762,31.89591,30.88518,30.60267
27.63817,NaN,24.82362,25.10513,NaN,NaN,NaN,NaN
30.86578,29.3431,29.17016,30.51286,29.51139,28.38055,26.81152,27.89527
26.42892,26.2906,25.89002,NaN,NaN,NaN,NaN,NaN
32.86576,31.46012,31.6268,32.59673,30.17546,30.6981,30.50285,29.93072
31.48251,30.03826,26.71148,29.05879,NaN,29.7084,28.36961,29.35416
26.58592,25.96897,25.26574,26.15971,NaN,NaN,NaN,NaN
25.08558,25.00089,24.91406,25.46908,24.41377,NaN,NaN,NaN
26.77706,26.71646,26.5809,26.59164,NaN,NaN,NaN,26.66641
32.95402,31.21593,30.04921,31.70862,29.97323,30.36181,29.38852,29.21341
25.25811,26.27364,27.70958,28.09984,25.88948,NaN,NaN,26.75111
26.03326,25.37488,24.98507,24.72546,NaN,NaN,25.63558,NaN
26.19421,25.04631,24.9679,NaN,NaN,NaN,NaN,NaN
