P12_C1,P12_C2,P12_C3,P12_O1,P12_O2,P12_O3,P17_C1,P17_C2,P17_C3,P17_O1,P17_O2,P17_O3
55647.28834,52072.27981,160359.8542,108223.0201,95365.35165,45424.14074,239736.7936,159884.8645,126464.3853,215941.1967,214419.0256,130092.0789
124713.3582,123683.084,97154.79729,129320.794,148862.7057,132620.7074,91323.36506,127517.5545,129341.4292,103563.9522,116391.9504,90243.83788
43318.0533,101763.5883,20757.27218,39863.52209,42150.35537,117329.2209,8102.60473,100713.8438,202440.3514,4684.37201,79718.55788,104887.6311
192946.4846,317172.9223,274798.9425,428288.0917,428980.4772,266731.825,397949.706,337375.9529,476391.4873,232030.4411,359042.0851,335943.4483
76313.27295,38267.87946,77803.88785,37062.36902,32681.09546,33905.10999,93285.64279,101172.7616,113726.388,58679.32996,102160.5601,22158.90294
451004.9431,461801.4536,370239.4065,245161.9059,290850.5545,290794.8034,176349.1941,281891.1203,277299.5278,388618.934,168633.4813,290679.408
21283.32138,7138.148593,28040.7313,22386.76535,18073.76141,27755.68578,33433.31008,25514.26413,35939.75351,20266.77826,24870.42814,26783.542
108352.4316,289982.4774,143254.0974,139091.3654,134607.8701,152109.2335,123407.0075,127821.5455,107831.6193,115425.9579,175372.9382,121166.8671
19331.74878,218318.5609,131928.3017,41023.07148,149905.1395,119871.6015,178736.5844,189379.209,108822.9516,207508.294,217792.6882,263621.2109
370392.6974,415931.0781,315953.6967,375611.9747,351862.7451,342208.3437,446724.5476,383944.9862,388377.2737,429576.0599,370247.7402,358502.5077
343568.7148,416889.4445,324873.9826,423218.3418,412937.5869,293639.0499,580446.0284,664918.1969,566456.1251,586659.204,400312.724,584651.508
108254.1977,53623.95092,21348.7771,46043.83757,24443.55146,18896.31041,22625.01794,20774.11077,29806.14,73882.83486,39951.81216,36852.15349
49844.67098,16972.66708,5670.343599,22892.24966,25677.22634,4579.914226,34000.73559,31728.99103,29247.03,41107.93676,13453.22814,29265.4452
23865.69797,70182.27052,35873.94803,40513.37217,37031.59348,25511.30227,63160.41841,71471.05812,69129.21069,62792.89192,60520.70089,83370.24411
50901.35056,19896.72943,19330.02266,628.8650291,9610.261978,4948.829952,19944.77649,11796.7405,9869.111928,29689.43938,17063.62872,19201.48511
195152.8647,233685.0106,232861.137,265831.849,152043.5501,272045.7177,247031.7115,198540.0371,225835.9177,191091.0651,246821.6988,251396.6724
21483.1391,18395.92104,6051.171853,2339.36283,2069.665205,4364.179616,6460.448821,5035.088372,2211.417924,17292.96058,1605.444962,3300.881266
56143.09312,101107.3933,67043.88077,82214.2939,70584.39097,10096.88589,57058.57744,69773.60605,79144.64977,59933.03735,42712.91402,66312.2012
25894.62415,27485.4531,33367.51197,21275.07128,34227.5678,22667.44005,9382.388132,18562.62022,29486.98352,32822.06834,33242.97391,30529.3124
239720.2227,205804.0785,268042.6698,175651.5772,157281.8607,218703.7743,209971.8888,173904.0006,179244.8909,231206.6703,217901.1102,257482.9039
415737.3467,321412.267,457814.2767,406282.8778,389419.2656,386851.3584,287733.5126,298717.829,313867.5953,306936.2499,313787.5218,320275.9083
212693.4759,212654.7605,225966.4948,211787.42,195189.5213,249451.9942,217872.5341,236829.0561,165003.6786,191953.2413,255696.9496,226066.9176
42594.98642,96627.20784,61506.15829,75581.86565,90023.56226,125557.2528,108086.518,106155.8222,25991.13294,71997.45514,25252.22452,8347.457008
133897.8499,199403.3773,178298.4346,145604.7666,164415.8671,162890.4892,69470.64195,98480.99876,95743.31831,117458.0512,100415.9902,120257.8386
167040.7769,150980.9339,174048.0417,165151.6466,163162.5249,168295.7025,156935.488,139561.6278,226889.8058,188507.5572,187057.6355,179751.5767
252812.9187,274386.2276,268749.6967,305206.7471,252251.3355,221250.797,288159.2389,294521.6659,319328.624,261046.3346,293417.8808,285030.5551
182406.7086,180646.4455,96053.85319,119125.2825,70478.57952,123189.358,169723.7571,131333.7041,113847.8985,188943.7295,134379.2725,117370.8145
11950.92749,89278.52495,60811.62366,16311.46587,88345.46112,45895.16031,43761.741,8009.45193,11420.35228,18628.30032,7686.907101,15800.56084
167825.8497,127071.0278,156231.0619,144787.9135,175609.3142,198191.7502,228002.2643,225216.4969,203403.8204,199639.6375,191640.7154,205964.5072
41755.07632,43831.6155,26332.31493,22403.99114,21129.19521,30648.36642,34696.26983,10561.33286,20386.29874,34090.73267,5459.01138,22865.18946
12492.12576,4569.28455,2412.455767,5415.260769,4337.567683,12890.96888,5722.133331,17066.72381,22780.70817,3954.926383,1267.103511,4040.374452
5096.57732,55674.0484,48780.55613,14048.36546,54428.75109,48535.76075,51179.54764,29343.22466,20807.55098,8190.519965,20228.53874,67137.51893
44413.73725,9817.468869,13318.11976,80360.47792,22061.67803,64604.29651,74388.29437,16688.19894,40088.42748,16773.21486,51452.1117,16388.01461
252782.6138,253877.2626,201084.4109,124533.926,252929.1818,212309.3577,158535.3949,107456.1371,294600.7461,253251.5506,251039.2034,242030.3469
143576.5352,100631.8094,245935.2184,265432.1099,180044.1078,214824.5796,195188.0462,246167.1758,233217.2157,123004.7648,290356.9366,173877.0312
304578.6652,244518.9324,311034.9703,278375.5167,377516.4078,368185.0586,247524.2707,392964.8338,331003.5511,285608.577,255061.9689,321585.8249
65897.86362,89335.51144,16828.13653,39592.18445,103706.5028,30901.15872,12280.87241,21135.33934,12637.74578,51494.67561,115465.4276,56477.95759
85878.03533,100534.372,98923.35192,93838.61197,56780.88399,84495.72575,83974.91725,81114.53878,76669.17581,45245.90616,55626.14051,84883.2401
136645.7858,87719.9047,142722.1735,126042.8358,134321.2119,152062.7782,89155.7106,83441.98878,80743.49778,76265.79212,98897.08998,104016.1341
346515.0085,540140.0474,463689.1152,680734.7744,593828.5883,547823.537,547210.8176,621946.957,608970.8736,408940.1593,657229.0624,652089.3825
139855.9921,142733.5626,231461.3562,162918.2836,66632.3558,26030.62501,132036.8383,119002.7006,169943.6391,313669.8075,218738.3765,106959.1629
230247.6677,218224.05,139611.2069,57949.65939,97085.97828,70892.17055,89897.04706,75442.25925,63943.05903,173169.6249,51344.83648,93763.5877
39859.70662,29546.2519,59939.87501,73131.26938,81852.96084,60371.68554,77992.15896,98255.72452,82183.22177,55969.83544,86217.3206,88064.37284
348180.972,256344.9011,403679.909,491244.9649,420974.3685,455731.976,455132.9567,479386.3669,533905.3105,366590.3255,474788.6101,450255.3054
582816.8737,532906.7875,365071.5538,256620.0577,385204.7274,317516.5277,460740.8481,249707.8914,290536.7881,549012.3698,283319.5846,382463.6024
97320.35088,183827.2965,149748.6503,148351.6756,231470.7317,215709.0953,235658.7981,237007.5407,240431.2056,108253.0803,251140.7157,311107.6767
270911.2322,129748.4132,188029.291,307257.9136,182961.3591,286512.4294,222270.1078,274681.4566,232775.853,188924.039,249303.9166,236572.7462
183859.4304,187240.368,98275.60529,356716.3449,180272.3858,154985.4947,159260.3681,132480.652,143093.6919,107382.1128,200136.1024,139165.6821
119635.8715,124660.2378,102608.2831,129197.3864,120624.9574,111658.178,121573.4974,125651.1001,130692.5695,144152.37,112104.3725,121867.1453
714768.6303,677384.533,669674.6029,653757.3949,647899.2581,555504.3348,795606.7708,692674.4515,716230.6026,695298.7387,734576.081,653267.0739
21706.56082,16891.54546,15375.58768,21590.01297,20418.15106,22260.59863,27331.95965,9625.438845,9522.80312,38906.87382,21262.45642,26296.43458
968190.2016,1116045.988,819241.9332,1177444.338,914977.673,906218.2093,1084491.562,804944.0282,803433.8018,933459.1174,967301.6487,906820.7544
1369977.489,1355569.793,1413575.375,1395210.844,1391912.102,1893445.289,1397742.558,1557132.626,1609778.509,1262764.775,1443143.27,1287217.676
441447.1443,380771.5099,388333.6702,434890.2976,324835.0997,384432.6375,311813.1324,299572.9697,363613.5118,393939.5583,312318.0317,319446.1074
6489.564884,13445.01034,9478.599805,21322.83694,136251.1172,23387.81568,5692.924107,7124.595298,31287.92043,191095.8587,28330.16204,30811.7902
20088.22538,17762.77352,25563.63883,27127.28567,18395.66945,41418.09327,27438.80314,26017.40734,29437.17709,16341.55124,30134.05576,23006.52612
2277.895153,2726.309876,908.737948,4468.342516,2610.672517,691.1162719,3943.279681,4090.774169,4484.106824,2488.043536,2906.649663,5047.094747
40103.92663,24090.78867,8694.77727,31227.59964,29073.81036,23968.65232,25418.03134,19001.57736,23833.40248,15879.42972,24073.67135,35327.76166
11820.70617,9128.888938,7195.750035,74799.85961,74358.19404,85116.6307,69079.64855,71846.40475,75078.08711,4142.945623,11661.41166,72538.63916
19501.83088,12299.95905,23106.14381,32161.43285,38386.72778,15004.3313,65807.72936,60137.77635,76903.35249,55757.68314,60927.9282,72968.97743
961946.8713,1235675.919,1057617.322,1106470.596,932971.9624,1190884.088,811320.3735,956716.8574,993807.2964,1002874.11,997766.3273,938695.0743
1319527.819,1116158.639,1287808.123,1218788.655,1285022.129,1358936.762,1312089.697,1362763.569,1245699.845,1423415.971,1389549.85,1233963.945
1048311.768,1213946.504,922197.387,950075.709,519699.1476,803740.7517,756842.9255,877036.4205,672722.7368,807494.679,807512.4392,636204.4061
1948379.514,2325964.431,3154846.763,4070308.368,3714804.832,4210632.906,3951428.795,4624239.47,4567679.691,2722097.13,4105243.637,4179440.721
66931.95185,73450.71658,37659.97985,40928.70967,45329.66295,7952.199408,39882.96407,20634.03156,25654.82237,67043.04986,24963.6398,28773.77689
119319.9099,130975.6705,79926.60754,136725.2264,110680.1832,114924.1095,173191.0083,129617.5329,190429.0388,96890.04464,187850.8636,129378.991
193769.3655,243493.279,144338.6011,91961.10815,214824.0482,177087.2517,138703.1701,245538.8251,144617.3854,261356.1348,282393.463,136767.7169
4367.743708,4682.742608,4367.007129,6662.054831,7446.581464,8178.642477,7251.741839,6642.297354,6645.886072,4702.740856,9852.004227,4971.359766
1570245.884,1383301.818,1868819.847,2255854.946,1802084.51,2101175.165,2169342.61,2392173.904,1981323.562,1594969.334,2003423.076,1593428.927
23235.35055,46071.94873,66869.58932,69999.54514,77944.31914,83639.85351,59476.93361,70323.13328,74605.22648,41485.11683,66012.46156,69694.2588
64994.72576,95702.0107,79011.85264,53206.19483,163549.1686,58402.47571,67338.16581,73102.06085,73457.86167,73033.77303,74571.45879,75639.40916
323104.7252,243188.7487,234509.7874,156706.79,207938.9888,251888.1509,207253.0408,128261.2461,131157.4403,311599.2038,226979.8922,203914.8438
27097.22894,22077.71298,15795.70181,59941.77155,20946.96532,14904.65822,11940.58669,8943.377761,9311.23787,42928.26932,19447.03408,19481.02418
989045.5319,645215.6471,738749.2596,860383.0818,627888.8805,953403.8316,621851.9864,934770.8251,820595.4636,902407.4565,907197.9017,728550.7748
77347.5097,47296.30386,57145.74304,67878.46154,54617.6781,78271.42468,48638.17855,67797.57865,50969.33246,50992.4518,66118.25552,56938.05739
45567.06063,48986.35326,117955.1853,34126.79765,40850.97342,50336.00968,60137.9976,71705.96297,51225.28334,45415.28116,124727.3711,46382.59048
80932.55857,55536.17067,4461.767132,73608.63747,29207.81592,16205.42154,35723.38851,35844.5628,26716.31748,54559.7669,43908.21048,18048.46295
522865.1511,528390.1434,202692.0059,221242.4013,358176.8441,137282.0433,434533.8976,148125.6241,418721.7072,360607.8136,247644.9547,357927.1083
1017350.14,816236.975,1000189.663,996494.3427,906393.5468,1064906.847,643727.812,583596.3131,945441.5717,755388.3868,901849.8414,940041.2741
249176.9814,270832.7306,348409.2483,255747.4428,270303.8388,349388.694,268549.0378,242962.5496,279594.5205,230623.8962,254581.7893,286540.057
885063.3475,871961.5027,623496.7497,719576.5385,988887.6034,574587.3369,1035454.519,695776.5175,1072345.21,995435.6392,621236.2086,998496.793
125404.9864,130085.9315,158396.4089,137923.3715,164337.4951,171920.7808,142822.4769,98962.91366,160054.2534,133429.556,154087.0249,105211.2957
59544.4557,35015.82131,30728.15878,42979.76255,3239.623815,31345.80929,9590.418364,11525.92289,43945.10192,61789.89209,4815.371977,79211.42513
345751.5565,461815.3307,232468.7102,200848.216,231683.5035,234429.4979,190229.2503,202640.0419,22455.5939,339599.7922,203509.3997,249738.6825
1143629.767,995664.232,1074542.339,804047.0883,685621.2795,920896.5772,682729.7644,640927.617,690595.8986,958071.5499,697574.4033,701416.5107
191426.6784,193080.4037,123120.1516,76387.17312,171149.9866,151872.2118,143728.4209,97394.83248,151068.7114,121161.4173,82350.19817,163527.0554
78357.39588,86439.22638,59703.59895,33845.02742,35195.57739,31905.1432,45405.21011,37612.4854,20583.35432,81698.68036,55283.1401,56620.3243
468060.3954,478995.4559,459767.7564,306208.2902,480155.096,298463.3508,389882.0243,522343.5026,461044.3637,546130.4985,549950.5574,534277.2912
209768.3059,181817.2278,151024.8518,119962.1198,161861.9401,159593.2885,140070.7138,142624.5887,128638.7579,116173.8799,115130.2981,171748.0229
421040.362,453051.3687,359303.0362,283782.1494,262972.7143,355627.1636,308519.9919,235121.436,210840.1304,383968.9393,296798.5064,172321.6012
168039.2398,298971.4316,160774.3485,160653.6989,290910.1313,147034.9899,130592.6377,135041.1241,116603.0196,239907.5513,112658.285,101728.951
890236.1708,844501.6298,1084053.712,1202509.135,1012778.72,1184333.252,1075066.152,1094408.416,1005238.684,838840.1836,1061234.273,988004.9658
642502.7039,447864.4419,588400.4782,790912.4772,521778.5541,576154.4807,342300.5077,697441.3568,529750.194,645913.7091,550296.3081,496482.436
27938.13725,32992.47185,38582.4838,61766.77419,51965.32177,36082.10844,48073.45902,49561.00076,68176.51891,38764.33243,44211.36044,49257.98776
39695.67711,18595.55014,18211.94073,15827.59312,18218.91853,13438.01762,18147.62483,14463.6913,18320.8549,20965.12928,2520.627845,25614.03158
89360.7677,80782.10559,89162.91928,52417.35572,58700.08488,95010.35839,51340.27844,49074.17169,114648.691,62672.64951,33333.55625,44162.80899
403163.3063,266809.43,516112.9404,479037.785,450948.416,580739.6797,390549.743,509539.6609,468222.3314,395183.0614,521229.1479,460478.1984
112758.4821,105453.9209,61150.0653,113931.5527,91775.07911,64462.78411,98497.71783,74145.04414,61229.4273,85916.50596,100212.0105,61381.46712
409774.6896,364335.4695,428618.7442,404428.2606,399213.5535,376106.377,374891.4503,389106.8198,538364.4515,420713.5683,341550.0947,401268.2241
141208.9218,332726.4223,134272.3108,104271.3866,92943.76787,27448.99376,90326.08546,152417.2444,17304.44346,77140.62701,115978.3953,139390.8546
73712.193,54166.41299,55421.69518,33801.8913,33698.49569,50469.60767,18113.73234,32422.76069,27723.87168,102890.1357,31549.7224,25713.6127
25536.31245,28632.16547,20930.24299,16984.41566,24398.71501,19320.21568,14033.26511,33447.97211,14690.56187,22199.75072,4298.441491,10255.46426
66594.20738,75489.07719,51971.72352,48779.94349,59684.59202,55230.06249,52282.97583,44540.74707,35074.46631,54102.5547,9095.766273,47887.88587
52891.54604,54650.96538,76133.99364,71024.82037,89317.80901,66036.99383,86013.14978,83294.33138,78962.50263,69542.26226,82104.05152,91094.7215
314534.6681,241600.0026,227471.9401,212530.7295,220389.03,219336.0068,200387.0189,262340.5935,246750.4201,269161.4851,201764.1682,259665.0335
45821.65935,75318.18629,154475.5851,66668.7598,17650.97341,137834.7889,57421.78593,53750.66756,200420.4579,184278.8829,67528.18058,59596.80196
65446.04568,64679.07662,73204.10759,64093.12517,96685.52532,76031.25562,104566.2096,73950.91512,82085.93596,82878.33611,73331.0684,95376.17498
59156.69135,56961.71639,68496.89665,46100.36005,59072.78825,58542.93586,71895.37825,65164.45898,74824.6899,59283.81141,68380.78828,25838.10576
516071.8506,596625.2383,603174.9629,632592.4733,689196.0769,523244.5808,672034.8281,643001.7932,646017.591,600158.65,658234.6649,597484.1736
287661.0718,332152.16,231876.3068,276480.4454,207478.7978,191843.4618,359019.2764,217073.2822,221201.6088,266066.6321,231524.6128,251911.3311
330831.3885,373357.361,373618.0666,453901.0945,484025.7757,356628.2562,437973.6121,443622.748,531555.972,375940.3429,393412.8534,491511.2226
45694.3219,50628.31496,72033.71407,64435.91342,64582.00182,101657.9959,75525.55412,86575.96657,69333.97728,60979.83068,70261.13777,79358.18508
117803.0824,78094.69046,99070.77871,58978.11365,112233.3407,99184.67757,54520.52611,90578.40319,56852.74236,49265.68336,100923.1025,120036.1656
86740.28066,57731.09995,49089.77355,72021.4969,44884.75782,59502.29752,25239.85247,95065.24058,80281.67714,7711.469929,27912.5084,22736.09387
83692.71929,83339.0898,41132.34207,39105.86849,62707.02509,31294.56068,78165.07857,75177.94207,67483.27046,72311.27493,58503.33026,57062.49443
475769.7932,316528.4672,262859.9969,287708.1626,192068.0751,177263.1853,204962.0366,212816.2502,159856.8389,343885.6083,197985.3001,201327.4717
135850.1541,120378.8271,167780.2293,159308.2734,93111.18684,179823.0638,153811.3042,157830.5892,142956.5488,119133.4194,166279.2364,140463.8992
