"Abundance: 126, Control, Pool, n/a",Caput 1 (127N),Caput 2 (127C),Caput 3 (128N),Corpus 1 (128C),Corpus 2 (129N),Corpus 3 (129C),Cauda 1 (130N),Cauda 2 (130c),Cauda 1 (131)
100.8,111.5,129.2,99.3,90.4,83.5,121.5,72.2,98,93.7
66.4,188.1,81.1,189.6,108.5,113.6,87.9,57.8,52.2,54.9
89.6,151.3,70.8,107.6,133.8,137.4,90.4,91.5,70.1,57.5
85.7,135.7,63.9,123.8,128.7,152.9,104.3,70.3,65.1,69.6
80,149,79,109.8,141.3,126.3,80.3,98.7,66.3,69.3
64.7,159.6,71.1,163,129.3,131.3,110.4,57.3,59.1,54.2
73.3,163.3,63.2,160.9,124.6,128.2,86.9,72.8,67.6,59.3
81.7,94.7,113,134.6,151.6,91.2,82,97.4,67,86.8
96.1,99.3,124.3,149.5,115.1,113.8,78.7,74.8,78.8,69.5
96.5,94.1,144.9,213.3,82.8,116,115.9,51.8,43.7,41.2
95.9,120.2,91.6,107.8,125.6,95.9,89.1,110.3,87.9,75.6
104.8,98.3,105.6,52.3,74,96.4,149.6,100.5,126.5,92
84.9,152.5,112.5,96.1,90.8,93.3,119.3,78.2,83.8,88.5
111.9,90.6,110.5,50.1,56.5,90.3,141.6,95.9,128.8,123.9
115.8,92,102.7,48.4,53.3,78,129.2,106.1,144.3,130.2
111.9,81.1,99.4,48.8,66.9,88.3,145.5,98,135.9,124.2
103.7,116.6,108.6,58.5,72.2,124.2,155,84.5,94.9,81.9
109.5,94.6,97.9,56.9,74.3,91.6,133.5,104,122,115.5
106.9,105.7,118.2,62.7,71.6,86.8,136.7,93.5,119.7,98.2
90.4,151.6,146.9,71.2,95.8,91.5,139.4,65.7,74.5,73
93.1,92.1,100.4,70.3,84.7,99.1,129.7,92.8,120.8,117
88.4,122.4,122.6,72.2,69.6,102.9,164.6,80.3,102.2,74.8
106,109.2,102.7,55.3,63.5,89.6,143.4,85.1,119.8,125.3
114,75.9,102.8,59.5,67.2,77,113.9,94.3,154.9,140.4
116.5,86.6,100.5,52,60.8,83.8,106.8,100.4,157.3,135.5
104.9,94.9,107.1,66.6,65.3,88.1,116.6,87,143.6,125.9
118.6,83.2,108,56.3,54.7,79.4,109.6,88.3,153.7,148.1
110.7,87,108.5,57,61.3,86.9,126.3,89.2,146,127
111.2,77.6,103.2,54,70.6,78.5,110.4,97.1,160.8,136.7
103.9,129.2,74.4,106.1,97.3,99.9,79.9,88.9,91.7,128.7
95.4,56.9,75,79.5,74.9,217.1,116.3,103.3,103.7,77.9
