"Abundance: F1: Sample, Total Proteins, Total1, 1","Abundance: F2: Sample, Total Proteins, Total1, 2","Abundance: F7: Sample, No Wash, MF1, 1","Abundance: F8: Sample, No Wash, MF1, 2"
9554873.5,13664609.28,53336723.63,62839676.56
,,6537556.313,7696636.5
243732,403219.2188,3861132,4167322.25
8975480.539,12639788.43,48148596.25,54438447.84
25468569.44,33488790.13,4262722.094,3918837.734
721584.0625,1093152,3539778.125,4470026.375
,,4541154,4462940
230860.4688,515004.8438,3998991.75,4713546.75
28584.76953,55411.79297,608729.375,941760.1875
,,,
98619.02344,190976.9141,20927098.69,23650467.08
11021.34668,,295156.8438,334021.3438
2276547.25,2771388,14981068.5,14823023.25
41889.12988,75709.95117,8341812.375,11909525.88
757609.4375,,1156519.813,1229598.406
641794.5625,885776.3125,487952.25,939686.25
51906.07031,126320.5078,1330957.375,1618228.094
,,,
65271.14063,101645.25,2449523.75,2810815.125
1798725.125,2354557.25,3410237,3725250
256543.5,348918.0625,2575648.453,3130026.313
1190340.375,2380884.875,1048949.602,1080619.688
,,1345506.5,1764060.375
516619.3867,566963.0449,1075917.313,1131802.297
12043388.37,17050625.81,49753451.81,60211241.25
,,296314.375,267322.8438
,,2596286.688,2656734.875
,,1914479,3290275.25
,,1769195.875,1511837.125
435908.4668,688535.5664,1393138.188,1251386.25
,,976269.625,982194.8125
,372942.9688,10477104.13,12029918.5
3031989.656,749002.25,18195150.59,19849937.88
,,,
19601.13086,42262.17969,2218739,3647098.75
3174428.063,5754667,8459649.813,10452317.38
,,1349962.25,1418696.375
33548579.93,49845206.61,30043104.03,36555873.22
20594482.81,26630845.44,51987638.42,65005584.47
,,,
4289772.854,5031039.563,5971283.98,7488655.906
130408.8984,142285.7188,984701.4375,1032489.875
,9141.417969,1874629.875,2177448
211754.9961,372460.2813,5939883.438,6353474.75
1076281.25,1785118.5,5010010.25,4908884
16092.88184,158695.0781,9545129.25,9970029.25
60299.87891,102656.8359,869118.1875,957612.1875
1701376,1573798.125,1748186.625,2271857.25
2444638.273,3842897.75,42621906.13,44422707.44
4859129.369,6649937.656,14882923.13,15899720.13
151232.3281,195880.6406,1990494.219,2265170.938
,,573043.2246,801749.3438
,,484559.3438,571674.4375
,45454.05469,3059900.938,3958200.563
,,3107063,3321175.875
193619.3281,322514.7188,1697591.375,1973605.125
3869356.367,3976387.438,11366930.63,12408115.6
1495839.125,1316181.75,,
598422,766802.375,13467024.94,15459367.88
396978.4648,432663.1563,2305740.813,2537717.313
1188208,1110297.625,238344.9688,206582.1094
19335.75781,32969.33984,,1198157.625
,,419906.2813,412897.9688
16435224,22220896,27625036.25,33905827.88
262870.5938,425530.7188,1855775.875,2678023.5
52723.73047,69377.5,4864056.844,5834924.859
1908707.5,1700160.219,21807420.38,19873191.03
,,1566533.125,1760383.875
3271101.889,4957253.65,6984040.375,8526990.313
,,632540.8125,454906.7813
,26057.43359,776565.75,912214.875
1629198.25,2821562.5,,
,,3537658.75,2762469
13701.69238,28716.01563,2278292,2498386
21582.95703,39301.57422,1282965.031,1558134.406
4014552.09,4893872.125,18577087.08,18685124.91
,,836867.1875,759483.375
8291064.813,12626013.87,27964542,30960705
,,3017708.75,3233190
118322.2227,224208.8555,1228186.438,4517168.5
53638827.33,74449589.1,215459819.2,225449494.3
832631.6875,1134498.875,549523.8125,611883.5625
321865.1563,393103.2813,3995086.5,4548759.375
77641.14063,142739.0156,3936896.688,4419157.766
647168.875,1196888.25,198941.5,197520.9844
2207974.25,2997840,1980744.688,1923937.875
3487024.5,4250520,14364646.59,17109940.06
684371.125,748719.3125,7417150.5,5068296.875
17670353.72,26823450.94,93351842.38,101740967.4
2480892.75,3040618.5,16834562,19584884
1614212,3506219.875,23688846.13,34050670.38
5404471.625,7794297.688,42968648.83,44059228.61
31204.47656,65268.39453,3540051.406,4217409.969
,,579684.0625,615353.0625
90741.11719,451387.9766,31997109,33942497
,317270.1016,15263013.13,16047203
1194447.125,1646848.375,1073572.875,1326264
3218966.188,3581612.281,6002845.547,7380664.563
8227915,12415922.4,16982486.75,16514418.75
218476.3438,270214.5625,57167.29297,88537.20313
215497826.4,298045900.6,97668864.61,95746071.49
2527818.484,3947861.766,13029115.48,17087542.88
313263.0293,642259.4648,24203624.13,27137164.69
2117991.023,3139431.141,14403156.28,16423624.53
2521243.645,4246483.43,29081053.03,30377982.57
1944827.25,4928902.5,26453753.5,29584653.63
12315154.75,15989945.25,37199557,41350502.5
,23578.28125,2905986.125,3342235.875
37816.45703,67046.78125,25264052.25,31477926
,,216276.2969,279461.7813
776295.1875,1102813.25,6727807.75,8500691.5
4941328.307,5984699.184,26535356.55,33433683.45
,,,
146032.1094,157355.9375,1317370.875,1414004.625
