msInspectTop3absPeakIntensity,msInspectTop3absAreaIntensity,msInspectAllabsPeakIntensity,msInspectAllabsAreaIntensity,msBIDTop3absPeakIntensity,msBIDTop3absAreaIntensity,msBIDAllabsPeakIntensity,msBIDAllabsAreaIntensity
61969814.65,2216035.802,69614532.84,2496214.35,251942158.2,31731152.34,339166175.1,55399688.16
208138.28,15807.34661,208138.28,15807.34661,2751503,642372.8814,2751503,642372.8814
NA,NA,NA,NA,636138,146617.6471,636138,146617.6471
153394.129,14441.19559,153394.129,14441.19559,12697058.2,5441911.765,12768323.29,5514632.353
1393164.09,100000.5732,1393164.09,100000.5732,14325260,2809411.765,14325260,2809411.765
7111088.7,318818.3349,7111088.7,318818.3349,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
10821455.1,460379.7868,11640449.86,902555.2639,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
628034.766,195500.2181,628034.766,195500.2181,3591889.86,2380495.05,3591889.86,2380495.05
NA,NA,NA,NA,NA,NA,NA,NA
356473.44,9108.696429,356473.44,9108.696429,NA,NA,NA,NA
37379.71,1815.308415,37379.71,1815.308415,NA,NA,NA,NA
1240816.5,99268.48667,1240816.5,99268.48667,10984942.2,2173333.333,10984942.2,2173333.333
NA,NA,NA,NA,NA,NA,NA,NA
10133719.9,205842.3129,13800008.3,308774.0396,93127700,6280575.54,140110742.8,9486498.801
5941506.002,1204745.111,5941506.002,1204745.111,32181497.34,20000000,32181497.34,20000000
5161283.38,692425.25,5205128.747,703705.1695,117395762.8,44363559.32,130264913.4,61237288.14
3293452.16,97876.85897,3321515.303,100237.3093,13527873.81,1168173.077,13709485.61,1190448.718
16427243.98,107492.8189,78957732.02,494057.2369,109126393,1511435.832,474794435.9,9747897.078
1476524.15,25658.54405,1476524.15,25658.54405,10709080.76,786956.5217,10709080.76,786956.5217
2903760.9,38062.33913,2903760.9,38062.33913,247231.66,105097.4513,247231.66,105097.4513
7594413.12,164602.822,7727567.24,167419.5582,50285200.5,3694243.07,52593010.41,3994008.529
7594413.12,164602.822,7727567.24,167419.5582,50285200.5,3694243.07,52593010.41,3994008.529
NA,NA,NA,NA,NA,NA,NA,NA
238771.52,16684.87092,238771.52,16684.87092,NA,NA,NA,NA
6342669.23,355389.0711,9037726.42,571781.4964,39476369,5873493.976,60123419.62,11635542.17
1237026.593,53402.32188,1237026.593,53402.32188,4877378,654166.6667,4877378,654166.6667
2658703.43,101858.0104,2658703.43,101858.0104,14859201.9,1658558.559,14859201.9,1658558.559
49554.916,8215.203846,49554.916,8215.203846,NA,NA,NA,NA
554215.833,37246.335,554215.833,37246.335,364837.03,42714.28571,364837.03,42714.28571
484503.53,15206.03308,484503.53,15206.03308,7049360,556766.9173,7049360,556766.9173
3958284.88,440667.0273,3958284.88,440667.0273,13886808.7,8302727.273,13886808.7,8302727.273
NA,NA,NA,NA,NA,NA,NA,NA
4028505.284,328715.9795,4028505.284,328715.9795,54858503.64,19156415.09,55012685.2,19258301.89
1074007.92,121316.9899,1074007.92,121316.9899,3492133.3,1470886.076,3492133.3,1470886.076
1002511.47,56723.83105,1002511.47,56723.83105,5254741.44,869473.6842,5254741.44,869473.6842
195194.3771,74080.57024,195194.3771,74080.57024,100253402,51808620.69,100253402,51808620.69
NA,NA,NA,NA,2977354.32,787619.0476,2977354.32,787619.0476
1778755.82,123291.7899,1874267.25,132427.842,34757146.4,9657971.014,46487551.97,12404057.97
758292.22,27636.79555,758292.22,27636.79555,NA,NA,NA,NA
2883788.643,216389.9715,2883788.643,216389.9715,13985438.75,5856410.256,13985438.75,5856410.256
NA,NA,NA,NA,21726968,8456375.839,21726968,8456375.839
NA,NA,NA,NA,1492741.2,25855.79024,1492741.2,25855.79024
138481.12,17857.14211,138481.12,17857.14211,1282769.44,593421.0526,1282769.44,593421.0526
7411223.24,491670.8968,9948531.553,849485.3961,69771898.5,15523870.97,99621765.54,23408516.13
404647.34,74895.05696,404647.34,74895.05696,2818399.5,1215189.873,2818399.5,1215189.873
651308.16,21650.63683,651308.16,21650.63683,8502889.4,733650.7937,8502889.4,733650.7937
85948.5,4004.531313,85948.5,4004.531313,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
5037418.96,205786.9562,5431581.905,219618.3991,96356780.5,13960159.36,172182919.2,22740637.45
1777815.01,189420.9916,1777815.01,189420.9916,29280311.46,13999159.66,29280311.46,13999159.66
10719998.99,336320.7109,10719998.99,336320.7109,NA,NA,NA,NA
NA,NA,NA,NA,4806842.11,1314117.647,4806842.11,1314117.647
173660.974,18644.47826,173660.974,18644.47826,832043.44,379347.8261,832043.44,379347.8261
87639.8,9377.613291,87639.8,9377.613291,96718.7,107594.9367,96718.7,107594.9367
2273998.08,91394.75808,2273998.08,91394.75808,NA,NA,NA,NA
828379.35,78636.9575,828379.35,78636.9575,3418598,825833.3333,3418598,825833.3333
470392.2,15514.80083,470392.2,15514.80083,2405604.8,265145.2282,2405604.8,265145.2282
1742150.564,214993.8505,1742150.564,214993.8505,8085535.5,2818018.018,8085535.5,2818018.018
2049921.25,98204.57297,2049921.25,98204.57297,11249782,1970270.27,11249782,1970270.27
NA,NA,NA,NA,NA,NA,NA,NA
