NP_CTRL1_50%,NP_CTRL2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_FM_1_1_50%,NP_FM_1_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_FM_3_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_FM_3_1_50%
667097.6348,219318.0373,30852.66237,2070097,4798190.909,823366.3168,96599.04309,321477.6806,6220406.167,1846001.057,13592.69074,596.4235766,141657.883,7026.424072,555.0960488,453831.9494,225451.3751,43338.271
186967.3478,126808.0382,4874993.128,322101.8524,467656.5094,3413453.743,2092304.469,685775.8693,1230302.142,2389528.825,330075.175,10692.43845,73825.31442,772515.451,86431.34699,98613.65659,23254.86691,1912698.065
118082.2383,66520.57117,3043994.201,182251.9063,261036.2878,2317752.016,1321899.021,438567.7987,832919.025,1536341.377,186627.3356,4008.962791,40417.42006,477224.6696,49692.83737,59721.51575,9947.707432,1313904.38
6410.570679,846.5980225,72512.90475,2038.372528,1013.093079,52904.76485,29200.92987,6150.247284,4436.709015,11167.84669,1563.549279,2465.112044,18.02638534,5411.388879,1707.688171,2485.844482,1094.995941,40035.8306
673117.0225,63900.60664,100859.4915,674260.4167,1211347.424,1992601.379,117098.2764,896714.8154,4135151.847,2985873.434,23724.24295,12236.36264,25203.3271,15903.36631,22214.24263,80510.58448,12056.52207,42586.59638
73611.23296,9314.449069,8028.168621,78791.35111,145072.2122,327693.4177,9981.11162,146322.7499,754960.9913,451719.0329,582.2796326,405.2266235,623.2744603,NA,153.2973159,5161.800193,114.0408419,541.2124265
1012791.523,110298.385,159067.3214,935549.2286,5933012.776,1542568.889,144585.1841,431271.5726,3640386.266,1299840.616,45918.4213,30235.14254,143103.7806,29280.25968,3567.986571,229456.9059,44731.67621,96583.73389
184030.1073,5151.079054,11570.46271,166090.7676,1157565.311,341956.836,19182.76708,78357.33908,795789.8207,283849.1688,978.4784602,204.984605,15152.50969,525.2314862,863.2039829,35684.47912,1053.297908,2284.464657
51738.55313,45622.31142,1242251.632,250392.8083,404902.8351,1548584.103,1165523.336,462182.6081,2585574.014,2170054.017,239248.0171,71980.40656,417444.5093,85628.87832,68220.20369,386850.4374,107666.3621,3389980.467
NA,NA,24603.20971,826.384297,NA,29149.2618,29130.50111,2842.400878,93377.4812,67531.42547,946.4838267,1351.250932,4169.118872,0.090376394,103.3581931,5173.696747,NA,127725.4134
123732.8198,28036.48618,176697.7479,492371.0026,1245156.991,2160432.705,176278.3299,825122.3072,3326574.263,3829141.807,5955.137434,32024.36458,3043.988582,5383.283496,22417.52235,12036.84463,20302.62438,39620.65991
18680.17982,18135.58075,4876.324185,32604.59052,126555.3864,264619.1929,22073.65963,86513.16086,530819.5216,517057.2292,818.6939148,3977.750217,247.7188002,5790.482626,2913.359211,1795.588564,444.4442049,1549.987851
512593.0174,41521.53471,195581.0907,674683.6314,1485796.212,2684795.189,181816.4301,1120671.967,4167842.21,3497612.37,1095.888559,939.154138,954.7539296,629.0410159,636.0413381,2420.678993,544.8815166,1816.887961
606432.8495,22675.32614,227952.2562,840819.0901,1771002.008,3692082.975,157655.6658,1382028.66,5503203.918,4603998.087,4054.368831,7343.938613,4121.075581,5220.333319,1513.004536,4068.334659,6277.299429,13808.42785
369760.1218,101123.3112,36256.69058,1451939.794,2014658.266,835615.015,87756.1918,750388.0288,2076436.932,2025054.287,5181.745046,511.5992356,36259.7278,5740.225772,1107.317167,138259.3563,2833.289718,5501.971579
297016.1452,69759.38854,11437.14893,1153579.519,1660594.993,740138.6983,52309.2027,650671.5654,1887114.861,1846610.011,71.64542179,512.2620061,16853.61522,2934.506224,1015.00695,83432.39233,1948.593802,416.9724423
100306.3808,60910.37009,1772331.619,164015.2326,246559.0692,1217211.503,993195.0373,351858.1029,623855.7062,1129357,27128.10605,1867.858403,13996.59105,73064.37661,5044.273393,16002.97233,568.9719454,221730.5789
40527.27844,20045.63293,103697.3067,171868.1636,829781.8317,1812245.648,106384.884,700757.6648,1250497.073,2787181.339,6259.960566,1971.144262,625.8789195,2070.240501,2905.333959,998.4355282,6199.160935,15374.30336
126053.7696,21771.03156,288120.438,277975.2959,465243.3106,1153457.106,128800.8181,419609.3419,551370.6151,618958.0017,5.229807477,305.1053086,2251.027806,2297.977048,607.1445644,631.1915806,921.2842942,33332.74557
78027.07829,10088.9218,135594.7745,151310.1555,201566.4882,719942.8913,74212.01047,241920.0296,317452.3751,360618.8282,16135.87984,1794.919262,3095.089139,16224.14006,512.3443892,29825.81939,21092.17167,16267.10812
26591.32759,37932.86452,23904.42923,948536.9806,1052548.656,813578.0027,65340.13614,467800.1755,1628995.091,1371514.747,3529.193149,4438.680047,37486.52479,40958.50779,5932.816935,178584.6018,63858.06121,34051.50171
161654.0334,34022.96315,146730.959,289728.1198,628972.1462,920890.6208,53647.92494,335753.0119,1656319.237,1155298.726,26543.27935,299.6094832,3047.469075,11369.94568,1934.00458,13880.83174,9492.833071,7089.336416
71620.67106,3078.891627,26009.58754,125159.3359,234318.8769,427934.1808,19896.63905,135056.6247,801334.8883,502218.3633,343.0748051,136.2343951,5354.045872,13562.86622,3399.980023,13452.88654,1317.404376,9243.213499
127159.1222,37960.24751,537927.3304,252704.4244,489218.3521,1344712.259,567264.4645,376579.0244,3622563.107,1249264.333,1038.105889,3435.401338,10068.75111,34129.00228,2390.802845,23478.75052,8099.669624,148012.8051
1432.862732,920.1341164,14528.58451,681.7284546,7199.262432,35599.49837,10583.27803,2612.724289,86864.81668,5953.735352,798.3556014,1731.362549,12829.86303,611.4986877,949.4585696,1643.129444,1052.016846,8553.8974
37172.91636,49307.90369,15588.46696,320366.6596,281608.2811,651011.0839,31837.30155,338283.8549,855997.5317,285809.2855,494.8628654,436.2987082,22100.24113,49.68343864,NA,93924.27014,3093.724415,2368.529175
20649.66226,34699.02972,11568.50002,148806.6892,239901.6153,326324.1514,38676.32002,140486.5938,462523.3656,490713.8764,6300.003829,50157.08566,43155.08722,14424.12573,NA,108021.9431,55320.09087,18688.75081
110469.5626,130697.3963,1659396.604,160627.9821,229168.5591,1137067.7,1496783.855,545646.7461,1005396.346,1128455.994,269167.4531,30799.42868,125292.0998,623663.3626,115826.1287,74409.49242,36300.9318,1305863.534
19650.18709,21243.16603,264427.4516,92231.70752,99958.35334,110426.1117,161872.6524,52985.23808,94967.17734,137841.8722,26868.56304,9796.992767,6185.520006,78469.94423,4389.017305,9340.665594,3776.088108,145188.789
377894.2029,8421.968618,1516.492706,575531.2302,1256661.591,506594.9613,21924.96186,351530.4524,23688.54357,41863.03846,853.4363101,5.769202386,NA,163.4853819,NA,1116.378118,NA,1.654375197
69802.21531,NA,NA,95203.23104,203844.0873,83478.06537,NA,43202.56537,NA,NA,27.97309349,218.2754946,10.18387096,577.9415283,NA,776.3698032,NA,339.3576535
84512.35076,2663.232446,9911.21335,297434.4389,471191.0061,779062.4597,31143.62105,227829.855,65488.63919,66500.80375,208.5476354,198.1387329,126.0345592,173.060394,88.03753357,NA,NA,122.1173706
40208.73496,59358.30699,8198.452032,102431.1845,176611.7822,340726.4321,19935.79244,96279.782,52781.63181,35544.01513,33860.73835,9601.764843,18954.2385,8609.763363,931.9389539,20927.58956,8702.416417,10859.80513
20488.18066,7484.501218,139735.2636,65770.47261,75886.79625,526677.9833,96119.22619,86832.07505,771151.157,211123.2218,314.348182,227.9679359,2040.436488,2951.93566,366.4951175,13799.55889,913.3546143,34696.02531
6092.041069,2639.825189,55549.73353,31157.96792,35583.78241,287847.3355,40381.06565,36062.59794,425598.432,109980.0182,297.3817426,161.1490615,783.5908291,476.4594251,31.61641148,1446.903848,647.8018346,11355.14849
122885.5396,3171.956618,10271.20341,109115.5383,157578.3988,308559.1016,13688.79827,147128.1809,976303.9931,545037.2664,40.55070859,52.08719071,NA,NA,8.285475045,275.5045527,NA,NA
35612.52184,622.6281925,1879.134209,32532.01364,56216.84703,40259.37197,2670.935689,47559.94212,335048.0399,304067.7638,NA,177.6610828,102.6104441,NA,90.22057652,613.7319832,NA,NA
55596.70958,52026.96176,1666605.593,209206.4714,185228.4472,1455223.029,934358.0091,292372.7922,381206.5897,604326.0764,123778.047,146215.8298,82014.1354,308807.9068,120865.3095,74693.25266,176863.6024,856261.7322
156524.9436,13602.66613,54098.97939,511563.5049,867725.3123,520285.2005,43336.20778,639954.0964,975570.4918,1879726.685,2320.157962,27483.7264,5472.957384,3349.650072,8159.326655,6746.481155,5568.48458,8067.696208
61882.44923,14319.79847,32015.58239,133405.7156,279386.1954,184047.1098,19086.86814,183003.9655,343306.4402,682925.452,9692.652226,24862.71688,16258.50366,7325.450067,26343.16787,30313.79237,10434.27756,36684.06268
8513.321653,32154.51375,3184.32779,220561.6187,660141.5856,239022.8593,19179.79383,212423.8015,702326.0076,1446714.689,6904.523361,5143.193674,29071.9217,23230.52055,1685.147164,262753.8258,90858.80569,23666.41283
6.18976826,494.6924798,187.7784798,27767.15512,87797.57695,30132.513,333.4755578,21171.86516,111952.6939,264970.8806,23.17630642,1.52626317,583.3141348,15.1700132,110.3732348,41673.37551,7881.803166,12.83327955
45789.42409,30444.55488,2636221.012,120333.1558,135630.9122,1375681.986,756923.3249,239221.9855,534700.4165,667179.3712,75908.43365,25750.49044,24505.2906,270010.4037,54122.12169,78964.27801,33440.29716,937185.5215
10411.86702,2058.558858,1008263.476,26551.86487,29367.99376,675013.0129,338284.9041,95382.95944,223385.982,291024.6741,13695.72212,1130.137497,5453.088653,76481.46829,2732.89008,14459.04795,11333.24036,419574.8169
114962.5251,10924.26073,21462.79979,351587.4083,831763.0987,262426.4381,41561.78339,66883.79059,593146.0965,258405.6989,4605.805398,4387.889991,19368.71677,6327.84932,2232.282161,42029.14017,4326.689484,8931.318325
166721.9353,14488.46752,18049.35923,464458.0049,1098223.511,385810.3584,42911.6892,82426.92373,875837.9382,351678.6477,809.8350398,2383.39059,14011.73686,1032.927442,564.9464713,51889.883,1032.062904,1460.415191
53745.76321,13449.95026,368609.9275,171938.5451,206833.4817,461331.8779,599017.9754,198077.6667,510917.033,429335.5213,9345.248629,822077.638,32458.27931,9106.854308,5621.470734,32412.31179,26187.60297,151537.2092
1251.856912,536.6226769,70733.44391,34511.26928,30639.83665,111985.9485,150856.8153,42915.33717,126164.0455,90745.36428,202.3565392,726.9133113,2230.458608,1232.804907,0.033869956,3149.011521,7814.811159,22443.35011
30118.24341,403.2790313,11904.76302,374125.3071,458094.5019,513207.2435,31805.21135,377081.5859,584602.0772,610810.7664,NA,344.935337,285.3117981,227.4393619,57.60275218,673.3397686,249.6643499,1546.150692
5271.555972,1749.314535,864.2550547,72529.57091,28527.28009,85263.18484,845.0852867,50728.08465,111577.0501,102912.3384,999.4698503,125.671778,2229.114182,3016.356873,1033.08836,3189.35096,3648.306823,2702.315028
644834.5017,19962.68431,83454.60631,229011.5976,546589.1298,718961.1156,147925.4037,235615.789,1269866.591,1830635.098,59251.56964,82608.03064,112119.8668,67279.02937,45319.24875,166516.8035,201034.8294,68359.27094
7625.431134,680.2987715,256.2370038,9093.39332,29117.10503,66922.69845,174.198737,12978.42215,121832.701,174528.478,NA,361.9106348,378.0335895,468.8074563,360.5374998,334.1135998,1057.519592,NA
27329.31815,4631.688814,225789.2596,30438.38668,184367.2277,367523.8248,154864.5707,211221.744,409900.2125,337147.7449,341.6079685,503.3227608,3012.767381,5589.469078,307.4771053,875.1896188,606.5647356,35614.30068
44221.27222,2099.11858,293622.2974,35241.90072,119420.4041,300069.8997,152737.5485,108033.4925,395285.1308,308661.6562,6165.03581,8374.706689,5115.551257,12119.92711,6959.739327,5113.727447,4311.14457,39357.62661
461605.3846,2536.767899,12918.49941,230845.5873,998101.0457,392603.4945,28854.46007,615252.6572,2089552.476,2386737.396,3765.411244,6944.040401,5945.244996,7091.739277,4274.883776,5816.133234,5208.308503,6930.35626
66122.85802,2427.539799,7056.96568,48730.23598,293446.2144,62511.14255,7521.583764,133318.2503,402520.5559,492332.668,2173.191472,2689.676218,7846.418881,1877.639671,2314.92652,372.8945695,2949.19951,3734.668066
