NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
3246800.471,431214.1404,41527.0035,197076.1888,3701529.161,1041108.819,486354.3384,375881.0512,96599.04309,240038.5718,11150.15151,1329.864273,24696.6335,1977475.618,26670.31313,1034.476099,696388.0526,295921.0453
316449.9712,1787697.033,1832759.3,102706.6852,732106.4147,1347647.946,105680.4832,38771.39281,2092304.469,512050.0434,1225895.88,207066.7963,3902286.2,307690.1998,647642.7986,18545.66528,195176.5686,171099.3208
176635.8943,1213855.149,1258991.43,56229.2118,495638.7054,866466.7606,64001.26372,16585.19371,1321899.021,327466.5534,757302.3367,119050.9808,2436626.32,174097.4945,366182.7942,6953.407528,123266.9038,89754.75614
685.5315154,27707.33054,38362.58437,25.07852896,2640.118243,6298.44909,2663.984433,1825.618608,29200.92987,4592.221058,8587.270744,4091.172139,58044.41158,1947.170579,3067.850923,4275.651717,6692.041162,1142.296251
819684.6398,1043566.968,40806.74416,35063.17859,2460672.943,1683974.748,86280.11337,20101.08915,117098.2764,669552.3722,25236.86899,53219.48823,80735.00645,644092.298,46549.50223,21223.54847,702671.7351,86219.69514
98166.2747,171619.8884,518.5931467,867.1070936,449248.8191,254760.7798,5531.703796,190.1332008,9981.11162,109255.1864,NA,367.2600877,6426.308879,75266.02652,1142.49492,702.8515857,76843.29924,12567.78302
4014702.425,807875.5516,92547.1405,199087.7394,2166256.601,733084.9149,245900.188,74578.34077,144585.1841,322018.6614,46464.50716,8547.958284,127328.6335,893690.3867,90096.85408,52441.81069,1057260.407,148823.2058
783291.801,179089.9385,2188.988384,21080.35781,473544.516,160085.4299,38241.69113,1756.098071,19182.76708,58507.27718,833.4838017,2068.009924,9261.809354,158659.446,1919.879398,355.538719,192110.3619,6950.238643
273986.3296,811025.8448,3248300.578,580753.9347,1538577.603,1223868.408,414572.8144,179505.4271,1165523.336,345099.0843,135883.4817,163437.6822,994385.2787,239189.5999,469430.1998,124847.5296,54010.25035,61557.18997
NA,15266.07733,122387.2934,5800.129443,55565.41814,38086.41514,5544.452878,NA,29130.50111,2122.342821,0.143417259,247.6190719,19694.13355,789.4097706,1857.102505,2343.698081,NA,NA
842562.6201,1131463.739,37964.76521,4234.834347,1979518.911,2159561.766,12899.42591,33849.30251,176278.3299,616096.2088,8542.670634,53706.49303,141441.2626,470341.077,11684.61661,55545.15454,129165.5868,37829.01944
85636.46088,138586.5992,1485.208095,344.6294411,315870.6821,291610.2562,1924.263571,740.9941718,22073.65963,64597.00574,9188.850249,6979.643142,3903.351672,31145.77856,1606.365029,6899.270397,19500.37501,24469.94365
1005396.395,1406083.326,1740.953457,1328.265407,2480125.745,1972585.589,2594.149071,908.447053,181816.4301,836775.0382,998.2179498,1523.787917,156556.8137,644496.577,2150.250571,1628.930423,535099.5634,56024.10137
1198387.114,1933620.982,13231.32231,5733.291025,3274749.146,2596565.691,4359.878615,10465.7508,157655.6658,1031922.917,8284.086874,3624.761303,182468.9636,803198.7145,7955.105306,12737.80793,633059.6439,30595.3231
1363262.432,437629.0395,5272.023727,50444.9792,1235609.323,1142091.37,148167.2629,4723.767674,87756.1918,560294.1717,9109.098225,2652.840968,29022.39646,1386976.331,10167.13802,887.3512081,385995.2693,136443.4787
1123677.8,387626.0979,399.5456134,23446.95674,1122950.897,1041452.257,89411.30306,3248.769215,52309.2027,485838.6219,4656.734159,2431.689945,9155.095662,1101965.449,140.5759808,888.5007608,310057.3052,94124.8218
