NP_CTRL1_50%,NP_CTRL2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_FM_1_1_50%,NP_FM_1_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_FM_3_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_FM_3_1_50%
613375.2533,628658.0904,5367.711219,151016.2673,102081.4027,15326.19305,27984.75341,33514.03613,64917.87286,23571.522,1443.065829,1056.109012,1822.877885,1705.710281,443.1994423,3642.997491,3691.440594,814.8671331
11919.58463,32155.79623,14208.60082,6145.338085,5138.378334,16548.74886,12605.87961,11788.79766,9105.300099,9764.078997,204505.6013,220668.4402,69624.75034,52484.38435,163419.9837,41900.81924,263081.9661,152647.2344
193907.098,307991.6958,114963.4344,129587.9573,97965.64087,106324.1665,181638.7244,164884.5386,155626.4297,124928.2121,492392.4529,771653.858,405418.2363,767351.025,1184998.069,363188.6439,368497.8742,372602.7273
3332068.797,690384.1121,6439098.575,6372600.259,6729205.877,10272801.96,4091945.427,5412615.428,13530523.15,11338031.66,697661.3524,504793.7716,465551.2623,1285343.907,616009.1118,476714.5739,505697.4285,2689072.034
343915.9101,796861.2418,601057.447,327540.9634,204939.2141,490967.6909,460528.9709,316693.3879,622452.3248,164474.711,3780350.061,4441778.189,2226418.468,932021.1691,5333417.723,1909013.769,2493111.276,2474956.254
388607.9632,463543.2672,1162415.135,763835.0561,570641.5099,715798.1627,1414685.079,811749.8869,894714.2013,400433.2537,3404769.596,4121295.02,3430034.917,1330006.002,7966781.635,2158374.752,4038347.893,3468355.109
66439.6186,178306.5132,29771.76174,51705.36164,36136.00577,4783.69917,4993.495869,7888.959417,36701.42879,35040.65424,1396.815524,1655.682266,965.7157793,1507.990098,763.8396962,3626.432356,1112.54909,5107.105518
348692.8776,405194.6869,297257.3676,271167.0709,395711.9067,247886.0217,357524.7147,307408.8126,542018.8399,257793.0515,1360372.686,1285335.721,941597.3912,474492.7216,1183106.982,719010.8508,1217619.194,1229291.761
4483769.919,1117797.467,49704.11583,243691.0947,254540.7178,33316.65234,66507.82924,75623.54947,130916.2529,53606.7738,101902.4085,69853.04548,48158.13737,29245.75676,68303.26739,74546.54198,38762.5417,36204.35016
106552.9992,92278.41934,5269.154336,1822.827159,1175.003815,2276.245322,2597.220049,4187.615152,5703.45126,1250.145972,9235.240667,9402.529959,2832.142357,1497.200469,6940.290919,5900.655843,8340.090819,3013.62334
457004.8024,890045.2673,10707.5246,62372.53411,37620.69741,2483.930013,21978.25656,29031.07591,27984.05594,5830.724582,4547.521262,3906.353092,6758.678315,5728.102503,1912.665902,7143.590074,739.2374064,3648.176056
39854.5831,110734.922,25058.34712,47228.116,35801.54138,26563.81439,39491.30906,30611.28231,26788.23531,20810.95219,219525.5665,103821.2896,138542.0097,113857.4364,84223.41827,67397.33173,140636.1128,100044.0391
308026.2686,554745.7563,114889.9482,25198.18004,48381.13006,59366.34292,40144.27742,34595.70294,254618.2643,36804.91579,1119363.3,578181.6251,569329.5487,180664.0418,1066786.943,513570.2188,1121145.347,438044.4768
5539.361609,6797.635594,5276.160993,4756.663542,3260.537596,10992.41095,6027.617869,3703.300209,12874.31409,12623.09616,303705.4173,199347.3895,24857.19583,19018.93478,121691.9944,309414.5298,93143.11056,260888.8275
5123202.731,8235139.999,5842782.459,3530304.754,3916798.212,4054006.785,7098360.78,3845564.619,6006555.872,4164796.731,42269065.21,28745927.52,16142413.33,7909186.359,33349186.77,12250991.06,41240441.83,21694996.37
139050715.9,95351319.66,259997035.9,60991966.76,133366650.6,115534476.1,243634082.5,186753889.1,123800790.6,133343966.8,541750494.1,570561598.3,382251527.7,417578209.2,785328918.1,284081587.1,594047801.8,488123170.7
9427272.748,3711866.82,2169641.77,1179012.477,1499329.524,2804811.53,2429087.703,1747142.416,3412358.706,1675794.011,6898835.037,7277886.439,5854992.722,5194959.242,14963672,7503762.759,5500793.376,5690340.375
1234459.875,2571845.019,2256554.696,698685.1649,747328.4895,1312119.104,2393684.416,1018176.364,1639683.529,883332.0774,6433472.607,4904479.777,4596667.192,4205482.215,9064353.697,3264517.7,7042666.421,3874415.258
127952.1072,2200.933213,2691.839144,5198.034952,3544.633002,261.4314612,202.9867935,1422.989844,1464.794291,885.5695656,467883.4763,208565.0012,100282.2422,15773.62525,72141.99607,40210.54069,214740.652,146716.105
601430813.6,445367016.7,976632480.6,162476397.3,404213848.5,378070104.3,791168893.3,451555855.1,411318950.5,366914914.5,2061275383,1866292726,1345957164,1556214624,1844149054,1097844631,2320447518,1597753334
236.5040122,NA,7949.722847,2078.285056,469.8390447,6428.722666,3989.214758,8120.572725,12285.97525,18689.94871,29549.26755,35094.07068,12467.17235,6982.603153,17403.6543,47264.87392,73935.50036,57258.27318
665506.7196,460520.3987,4029464.616,5561294.706,2130920.028,1785209.614,3470713.873,1474299.969,3259311.462,3015690.778,180930.2601,252718.9329,108944.6168,904458.8367,104447.5309,270967.7875,61250.07618,1048985.421
408612.6911,643467.7243,30540.74991,37436.37112,61076.2126,25512.20917,32332.52255,16332.09882,63249.28829,52226.53824,216133.2315,122518.1501,116415.8498,28489.82133,71367.09316,106719.9627,64295.43253,88586.90659
11641967.26,2597222.679,524879.3827,5670559.867,7396261.725,310492.3182,1519995.382,2730195.308,2984410.964,2992074.861,199433.5952,106038.1793,214755.9628,157852.2364,64357.80418,386764.1073,263878.7846,190871.3178
152208.2611,553788.5125,1819.548389,30364.18495,17079.204,2581.364972,4370.390587,5217.845485,14908.34149,18942.5243,4020.2696,2367.585924,6713.263679,8771.766961,9368.045237,4341.637033,4576.971678,4127.802696
8941.497861,24736.85172,7318.2167,39202.65562,8041.163198,9865.054274,8661.785398,11831.43143,7215.396761,13066.11318,148448.8673,720966.0075,169808.8988,24249.12498,211346.2295,43621.66023,518839.1504,241211.7785
19110548.82,719613.2669,289198.5735,6807593.519,15543351.08,3463339.498,782020.7219,4926795.812,19373924.85,27773390.27,77899.98361,88884.01964,201247.3933,156958.827,114832.1032,111775.69,70372.24802,58506.22986
83058.07301,96266.84413,353294.0051,76949.86849,71482.67367,185758.8423,297826.8809,211203.3527,66243.49761,76661.29064,1278770.666,307055.3963,1140085.141,2267484.4,582713.6449,597891.6742,1752447.467,567544.6022
206936.6148,69731.74453,16117.04872,120805.1865,94357.08295,6746.399862,12426.38673,30001.80523,78659.34908,76422.16652,6400.250394,5582.450775,9232.334337,2539.340509,2863.8959,7036.400445,2282.649209,1989.286085
641974.8098,1421613.848,1162497.481,289175.3165,481518.5907,1094752.014,782743.8811,768611.8732,950156.4356,731567.68,3043300.957,6980386.483,3066436.706,1444707.643,9171546.495,2620770.553,2662181.81,3874808.429
1265057.03,906972.9599,98831.42772,300106.9006,171677.7332,159451.8104,266722.1375,168722.4227,250861.5882,102115.253,159565.4659,127727.7796,184594.711,94319.93885,366057.1603,126288.1135,105144.901,175759.5814
387951.072,365309.8752,519007.7551,108751.9026,211837.2352,579451.2038,330361.823,311881.5369,400520.0548,273990.853,1127785.747,1400231.678,1241157.541,617137.3197,2152538.669,757062.9403,1475418.932,1184541.3
47496.27439,35041.44256,18835.13265,10211.85893,24827.25189,33443.84886,19595.87709,16338.78786,23877.73145,10309.97055,41737.60997,90835.74286,67323.11425,42943.12168,166852.4251,52873.08161,52106.17427,75617.50331
42263.55904,56542.53137,93982.21264,28584.55439,11014.23854,82125.96704,45708.67583,30055.91995,70434.25669,21434.93678,338676.1489,83032.17894,316656.851,367584.8539,255974.7706,260158.6085,695393.7991,173063.1618
265970.8963,277145.7883,263833.3981,36168.43489,131359.0497,427502.7729,217101.164,193153.848,371462.9466,208688.9243,1135351.883,1241761.111,1105719.116,600720.8871,2038287.205,716771.0511,986694.8387,1323263.51
69700.4984,75268.23627,52438.1691,36665.22193,32052.34673,64992.43601,49934.85557,76513.90901,100405.4954,68151.53285,210533.6189,294327.2313,177330.2153,77317.36181,364841.2314,168231.8335,154507.2081,214570.3075
15368151.27,18643915.06,32289517.09,8364378.547,16205462.24,33375382.4,31529781.83,15002750.59,20522417.02,20075201.2,83284658.41,43708657.97,56157304.07,52652516.42,63338866.78,38372486.48,92911281.87,54677804.73
147068.0428,340846.8786,15024.12752,1355680.067,336373.0354,33896.51109,45890.8825,160207.2619,148332.7688,86358.90966,1476.627366,881.0649055,28294.77622,863.9052785,1123.449899,3166.397332,788.763078,19575.04371
