NP_CTRL1_50%,NP_CTRL2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_FM_1_1_50%,NP_FM_1_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_FM_3_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_FM_3_1_50%
587576.3939,465921.7744,6705.69865,158089.5962,150858.0717,29264.04758,27984.75341,44884.51385,109094.247,41794.91494,735.4674632,608.895957,1310.28017,1074.877213,184.9950136,3399.39119,2214.105647,850.4088825
11418.24114,23831.85052,17750.32066,6433.17461,7593.604974,31598.41277,12605.87961,15788.44309,15301.42339,17312.79173,104227.55,127225.6174,50046.10043,33073.76957,68212.81621,39098.92229,157795.1078,159305.1907
185751.2718,228264.043,143619.8996,135657.6229,144775.7112,203016.8521,181638.7244,220825.7558,261529.6437,221511.5341,250950.872,444894.333,291413.6377,483556.9911,494627.7293,338902.3131,221022.9863,388854.3985
3191920.374,511669.2133,8044146.352,6671081.333,9944563.809,19615031.88,4091945.427,7248981.029,22737994.48,20103583.84,355567.4417,291037.0835,334637.1099,809977.4578,257127.1601,444836.7936,303314.52,2806360.265
329450.6408,590583.3543,750880.5796,342882.3899,302863.5368,937460.5827,460528.9709,424139.5665,1046028.847,291631.8496,1926678.89,2560891.68,1600344.155,587326.1878,2226211.474,1781358.512,1495354.351,2582905.479
372262.9246,343549.0688,1452165.603,799611.709,843306.1808,1366755.033,1414685.079,1087156.405,1503563.931,710012.4369,1735261.973,2376118.23,2465500.718,838121.9021,3325398.761,2014044.79,2422178.725,3619633.033
63645.13615,132149.5552,37192.84708,54127.1473,53402.5592,9134.062169,4993.495869,10565.48686,61676.61635,62130.95461,711.895708,954.5778196,694.1541426,950.2810716,318.8328356,3383.933761,667.3007896,5329.860195
334026.6868,300304.7768,371353.4964,283868.0462,584791.4863,473317.0403,357524.7147,411704.9661,910860.6707,457095.586,693322.3892,741055.8142,676817.9042,299008.2313,493838.3744,670930.781,730321.2562,1282909.312
4295180.391,828441.0674,62093.65758,255105.1449,376165.6957,63615.28243,66507.82924,101280.7362,220004.2824,95050.73756,51935.19545,40273.52906,34615.95148,18429.62305,28510.33343,69561.63398,23249.55807,37783.46152
102071.3285,68390.95135,6582.574896,1908.205087,1736.445671,4346.294685,2597.220049,5608.368671,9584.628905,2216.647044,4706.797769,5420.995763,2035.737007,943.4818361,2896.933277,5506.080511,5002.340334,3145.067402
