NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
861.7041751,436.4828098,806.3674471,347.2660661,30477.85668,11380.69796,196307.8548,39148.39598,497.8238969,789.024601,100.0734858,1909.771992,324.0614509,741.7773811,457.5627924,286.4013832,709.4321304,1144.001409
1175.003815,2276.245322,3013.62334,2832.142357,5703.45126,1250.145972,5900.655843,8340.090819,2597.220049,4187.615152,1497.200469,6940.290919,5269.154336,1822.827159,9235.240667,9402.529959,106552.9992,92278.41934
12854.021,2137.311028,4304.067594,7171.873523,25497.48725,19285.76402,8690.058609,11130.91095,5581.656289,5006.013306,3969.031212,8359.491872,6671.412448,22986.50467,5026.230792,14665.349,116424.1498,122824.6783
254540.7178,33316.65234,36204.35016,48158.13737,130916.2529,53606.7738,74546.54198,38762.5417,66507.82924,75623.54947,29245.75676,68303.26739,49704.11583,243691.0947,101902.4085,69853.04548,4483769.919,1117797.467
171677.7332,159451.8104,175759.5814,184594.711,250861.5882,102115.253,126288.1135,105144.901,266722.1375,168722.4227,94319.93885,366057.1603,98831.42772,300106.9006,159565.4659,127727.7796,1265057.03,906972.9599
23145.24004,28687.23755,10326.07252,22813.26223,12861.23362,2055.159576,12525.24826,11312.61486,20350.364,2023.484527,4172.831251,7259.487723,15123.94388,11224.38178,22720.26152,4055.84819,744548.4598,135471.7749
17079.204,2581.364972,4127.802696,6713.263679,14908.34149,18942.5243,4341.637033,4576.971678,4370.390587,5217.845485,8771.766961,9368.045237,1819.548389,30364.18495,4020.2696,2367.585924,152208.2611,553788.5125
576358.1927,340618.3625,720594.7153,709645.5519,491403.6234,561597.1223,986490.0388,249864.6302,1871248.181,359616.7549,303113.3975,326125.5663,250141.5222,465414.5974,89382.14158,107470.1163,59907.45167,11347.34903
65477.06769,17377.47074,14503.458,15260.77433,191532.5196,160634.724,30932.17586,76246.53554,30595.41561,30221.39231,29265.63472,28841.08333,14935.06409,102022.2598,30725.34023,65686.01946,366328.6459,467709.8738
469.8390447,6428.722666,57258.27318,12467.17235,12285.97525,18689.94871,47264.87392,73935.50036,3989.214758,8120.572725,6982.603153,17403.6543,7949.722847,2078.285056,29549.26755,35094.07068,236.5040122,NA
15382.90413,1390.252559,9633.32749,5398.84528,9591.859151,3541.162381,8648.459871,3127.849005,4693.824848,3832.640125,2082.443006,767.4902851,1017.345585,8578.590031,6701.186348,8335.293142,96387.07263,154617.9533
8620.305723,3025.37664,6289.575679,10159.12885,66994.32428,32368.9092,59074.72768,111227.5319,478.734041,2075.147407,775.1731003,1108.007433,79.37955795,6564.795408,17277.47513,2426.395859,24025.83988,23353.69032
980.0601265,NA,450.828953,144.7915598,78624.99337,40255.07681,808180.1567,961412.3843,580.2318366,2108.345174,7655.322857,166.7193251,807.5182121,4655.692376,398.5931299,32.8597741,926.7495966,1628.163242
106070.8616,31368.2018,31855.10164,51076.75099,215157.3278,131689.5413,190108.761,121815.7864,16955.20258,40805.59699,32414.52682,11312.43429,10850.23999,73061.81889,53281.33279,15060.81494,124525.7562,76405.76505
2260.647073,215.5778974,47.62790061,436.5723017,9235.777077,3018.492476,1052.679581,801.2776745,837.0361712,973.9107607,302.206547,619.2225917,323.3686694,2109.416194,551.4821916,489.3125316,10533.63742,58732.62432
61076.2126,25512.20917,88586.90659,116415.8498,63249.28829,52226.53824,106719.9627,64295.43253,32332.52255,16332.09882,28489.82133,71367.09316,30540.74991,37436.37112,216133.2315,122518.1501,408612.6911,643467.7243
