NP_FM_1_1_50%,NP_FM_1_2_50%,NP_FM_3_1_50%,NP_FM_3_2_50%,NP_SM_1_1_50%,NP_SM_1_2_50%,NP_SM_3_1_50%,NP_SM_3_2_50%,NP_PM_1_1_50%,NP_PM_1_2_50%,NP_PM_3_1_50%,NP_PM_3_2_50%,NP_CM_1_1_50%,NP_CM_1_2_50%,NP_CM_3_1_50%,NP_CM_3_2_50%,NP_CTRL1_50%,NP_CTRL2_50%
1273.444788,833.426388,841.538469,249.6139998,51217.92626,20179.23591,183180.7993,23480.99133,497.8238969,1056.720996,63.06270811,797.1541968,404.838924,776.5208924,233.1997192,165.1237158,679.5930723,847.8617783
1736.445671,4346.294685,3145.067402,2035.737007,9584.628905,2216.647044,5506.080511,5002.340334,2597.220049,5608.368671,943.4818361,2896.933277,6582.574896,1908.205087,4706.797769,5420.995763,102071.3285,68390.95135
18995.94608,4081.0116,4491.796472,5155.125166,42848.43372,34195.79215,8108.956635,6676.258806,5581.656289,6704.428934,2501.140584,3489.319174,8334.368155,24063.15099,2561.649743,8455.255674,111527.2938,91029.91421
376165.6957,63615.28243,37783.46152,34615.95148,220004.2824,95050.73756,69561.63398,23249.55807,66507.82924,101280.7362,18429.62305,28510.33343,62093.65758,255105.1449,51935.19545,40273.52906,4295180.391,828441.0674
253709.0117,304459.5192,183425.6202,132686.2272,421571.978,181061.6351,117843.26,63065.32995,266722.1375,225965.7384,59437.02993,152795.2043,123466.7337,314163.3652,81323.5308,73641.00463,1211848.12,672191.2233
34204.52884,54775.81302,10776.46089,16398.11715,21613.25588,3644.02518,11687.68814,6785.243806,20350.364,2710.002428,2629.568032,3030.168591,18893.82755,11750.11153,11579.5224,2338.385089,713232.392,100403.1455
25240.01154,4928.894418,4307.843494,4825.47753,25053.41314,33587.19017,4051.312886,2745.242292,4370.390587,6988.130496,5527.651753,3910.297464,2273.099777,31786.38847,2048.955373,1365.023384,145806.3081,410433.1597
851754.4163,650381.4701,752024.6207,510091.4889,825801.9852,995773.7968,920523.7048,149867.4229,1871248.181,481625.7628,191011.151,136127.4356,312493.2768,487213.7757,45554.16364,61961.51966,57387.71532,8409.940279
96763.40561,33180.78592,15136.04981,10969.4073,321869.6961,284823.128,28863.74926,45732.2502,30595.41561,40474.75799,18442.14943,12038.50026,18657.86646,106800.798,15659.3605,37871.04479,350920.6861,346637.0952
694.33815,12275.09306,59755.68548,8961.373027,20646.5363,33139.34572,44104.28402,44346.10408,3989.214758,10875.68079,4400.185132,7264.425346,9931.317762,2175.628171,15059.96774,20233.36371,226.5565392,NA
22733.18346,2654.567699,10053.50067,3880.676796,16119.08409,6278.872468,8070.139594,1876.066529,4693.824848,5132.959459,1312.280614,320.3566208,1270.93516,8980.395677,3415.301246,4805.684109,92332.9858,114593.0869
12739.27145,5776.696513,6563.905706,7302.356995,112583.716,57393.65523,55124.41591,66713.65828,478.734041,2779.193236,488.4861814,462.4912186,99.16617584,6872.278556,8805.572515,1398.930046,23015.30145,17308.2841
1448.353735,NA,470.4925878,104.0758194,132129.0127,71376.70241,754137.3585,576649.8293,580.2318366,2823.654179,4824.108871,69.58998783,1008.804976,4873.756589,203.1454644,18.94518783,887.770061,1206.692029
156753.7791,59894.88369,33244.51348,36713.84381,361571.0994,233500.1184,177396.2373,73064.43474,16955.20258,54649.9197,20426.46787,4721.901102,13554.83495,76483.90239,27155.16221,8683.260177,119288.1428,56627.13989
3340.832407,411.6274555,49.70526862,313.8071038,15520.68947,5352.120932,982.2871692,480.6019163,837.0361712,1304.334424,190.4396864,258.4684925,403.9734556,2208.217435,281.0663244,282.1114287,10090.58754,43528.92129
90259.7282,48713.36936,92450.76796,83679.4284,106290.1968,92603.42728,99583.62633,38564.04473,32332.52255,21873.17316,17953.25977,29789.19896,38153.51778,39189.82306,110153.6439,70637.41092,391426.2439,476897.7421
