Log2-transformed iBAQ NOR_1,Log2-transformed iBAQ NOR_2,Log2-transformed iBAQ NOR_3,Log2-transformed iBAQ NOR_4,Log2-transformed iBAQ NOR_5,Log2-transformed iBAQ NOR_6,Log2-transformed iBAQ CKD_1_1,Log2-transformed iBAQ CKD_1_2,Log2-transformed iBAQ CKD_1_3,Log2-transformed iBAQ CKD_1_4,Log2-transformed iBAQ CKD_1_5,Log2-transformed iBAQ CKD_1_6,Log2-transformed iBAQ CKD_1_7,Log2-transformed iBAQ CKD_1_8,Log2-transformed iBAQ CKD_1_9,Log2-transformed iBAQ CKD_3_1,Log2-transformed iBAQ CKD_3_2,Log2-transformed iBAQ CKD_3_3,Log2-transformed iBAQ CKD_3_4,Log2-transformed iBAQ CKD_3_5,Log2-transformed iBAQ CKD_3_6,Log2-transformed iBAQ CKD_3_7,Log2-transformed iBAQ CKD_3_8,Log2-transformed iBAQ CKD_3_9,Log2-transformed iBAQ CKD_3_10,Log2-transformed iBAQ CKD_3_11,Log2-transformed iBAQ CKD_5_1,Log2-transformed iBAQ CKD_5_2,Log2-transformed iBAQ CKD_5_3,Log2-transformed iBAQ CKD_5_4,Log2-transformed iBAQ CKD_5_5,Log2-transformed iBAQ CKD_5_6,Log2-transformed iBAQ CKD_5_7,Log2-transformed iBAQ CKD_5_8,Log2-transformed iBAQ CKD_5_9,Log2-transformed iBAQ CKD_5_10
19.36275291,20.25534248,20.27104759,21.54802132,20.16705132,16.3139286,21.02944946,18.38355255,21.68097496,20.33984566,21.33549118,NaN,20.59304428,19.92896843,19.81381226,19.35571671,20.19135284,NaN,21.6923008,21.65988159,17.32104683,NaN,20.36815643,17.93755722,18.72334099,NaN,21.66882324,19.78452682,18.36037636,NaN,21.64996338,NaN,20.78124809,22.94417381,20.45151329,17.96222878
20.30463219,21.71309662,17.00382614,20.5799427,21.42981911,NaN,19.23448944,18.17762375,19.47022629,21.89056015,22.43494225,NaN,22.28895187,21.00463486,18.71615601,16.7851963,15.37595558,NaN,16.85221291,NaN,18.37428474,17.29104424,18.00788116,NaN,16.92810249,18.55921364,NaN,NaN,NaN,17.72180748,20.75808716,NaN,NaN,19.54958153,21.57759285,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.28518486,NaN,NaN,NaN,NaN,NaN,NaN,19.75094223,18.43424606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.08489132,15.097785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.63332176,17.25580406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.62916374,NaN,18.32785988,NaN,NaN,20.53507042,23.03702927,25.24412537,25.23300934,25.06591225,27.28779984,25.52659416,25.4184761,26.22576714,25.61734009,25.30375481,25.0651741,23.40665436,22.58070183,25.25947189,26.72455406,26.9739933,22.05814552,26.50997925,26.18942833,25.81497002,26.67060661,25.42524719,26.35598755,25.91795731,26.53356171,26.27116966,26.11211395,23.43733215,25.01022148,25.58026314
NaN,14.99329185,NaN,NaN,NaN,NaN,22.00374222,26.33161163,25.50588226,24.44354248,26.08405685,25.39702034,25.43679237,24.19565392,24.69625473,24.91624832,26.74278259,23.97482491,22.76947212,25.88035583,25.99703407,27.40397453,23.25205231,23.03289986,24.74791145,NaN,25.45202255,25.60308838,25.90896225,24.67788124,26.76331902,25.53718185,25.84689903,24.13852501,24.52921867,23.87502098
26.96124268,20.83476067,26.32154846,28.59124374,25.54073334,27.01414299,27.82408142,27.02093887,27.10529518,27.01073265,27.57823563,27.40478706,27.88483429,24.8484745,24.88157082,27.90586853,26.87724686,26.69895935,28.22412109,26.16538048,22.11203384,28.47714996,26.90667152,27.66146088,27.07734871,25.73252106,27.73169136,26.60964012,22.06638145,26.80205727,27.78867912,22.40358925,29.78319359,28.77994156,27.95238113,27.73343849
22.02715492,20.01794434,22.77970505,NaN,20.21549034,23.66025162,22.422575,24.62377167,25.32020569,21.0116806,20.10929489,22.75704956,23.19594002,23.98433304,24.36044884,17.86894226,24.68228149,25.51541901,25.01252556,23.37848663,23.76080894,23.59172058,NaN,24.21141052,21.68281746,23.29893875,23.78496552,24.38627052,24.35769844,24.92211533,25.10225487,23.81186295,22.77850342,25.50464058,24.0878849,24.69758034
NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0284214,25.14499283,NaN,26.02487564,23.15746117,NaN,NaN,25.25443459,NaN,NaN,25.33912468,NaN,23.07460213,NaN,24.81225395,NaN,NaN,25.92188835,23.40171432,25.6995945,24.19887924,25.75322723,23.22349548,NaN,NaN,NaN,22.15733719,22.11330795,23.29347801
25.23055649,25.85581017,24.83238792,24.95371437,25.48845863,25.82310867,25.965168,27.13780212,26.66993141,26.54957199,27.3950119,26.10447693,26.46408844,27.08588028,27.2105751,25.83566666,26.84911919,25.80574989,26.21591568,27.10169411,27.54988098,27.85804176,27.79414368,26.77492523,26.49347496,25.94717407,28.60226059,26.68845749,27.52663994,27.17398071,29.34996986,27.35992813,27.42037201,29.25889587,26.52702713,27.50218391
