N60,N122,N186,N204,N288,N315,N406
86796,93399,124479,73027,1216791,2097506,67270
86796,93399,124479,73027,1216791,2097506,67270
86796,93399,124479,73027,1216791,2097506,67270
119693,465243,531456,244273,4868934,2961665,72176
119693,465243,531456,244273,4868934,2961665,72176
119693,465243,531456,244273,4868934,2961665,72176
249134,966668,645337,329322,5780302,28452396,102869
249134,966668,645337,329322,5780302,28452396,102869
249134,966668,645337,329322,5780302,28452396,102869
744173,1742216,2178693,418024,9216240,35194388,105444
744173,1742216,2178693,418024,9216240,35194388,105444
744173,1742216,2178693,418024,9216240,35194388,105444
1065731,1976242,2860715,1407801,15693340,49287148,143673
1065731,1976242,2860715,1407801,15693340,49287148,143673
1065731,1976242,2860715,1407801,15693340,49287148,143673
1168230,3487194,3361996,4048230,45986088,69260968,193345
1168230,3487194,3361996,4048230,45986088,69260968,193345
1168230,3487194,3361996,4048230,45986088,69260968,193345
1423481,3782231,3452383,4069896,46217472,88031976,212992
1423481,3782231,3452383,4069896,46217472,88031976,212992
1423481,3782231,3452383,4069896,46217472,88031976,212992
2226948,6125947,9056619,5711231,50788672,160440624,240540
2226948,6125947,9056619,5711231,50788672,160440624,240540
2226948,6125947,9056619,5711231,50788672,160440624,240540
2686066,7588483,13911480,6204804,75264072,173969328,258930
2686066,7588483,13911480,6204804,75264072,173969328,258930
2686066,7588483,13911480,6204804,75264072,173969328,258930
3242757,9541564,14904774,6673110,129779056,287024384,294358
3242757,9541564,14904774,6673110,129779056,287024384,294358
3242757,9541564,14904774,6673110,129779056,287024384,294358
4423912,15162832,18470760,9430017,842393152,584318208,411151
4423912,15162832,18470760,9430017,842393152,584318208,411151
4423912,15162832,18470760,9430017,842393152,584318208,411151
4888557,17406414,24910108,16050736,1927860224,822044928,534465
4888557,17406414,24910108,16050736,1927860224,822044928,534465
4888557,17406414,24910108,16050736,1927860224,822044928,534465
5496084,58507932,39103272,25253622,6887483392,977889920,552862
5496084,58507932,39103272,25253622,6887483392,977889920,552862
5496084,58507932,39103272,25253622,6887483392,977889920,552862
6567834,138277040,100380352,29693992,9050867712,1494593792,574384
6567834,138277040,100380352,29693992,9050867712,1494593792,574384
6567834,138277040,100380352,29693992,9050867712,1494593792,574384
8921468,189922240,197890176,84470752,9259766784,1602917120,621448
8921468,189922240,197890176,84470752,9259766784,1602917120,621448
8921468,189922240,197890176,84470752,9259766784,1602917120,621448
12665530,335311904,229162960,125721056,11319729152,1694540032,659949
12665530,335311904,229162960,125721056,11319729152,1694540032,659949
12665530,335311904,229162960,125721056,11319729152,1694540032,659949
18241384,357137088,438159392,164121696,12793854976,2035715584,683578
18241384,357137088,438159392,164121696,12793854976,2035715584,683578
18241384,357137088,438159392,164121696,12793854976,2035715584,683578
24843888,718918016,487835520,220827456,17319993344,2557410816,708788
24843888,718918016,487835520,220827456,17319993344,2557410816,708788
24843888,718918016,487835520,220827456,17319993344,2557410816,708788
33547992,935006016,1672009088,221154688,26256842752,4756955136,937155
33547992,935006016,1672009088,221154688,26256842752,4756955136,937155
33547992,935006016,1672009088,221154688,26256842752,4756955136,937155
46944016,1139707648,2112948480,278270080,35322650624,4807854080,1026055
46944016,1139707648,2112948480,278270080,35322650624,4807854080,1026055
46944016,1139707648,2112948480,278270080,35322650624,4807854080,1026055
74197664,1466331904,3022440192,302089344,38556258304,7081718784,1031828
74197664,1466331904,3022440192,302089344,38556258304,7081718784,1031828
74197664,1466331904,3022440192,302089344,38556258304,7081718784,1031828
78855176,1469185024,3373472256,311037696,55134052352,10182381568,1063123
78855176,1469185024,3373472256,311037696,55134052352,10182381568,1063123
78855176,1469185024,3373472256,311037696,55134052352,10182381568,1063123
85333008,1469493760,3411155200,332211456,312287,13433921536,1362397
85333008,1469493760,3411155200,332211456,312287,13433921536,1362397
85333008,1469493760,3411155200,332211456,312287,13433921536,1362397
87141768,1565128704,4276772864,345752192,777054,13706397696,1557941
87141768,1565128704,4276772864,345752192,777054,13706397696,1557941
87141768,1565128704,4276772864,345752192,777054,13706397696,1557941
98714088,1579065344,6221369344,356951616,2395282,28942030848,1781206
98714088,1579065344,6221369344,356951616,2395282,28942030848,1781206
98714088,1579065344,6221369344,356951616,2395282,28942030848,1781206
100064704,1593976704,9884778496,388946784,7119190,30098249728,2412392
100064704,1593976704,9884778496,388946784,7119190,30098249728,2412392
100064704,1593976704,9884778496,388946784,7119190,30098249728,2412392
107626656,1636163328,18592620544,392984512,24530902,89097240576,2631954
107626656,1636163328,18592620544,392984512,24530902,89097240576,2631954
107626656,1636163328,18592620544,392984512,24530902,89097240576,2631954
117329488,2592785920,23319775232,416637824,25367620,660971,2634897
117329488,2592785920,23319775232,416637824,25367620,660971,2634897
117329488,2592785920,23319775232,416637824,25367620,660971,2634897
120572048,3171464704,48824938496,529097472,30091506,6405344,3112331
120572048,3171464704,48824938496,529097472,30091506,6405344,3112331
120572048,3171464704,48824938496,529097472,30091506,6405344,3112331
144900704,3226987008,77918945280,756149376,53152824,17596248,3383898
144900704,3226987008,77918945280,756149376,53152824,17596248,3383898
144900704,3226987008,77918945280,756149376,53152824,17596248,3383898
151274288,3637116928,1.04366E+11,829340928,62361228,49169696,3527237
151274288,3637116928,1.04366E+11,829340928,62361228,49169696,3527237
151274288,3637116928,1.04366E+11,829340928,62361228,49169696,3527237
184221632,3723306752,5540,1155685376,102854624,91563312,3729728
184221632,3723306752,5540,1155685376,102854624,91563312,3729728
184221632,3723306752,5540,1155685376,102854624,91563312,3729728
199404448,3920543744,288123,1190979072,197384016,101675480,3966062
199404448,3920543744,288123,1190979072,197384016,101675480,3966062
199404448,3920543744,288123,1190979072,197384016,101675480,3966062
294948704,4217967104,668538,1337906048,741601344,139386528,4593034
294948704,4217967104,668538,1337906048,741601344,139386528,4593034
294948704,4217967104,668538,1337906048,741601344,139386528,4593034
339309664,5123952640,2783928,1487950464,1719732864,230446656,4913081
339309664,5123952640,2783928,1487950464,1719732864,230446656,4913081
339309664,5123952640,2783928,1487950464,1719732864,230446656,4913081
347219104,6639374336,4348435,1681029888,5813435392,676202432,6252664
347219104,6639374336,4348435,1681029888,5813435392,676202432,6252664
347219104,6639374336,4348435,1681029888,5813435392,676202432,6252664
355830752,9245043712,4414792,1724116352,8321857536,748933696,7822715
355830752,9245043712,4414792,1724116352,8321857536,748933696,7822715
355830752,9245043712,4414792,1724116352,8321857536,748933696,7822715
469531040,9883624448,22850520,1748124928,8958035968,866854784,8216946
469531040,9883624448,22850520,1748124928,8958035968,866854784,8216946
469531040,9883624448,22850520,1748124928,8958035968,866854784,8216946
525524832,10261053440,40096504,1758087168,9733986304,1243056512,8332517
525524832,10261053440,40096504,1758087168,9733986304,1243056512,8332517
525524832,10261053440,40096504,1758087168,9733986304,1243056512,8332517
770915200,11893939200,42079600,1823064448,17140482048,1380986368,8351972
770915200,11893939200,42079600,1823064448,17140482048,1380986368,8351972
