norm_FC_126_Control_1,norm_FC_127L_Control_1,norm_FC_127H_Control_1,norm_FC_128L_Control_1,norm_FC_128H_Control_1,norm_FC_129L_Control_1,norm_FC_129H_Control_1,norm_FC_130L_Control_1,norm_FC_130H_Control_1,norm_FC_131_Control_1,norm_FC_126_Control_2,norm_FC_127L_Control_2,norm_FC_127H_Control_2,norm_FC_128L_Control_2,norm_FC_128H_Control_2,norm_FC_129L_Control_2,norm_FC_129H_Control_2,norm_FC_130L_Control_2,norm_FC_130H_Control_2,norm_FC_131_Control_2,norm_FC_126_Napabucasin_1,norm_FC_127L_Napabucasin_1,norm_FC_127H_Napabucasin_1,norm_FC_128L_Napabucasin_1,norm_FC_128H_Napabucasin_1,norm_FC_129L_Napabucasin_1,norm_FC_129H_Napabucasin_1,norm_FC_130L_Napabucasin_1,norm_FC_130H_Napabucasin_1,norm_FC_131_Napabucasin_1,norm_FC_126_Napabucasin_2,norm_FC_127L_Napabucasin_2,norm_FC_127H_Napabucasin_2,norm_FC_128L_Napabucasin_2,norm_FC_128H_Napabucasin_2,norm_FC_129L_Napabucasin_2,norm_FC_129H_Napabucasin_2,norm_FC_130L_Napabucasin_2,norm_FC_130H_Napabucasin_2,norm_FC_131_Napabucasin_2
0.089663603,0.200037025,0.351084027,0.469445125,0.568887597,0.827243318,0.836043461,0.763638533,0.870916972,0.998665182,0.165622135,0.236796209,0.321836812,0.444927525,0.555739966,0.857361242,0.86304478,0.937452128,0.955047213,0.998665182,0.117056586,0.202931136,0.310475323,0.43448741,0.584174768,0.73398513,0.876308975,0.934318253,0.961650699,0.998665182,0.18207338,0.217496504,0.295079869,0.386477128,0.555028622,0.71536812,0.899998077,0.932816547,0.992459164,0.998665182
,,,,,,,,,,0.070103768,0.088884319,0.093739899,0.122151573,0.242441449,0.466231947,0.776452123,0.934414267,1.017183515,0.998665182,0.089482522,0.102842419,0.132050218,0.194727087,0.324275227,0.642300824,0.812789141,0.911973514,0.932245621,0.998665182,0.093423042,0.118627162,0.136229196,0.191805406,0.29057129,0.544087785,0.802956192,0.950761453,1.036941254,0.998665182
0.787579183,0.62257299,0.416237015,0.326905845,0.474241263,0.702987092,0.821607781,0.961595191,0.958064137,0.998665182,0.337579088,0.3329343,0.282101445,0.262547232,0.300197347,0.484753697,0.615729066,0.799434351,0.899107695,0.998665182,0.361174793,0.403151323,0.270480749,0.265209895,0.338603784,0.535603536,0.67449726,0.826852454,0.906854661,0.998665182,0.193839855,0.179112982,0.179327939,0.193762995,0.284062044,0.458533812,0.641277138,0.863736491,0.891016487,0.998665182
0.093908297,0.144263681,0.355164357,0.492518323,0.593882556,0.8276355,0.815825803,0.949162713,0.872879566,0.998665182,0.07172532,0.127959108,0.275856002,0.447356624,0.634040302,0.7073319,0.899380199,0.944333875,0.999105833,0.998665182,0.099124861,0.161078477,0.330816738,0.49194307,0.693273796,0.835444763,0.964930395,1.025304979,1.026144151,0.998665182,0.092602651,0.150031633,0.333456678,0.501417791,0.700090822,0.79821185,0.933085324,0.952485084,0.9907292,0.998665182
0.102059515,0.138405455,0.10658344,0.160946,0.267950321,0.54445216,0.788278791,0.820485771,1.044833505,0.998665182,0.164173481,0.16575963,0.179317565,0.169093114,0.237089521,0.390078092,0.627161409,0.811387312,0.961560874,0.998665182,0.118517401,0.148541174,0.153695629,0.194854268,0.272275051,0.538288138,0.708139343,0.902216128,0.933801276,0.998665182,0.157964487,0.167308904,0.175431758,0.206312057,0.279630307,0.483549615,0.728810346,0.901339301,0.940560842,0.998665182
,,,,,,,,,,,,,,,,,,,,0.613457164,0.709528294,0.705420489,0.765581333,0.823948012,0.914484811,1.024173761,1.000033436,1.057194297,0.998665182,0.240707816,0.326364174,0.299331691,0.370007148,0.364388165,0.533956897,0.691807324,0.847894916,0.912067221,0.998665182
0.269523719,0.258361727,0.36140582,0.433856311,0.535297296,0.715851478,0.806195811,0.805734473,0.879785398,0.998665182,0.200545044,0.238486984,0.312535991,0.417086018,0.558360553,0.698087796,0.842276711,0.900218869,0.959501548,0.998665182,0.17971642,0.243564741,0.318541194,0.416053181,0.56978466,0.768767492,0.881662751,0.969482562,0.986159131,0.998665182,0.201355665,0.250150361,0.321452535,0.419909942,0.626910243,0.76667065,0.890041161,0.963055978,0.966459186,0.998665182
,,,,,,,,,,0.200308531,0.413530803,0.619157009,0.54455882,0.791308336,0.550881587,0.844272439,0.824014253,0.964685015,0.998665182,0.176001469,0.594298288,0.63160754,0.537941825,0.615803933,0.766684699,0.863071853,0.967468225,1.036157843,0.998665182,0.225560512,0.485054707,0.533592943,0.557662235,0.810296479,0.786868728,0.732514488,0.90053706,0.899999089,0.998665182
0.044889089,0.055767639,0.053970516,0.178226625,0.855258749,1.411000785,1.262330397,2.552832739,1.297930916,0.998665182,0.13288037,0.111430181,0.136082364,0.190201695,0.421726829,0.876004018,0.726217859,0.852313604,1.009275658,0.998665182,,,,,,,,,,,0.069418458,0.09978826,0.110167926,0.199524003,0.33780514,0.56560894,0.736721345,0.85928965,0.901872846,0.998665182
,,,,,,,,,,,,,,,,,,,,0.036040727,0.078353922,0.099215902,0.150877516,0.290806023,0.570435935,0.752185336,0.982120524,0.990135396,0.998665182,0.050741136,0.068735344,0.088950174,0.136471374,0.285110795,0.496311909,0.645728309,0.917097998,0.951336552,0.998665182
