Cys containing sequence ID,Cys containing chemoform ID
10128,13029
11701,14878
2803,3765
769,960
769,960
11701,14881
11701,14881
11701,14879
11701,14881
2825,3791
11701,14880
11701,14880
11701,14879
8522,10908
8522,10908
883,1090
8590,11009
8523,10909
8523,10909
883,1090
8523,10909
7853,9927
3023,4021
1193,1478
7853,9927
2990,3982
4899,6266
10683,13690
10683,13690
7428,9324
11577,14733
10688,13697
7853,9926
7853,9926
8981,11610
8523,10910
7853,9927
8981,11610
7853,9926
4542,5842
2188,3001
8981,11610
3553,4662
9840,12689
9840,12689
1398,1790
9840,12689
2683,3623
1857,2503
8523,10911
10602,13595
3234,4279
9840,12689
9907,12767
3234,4279
9840,12689
4500,5795
7748,9739
2068,2820
8716,11200
10591,13583
10591,13583
726,907
8985,11617
11043,14103
10551,13538
11043,14103
2768,3725
8022,10215
8022,10215
1854,2499
8022,10215
10914,13954
2068,2820
8963,11588
8930,11546
1854,2499
1414,1814
1414,1814
8963,11588
8117,10342
2791,3753
8117,10342
461,566
461,566
1393,1783
461,566
1393,1783
668,829
4868,6233
8609,11036
9030,11687
222,266
8119,10345
8609,11036
2705,3649
48,62
1194,1479
7847,9914
12337,15655
9840,12691
3514,4615
3514,4615
4873,6238
94,115
94,115
10401,13368
3514,4615
9840,12690
94,115
8375,10701
1314,1666
10420,13388
885,1092
3673,4800
46,60
885,1092
871,1076
46,60
885,1092
871,1076
871,1076
46,60
3077,4085
871,1076
871,1076
7780,9803
1973,2669
8638,11081
2376,3253
1785,2368
1973,2669
8918,11521
8918,11521
9972,12838
2705,3649
132,160
10469,13445
10150,13058
10550,13537
10150,13058
9107,11804
1160,1434
9107,11804
2331,3187
1765,2326
3129,4146
1160,1434
3129,4146
9897,12757
10495,13478
10495,13478
9061,11734
2032,2762
7747,9737
7747,9737
2025,2754
8981,11611
8981,11610
3105,4117
8981,11611
8981,11610
8613,11042
8981,11611
2028,2757
3510,4610
2025,2754
2025,2754
7853,9928
7853,9927
7853,9928
7853,9927
790,983
7853,9928
3200,4233
3079,4087
3200,4233
3200,4233
2899,3873
1435,1843
8028,10225
3554,4663
7853,9925
3554,4663
3554,4663
8929,11545
3693,4827
9962,12826
8929,11545
1180,1461
626,774
345,425
345,425
9962,12826
626,774
626,774
9962,12826
10882,13917
3514,4614
7216,9078
3514,4614
4801,6161
3514,4614
4801,6161
4801,6161
1993,2701
8962,11587
1993,2701
8962,11587
4801,6161
4445,5735
8661,11108
4801,6161
9090,11781
4445,5735
4445,5735
11287,14397
4445,5735
12029,15280
11287,14397
2277,3120
11287,14397
4,5
1455,1875
626,775
11287,14397
4445,5735
3200,4232
2065,2815
2188,3002
7764,9782
3200,4233
3200,4232
3200,4232
2065,2815
3077,4084
12190,15485
7764,9782
3200,4232
9088,11774
3200,4232
3200,4232
4889,6254
1256,1567
2087,2852
2111,2889
7764,9782
7764,9782
7764,9782
934,1148
8579,10992
12053,15307
1887,2552
934,1148
343,423
1192,1477
8918,11522
934,1148
8552,10953
264,319
3486,4582
343,423
2086,2848
7471,9371
7471,9371
1995,2705
7748,9740
2382,3259
1995,2705
8596,11018
7748,9740
3200,4232
1210,1503
11385,14509
1275,1599
12190,15486
1755,2310
1150,1418
84,103
8830,11387
1816,2439
11780,14976
3611,4726
8380,10709
7764,9781
1816,2439
8380,10709
3611,4726
8397,10734
7764,9781
2181,2989
6478,8200
7764,9781
8025,10221
581,719
7747,9738
9124,11831
7747,9738
1231,1529
96,117
2061,2809
9124,11831
2061,2809
7764,9781
8121,10349
7764,9781
9947,12808
2954,3938
2090,2857
11780,14977
8771,11293
581,719
2087,2852
7764,9781
7764,9782
213,254
8771,11293
2087,2852
581,720
1886,2551
7764,9781
2116,2896
2087,2852
2196,3011
12075,15339
7780,9804
12075,15339
8,11
11291,14401
11780,14977
11719,14906
8,11
724,905
11719,14906
9088,11775
11780,14977
11719,14906
1392,1782
790,983
1858,2504
790,983
10063,12943
790,983
1209,1502
12075,15340
10063,12943
4357,5637
790,983
10063,12943
4357,5637
456,560
4441,5731
10063,12943
1799,2390
851,1052
8729,11220
11583,14739
8004,10183
851,1052
141,170
4441,5731
10883,13918
8055,10262
344,424
344,424
2205,3025
1879,2539
12075,15341
7845,9912
1314,1667
7845,9910
8777,11304
3891,5066
1232,1531
10898,13936
1314,1667
7738,9724
8107,10325
7738,9724
12029,15279
1399,1792
10594,13587
7234,9099
4618,5940
7234,9099
4618,5940
301,369
7234,9099
8745,11255
11784,14981
11710,14896
7234,9099
2087,2851
462,567
462,567
3182,4213
1276,1600
7234,9099
515,636
515,636
2087,2851
8746,11257
1276,1600
8555,10958
10883,13919
515,636
515,636
11572,14728
10883,13919
2059,2806
14,20
14,20
10883,13919
8272,10571
14,20
14,20
8020,10210
8272,10571
8020,10210
117,138
648,800
14,20
2850,3819
14,20
2850,3819
648,800
8272,10571
14,20
14,20
648,800
2076,2830
648,800
2692,3635
8661,11109
3026,4024
3026,4024
3032,4031
1463,1885
882,1089
882,1089
3026,4024
3026,4024
9035,11692
9035,11692
6016,7642
882,1089
882,1089
9035,11692
6016,7642
1644,2158
1793,2380
6016,7642
921,1133
6016,7642
921,1133
8501,10873
6016,7642
6016,7642
4340,5616
8501,10873
117,139
6016,7642
10037,12912
10037,12912
8682,11140
6016,7642
54,68
1817,2440
8626,11061
1247,1553
283,344
283,344
10037,12912
8626,11059
54,68
8626,11061
2059,2805
1205,1494
8823,11374
2048,2786
8883,11469
8626,11061
4871,6236
8936,11553
4896,6263
117,139
8397,10735
3181,4208
1205,1494
117,139
1769,2334
117,139
12089,15357
8806,11344
12089,15357
117,139
8738,11237
1988,2695
117,139
12089,15357
8806,11344
12089,15357
6016,7643
2117,2897
9816,12663
1708,2242
1264,1580
12089,15357
1444,1858
6016,7643
6016,7643
11236,14335
1708,2242
2348,3207
7845,9910
12089,15357
8980,11609
6016,7643
1444,1858
6016,7643
2192,3007
12089,15357
293,356
791,984
8444,10793
9125,11833
6016,7643
293,356
705,881
11956,15191
1828,2457
1167,1443
2283,3127
6016,7643
1770,2335
11751,14945
6016,7643
1167,1443
9913,12773
6016,7643
11751,14945
6016,7643
2094,2861
8933,11550
8553,10954
1158,1432
86,106
6016,7643
762,953
1848,2491
1247,1553
1792,2378
6016,7644
1247,1552
762,953
342,422
86,106
342,422
8554,10956
1848,2491
6016,7644
6688,8442
1247,1553
1792,2378
6016,7644
86,106
6688,8442
7956,10117
11175,14261
1792,2378
86,106
1805,2399
4269,5530
342,422
342,422
8370,10691
6668,8420
1472,1899
11549,14698
11549,14698
1862,2510
6566,8300
1472,1898
1472,1899
705,882
7955,10110
6668,8420
1472,1899
6016,7643
8370,10691
6016,7643
3679,4807
6668,8420
2049,2787
6016,7643
1382,1770
8370,10691
1382,1770
342,422
10807,13833
8370,10691
1777,2351
1882,2544
12089,15358
7845,9911
8370,10691
2276,3119
8811,11351
8811,11350
9925,12785
1132,1392
4325,5594
7753,9748
7845,9911
10624,13623
7855,9931
3193,4224
7754,9749
1394,1784
1143,1407
7754,9749
1394,1784
2026,2755
2057,2802
6016,7644
6016,7644
1615,2118
2851,3821
6016,7644
2153,2951
6016,7644
294,357
12089,15358
11266,14375
8591,11011
2851,3821
2651,3585
12089,15358
6016,7643
2029,2758
8579,10993
890,1097
8876,11460
3557,4666
3557,4666
4412,5699
890,1097
648,799
8898,11491
1454,1873
78,96
890,1097
4417,5704
648,799
890,1097
1061,1297
648,799
8116,10341
890,1097
1061,1297
1792,2377
9095,11786
2017,2740
6016,7643
6016,7644
648,799
106,127
8879,11465
2822,3788
2970,3959
7956,10119
6016,7640
7956,10119
6016,7644
6016,7644
2017,2740
1703,2234
106,127
8879,11465
705,881
9926,12786
6016,7640
10017,12890
6016,7640
6016,7644
276,335
9926,12786
6016,7644
276,335
11613,14776
6016,7643
2101,2871
1175,1454
1175,1453
6016,7643
10400,13367
402,491
402,491
12089,15358
1881,2542
1175,1454
921,1132
3060,4061
402,491
402,491
3060,4061
1881,2542
921,1132
921,1132
1911,2594
3060,4061
2065,2816
402,491
8678,11134
402,491
1792,2379
402,491
7845,9906
402,491
930,1142
8555,10959
4298,5565
2173,2980
2903,3878
4417,5705
4298,5565
1867,2522
1908,2591
8890,11480
7752,9747
1448,1863
2065,2816
1908,2591
11748,14942
2065,2815
3349,4415
2187,2999
1139,1402
7450,9348
2065,2816
1904,2586
11362,14485
7450,9348
2065,2816
1904,2586
8204,10450
7956,10116
2065,2816
7956,10116
3454,4543
7956,10116
2150,2948
3454,4543
1304,1647
1161,1435
1304,1648
402,492
9088,11777
2065,2816
402,492
14,19
7257,9124
1688,2217
3679,4808
8377,10705
14,19
14,19
928,1140
6016,7642
14,20
1169,1446
1688,2217
14,19
14,19
1883,2547
11715,14902
14,20
6421,8139
14,19
14,19
7964,10132
