Protein_Abund (median),Protein_Abund?median?,ear_Abund(median),embryo_Abund(median),Ear_Abund(median),Root_Abund(median),Embryo_Abund(median),Tassel_Abund?median?,Tassel_Abund?median?,Root_Abund?median?,Root_Abund(median),Embryo_Abund(median)
611000.00,298000.00,540000.00,1810000.00,881000.00,329000.00,1490000.00,657000.00,291000.00,102000.00,2540000.00,1200000.00
1300000.00,2970000.00,1220000.00,472000.00,951000.00,390000.00,472000.00,1230000.00,1170000.00,329000.00,447000.00,2740000.00
968000.00,2060000.00,533000.00,1530000.00,304000.00,83700.00,94400.00,417000.00,1820000.00,6660000.00,174000.00,526000.00
10500000.00,4150000.00,214000.00,615000.00,2170000.00,969000.00,488000.00,1170000.00,430000.00,83700.00,916000.00,2130000.00
362000.00,89200.00,489000.00,218000.00,286000.00,138000.00,218000.00,619000.00,506000.00,2450000.00,7510000.00,1520000.00
722000.00,292000.00,2380000.00,959000.00,3510000.00,1730000.00,267000.00,713000.00,217000.00,828000.00,307000.00,1460000.00
144000.00,69000.00,206000.00,439000.00,208000.00,97200.00,225000.00,906000.00,1250000.00,189000.00,289000.00,104000.00
743000.00,298000.00,345000.00,166000.00,470000.00,189000.00,389000.00,1320000.00,2720000.00,1330000.00,1210000.00,334000.00
908000.00,340000.00,516000.00,120000.00,2880000.00,1330000.00,760000.00,2710000.00,190000.00,418000.00,1480000.00,651000.00
922000.00,356000.00,64500.00,223000.00,155000.00,418000.00,155000.00,1790000.00,2710000.00,815000.00,547000.00,238000.00
741000.00,201000.00,960000.00,225000.00,2220000.00,815000.00,3790000.00,1400000.00,919000.00,240000.00,1900000.00,676000.00
514000.00,205000.00,2220000.00,760000.00,207000.00,38500.00,1520000.00,4800000.00,761000.00,307000.00,720000.00,3720000.00
125000.00,317000.00,1080000.00,3790000.00,2070000.00,916000.00,226000.00,608000.00,21300.00,55800.00,1280000.00,3820000.00
37600.00,857000.00,1670000.00,317000.00,569000.00,2000000.00,93300.00,21300.00,1580000.00,59300.00,661000.00,265000.00
759000.00,260000.00,610000.00,173000.00,764000.00,1850000.00,314000.00,120000.00,298000.00,656000.00,519000.00,131000.00
405000.00,958000.00,548000.00,1240000.00,810000.00,125000.00,746000.00,280000.00,556000.00,1210000.00,982000.00,325000.00
257000.00,632000.00,149000.00,305000.00,659000.00,307000.00,371000.00,1020000.00,109000.00,518000.00,1040000.00,94200.00
236000.00,1060000.00,81600.00,690000.00,144000.00,68700.00,651000.00,1450000.00,688000.00,298000.00,304000.00,1730000.00
9600000.00,3420000.00,776000.00,226000.00,813000.00,197000.00,146000.00,688000.00,1670000.00,5660000.00,793000.00,288000.00
407000.00,104000.00,222000.00,74800.00,497000.00,39700.00,647000.00,1420000.00,807000.00,192000.00,29300.00,253000.00
254000.00,91700.00,810000.00,301000.00,156000.00,1200000.00,400000.00,820000.00,1860000.00,7360000.00,2230000.00,209000.00
512000.00,1090000.00,1400000.00,676000.00,582000.00,106000.00,371000.00,47100.00,5800000.00,2700000.00,668000.00,1670000.00
415000.00,182000.00,722000.00,250000.00,502000.00,1210000.00,915000.00,266000.00,2440000.00,872000.00,370000.00,125000.00
616000.00,261000.00,112000.00,1250000.00,108000.00,518000.00,160000.00,807000.00,857000.00,328000.00,429000.00,184000.00
250000.00,85300.00,497000.00,155000.00,248000.00,507000.00,88000.00,201000.00,1170000.00,541000.00,174000.00,1710000.00
759000.00,260000.00,156000.00,314000.00,733000.00,298000.00,84400.00,233000.00,2220000.00,178000.00,163000.00,2380000.00
111000.00,448000.00,367000.00,132000.00,1150000.00,508000.00,1470000.00,733000.00,763000.00,240000.00,1880000.00,600000.00
290000.00,115000.00,1500000.00,371000.00,1530000.00,5660000.00,712000.00,2220000.00,592000.00,247000.00,2160000.00,707000.00
277000.00,949000.00,733000.00,146000.00,114000.00,658000.00,238000.00,82000.00,581000.00,1900000.00,630000.00,257000.00
876000.00,419000.00,2610000.00,1290000.00,649000.00,263000.00,341000.00,734000.00,993000.00,457000.00,49300.00,1120000.00
874000.00,335000.00,1770000.00,647000.00,6020000.00,2700000.00,67500.00,19900.00,632000.00,166000.00,133000.00,1450000.00
128000.00,447000.00,4290000.00,2080000.00,2500000.00,872000.00,179000.00,831000.00,1510000.00,727000.00,538000.00,2100000.00
43900.00,324000.00,2100000.00,886000.00,1120000.00,541000.00,12600000.00,3930000.00,5300000.00,720000.00,93000.00,39600.00
66600.00,169000.00,34100.00,371000.00,1340000.00,3400000.00,200000.00,735000.00,5890000.00,1280000.00,498000.00,1270000.00
55000.00,514000.00,1530000.00,4170000.00,602000.00,247000.00,389000.00,1320000.00,861000.00,4930000.00,514000.00,1180000.00
1220000.00,379000.00,313000.00,665000.00,1170000.00,3000000.00,30700.00,67700.00,390000.00,112000.00,2340000.00,611000.00
172000.00,82800.00,965000.00,204000.00,678000.00,1900000.00,822000.00,171000.00,433000.00,982000.00,49800.00,23600.00
257000.00,125000.00,79200.00,238000.00,300000.00,116000.00,157000.00,336000.00,820000.00,2960000.00,2590000.00,857000.00
59000.00,364000.00,1010000.00,341000.00,1140000.00,457000.00,559000.00,28600.00,600000.00,94100.00,708000.00,319000.00
945000.00,382000.00,744000.00,179000.00,5870000.00,720000.00,131000.00,331000.00,158000.00,1040000.00,1280000.00,3000000.00
89300.00,318000.00,4130000.00,1380000.00,1940000.00,226000.00,163000.00,822000.00,2030000.00,304000.00,300000.00,83000.00
473000.00,223000.00,405000.00,1090000.00,5920000.00,1280000.00,59500.00,360000.00,360000.00,129000.00,70200.00,1330000.00
61700.00,321000.00,780000.00,231000.00,219000.00,970000.00,121000.00,464000.00,246000.00,80700.00,1080000.00,2220000.00
127000.00,296000.00,793000.00,200000.00,319000.00,661000.00,98900.00,358000.00,478000.00,184000.00,237000.00,509000.00
175000.00,30200.00,297000.00,822000.00,486000.00,982000.00,58000.00,160000.00,431000.00,29300.00,505000.00,1260000.00
459000.00,1100000.00,313000.00,632000.00,1010000.00,2960000.00,345000.00,2150000.00,299000.00,1610000.00,124000.00,344000.00
