Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2,Replicate 1,Replicate 2
1937800000,2300600000,2759700000,2903900000,1474500000,1321200000,2412700000,7179300000
1342200000,1508500000,1757300000,1868600000,924140000,910670000,1708900000,3973300000
544080000,500060000,1523800000,1474400000,327340000,438450000,1783200000,1626800000
610670000,817510000,907630000,1046000000,450560000,436160000,672670000,2566000000
1568600000,1520400000,1112400000,1067200000,339710000,397580000,1565900000,1495000000
671440000,802490000,847080000,870400000,563420000,602450000,879760000,1924800000
40254000,49297000,604550000,495530000,2285100,2227100,1578000000,1221500000
42975000,44331000,156090000,148300000,0,546850,1090600000,1136900000
1489200000,1400500000,625550000,468230000,1189900000,1378500000,1296900000,598690000
721680000,839920000,1096600000,1256500000,32341000,34131000,1056800000,778900000
2669600000,2578100000,515560000,399670000,983540000,1134900000,989060000,493290000
19312000,20398000,197360000,191360000,2305700,0,1008800000,388070000
1532400000,1439700000,522590000,494570000,437890000,536660000,841650000,366260000
193580000,253510000,359160000,337560000,99799000,91829000,187490000,714070000
166110000,218670000,255840000,275370000,97497000,89365000,195430000,577720000
80074000,71627000,264110000,244060000,72207000,81592000,394860000,289600000
132630000,129100000,226420000,245050000,295570,785770,279580000,380650000
198470000,189340000,377050000,338480000,9270200,9084800,171690000,370010000
82227000,79736000,136880000,126960000,38389000,54870000,284000000,180660000
236180000,307460000,337650000,396740000,22243000,24118000,222700000,226500000
95418000,84162000,486210000,339320000,142130000,156490000,378440000,17201000
257080000,244570000,208210000,244530000,275790,0,165220000,227540000
172430000,76442000,40555000,82937000,2950700,1250800,105790000,285500000
688150,661750,111650000,106700000,0,0,213000000,169930000
398760000,403130000,142970000,141300000,408260000,546880000,228320000,153780000
94666000,86955000,493480000,338950000,125020000,163700000,341940000,15887000
208540000,163610000,89287000,85582000,0,0,145560000,188940000
103170000,91598000,140660000,151420000,0,0,106920000,217640000
87294000,90716000,202380000,244380000,140300000,141840000,269740000,52876000
53322000,56166000,301240000,343270000,47714000,58930000,305250000,9315700
2396600000,2341800000,3994900,5033500,3333400000,3678900000,4155300,277910000
139870000,142340000,156700000,187700000,146120000,180330000,130130000,126160000
34536000,42849000,39780000,66739000,48092000,37385000,53683000,197450000
150800000,152700000,178430000,205080000,167200000,194900000,119410000,128660000
138820000,128760000,98510000,101310000,83721000,109340000,76501000,158470000
100500000,106710000,179510000,198370000,29769000,39190000,155410000,74014000
28585000,25759000,90388000,87399000,30584000,37451000,110040000,96890000
43848000,75799000,105390000,99322000,18201000,12373000,34817000,171080000
68983000,70450000,143600000,184140000,741930,635850,144440000,46841000
84124000,77422000,66329000,64570000,0,0,82259000,108490000
79625000,79403000,60400000,52942000,0,0,59926000,122370000
80702000,74425000,65893000,69191000,48877000,68717000,58700000,120070000
30654000,32733000,141070000,137060000,20802000,31661000,162150000,13630000
75167000,60614000,47442000,45863000,0,320120,75084000,99515000
12253000,12375000,93506000,98071000,30254000,40189000,167950000,5821500
74589000,67552000,94937000,99133000,0,693020,58733000,112270000
96993000,99153000,142660000,179040000,0,0,96357000,71997000
0,0,78285000,54463000,0,0,119500000,46512000
98781000,89433000,53123000,46831000,39385000,44361000,92943000,67688000
7270900,7311100,82000000,75470000,283200,0,145000000,11872000
59021000,59877000,64704000,63467000,106820000,125080000,76656000,78309000
20248000,20686000,20410000,14331000,0,0,62379000,92312000
28280000,25549000,44462000,38935000,15508000,21630000,88375000,65322000
59557000,51449000,62559000,66981000,0,0,59702000,90249000
464900000,459970000,58544000,59043000,559260000,628670000,85406000,62643000
22969000,34346000,36624000,48561000,18087000,16456000,32447000,110020000
2913600,4766900,46132000,46118000,0,0,83549000,58004000
75740000,78754000,133540000,153580000,20564000,30712000,94389000,38844000
58339000,54261000,52402000,58165000,251850,0,57914000,72080000
107120000,96375000,52333000,50231000,194340,344320,74254000,50493000
72719000,81611000,123960000,127420000,0,0,77613000,42744000
74368000,80291000,109970000,117720000,0,0,64174000,54783000
214190000,208570000,25493000,20811000,135360000,166760000,59582000,56244000
78963000,85508000,47455000,45681000,41024000,55835000,77290000,31934000
427340000,407450000,21163000,15862000,352340000,439540000,61389000,46051000
39100000,47786000,109810000,148900000,10300000,12422000,95645000,8692500
47323000,44120000,21102000,17198000,9257300,11502000,75806000,20586000
19933000,19908000,100240000,102960000,11829000,16015000,90429000,5389800
70269000,71072000,41648000,34365000,118790000,143420000,44300000,50590000
939460000,892150000,6815700,7583200,195840000,238000000,18294000,74151000
63145000,45697000,34463000,37925000,0,0,35673000,55899000
45298000,43209000,28506000,32551000,83336000,108170000,66528000,24722000
122080000,122330000,48357000,53100000,22595000,32018000,67272000,22781000
31810000,32052000,29495000,34983000,0,0,41434000,47990000
7522700,6902800,36732000,34640000,10198000,11816000,39028000,43720000
35190000,36972000,29781000,28444000,9127900,11245000,22758000,59081000
14744000,21595000,21947000,6703800,34551000,55607000,26092000,48922000
13252000,18054000,20657000,28001000,9766600,8032700,16486000,58274000
10833000,9891100,23071000,20003000,55524000,60200000,42282000,32330000
44778000,41181000,51910000,59891000,0,0,35987000,37239000
1616700000,1483800000,384690,448160,377380000,416820000,468230,71763000
17392000,19114000,30241000,34703000,1975100,1932100,50878000,18991000
38487000,42577000,85566000,96335000,20051000,20496000,46055000,23453000
33241000,36436000,27040000,26893000,528300,394760,38553000,29473000
59552000,50891000,10457000,11469000,39252000,45998000,18381000,48503000
36151000,38565000,53015000,62713000,11560000,14123000,31999000,33633000
12493000,16911000,25987000,8564500,4145300,6407800,15787000,48008000
558230000,519170000,11487000,11463000,265720000,383750000,11584000,50040000
21335000,26784000,22796000,13289000,13845000,18130000,21136000,38083000
809100000,696480000,117800,173340,331550000,439040000,0,59208000
66512000,65184000,21343000,19366000,68412000,79408000,34527000,24486000
42070000,40433000,16299000,14456000,0,0,16821000,42173000
2941200,2941200,12464000,12408000,8607100,11132000,23258000,35592000
48730000,37660000,9536800,9868200,0,0,24609000,33394000
1978500000,1735900000,1530900,1326000,35335000,73053000,595270,57386000
256940000,246130000,28075000,14695000,925940,1036000,42860000,15074000
52461000,59579000,192780000,261790000,1640700,1810100,31166000,24646000
717740000,676310000,345880,496540,545510000,696800000,0,54154000
446470000,412010000,2024500,1386600,1385300000,1671400000,8067800,44832000
29432000,30780000,57879000,68947000,9870200,12316000,41317000,11356000
43950000,37585000,28212000,29976000,13108000,14444000,21548000,30912000
31470000,27974000,30598000,39168000,32335000,38026000,29973000,20713000
19573000,19305000,26621000,22233000,12204000,11482000,19215000,29368000
30455000,31457000,48029000,52820000,0,0,29782000,18719000
14839000,19416000,28442000,22025000,18313000,13424000,12775000,35571000
253140000,193390000,4469800,3467500,144080000,186600000,5195000,42520000
