DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM,PD of PD,,,,,,,
32297000,27951000,30783000,31371000,42786000,29808000,34544000,,,,,,,
970000,735000,718000,522000,691000,300000,61000,,,,,,,
20000,31000,29000,18000,45000,34000,92000,,,,,,,
1344000,860000,821000,981000,1021000,934000,94000,,,,,,,
350000,329000,289000,386000,513000,382000,741000,,,,,,,
213000,223000,239000,197000,438000,124000,291000,,,,,,,
6486000,4568000,3989000,4505000,5071000,3274000,6545000,,,,,,,
11249000,10187000,11862000,13886000,8146000,2956000,7327000,,,,,,,
90000,90000,132000,96000,13000,75000,154000,,,,,,,
65345000,61994000,65467000,74616000,57489000,15488000,33898000,,,,,,,
43000,35000,37000,33000,0,17000,48000,,,,,,,
947000,779000,798000,883000,885000,530000,1085000,,,,,,,
49000,41000,54000,66000,67000,63000,61000,,,,,,,
1018000,807000,911000,989000,1065000,524000,1076000,,,,,,,
13213000,11522000,12736000,14028000,10186000,3406000,5472000,,,,,,,
18670000,15642000,17689000,19194000,14950000,6005000,3894000,,,,,,,
521000,443000,478000,469000,608000,365000,302000,,,,,,,
8492000,7519000,7671000,8159000,8228000,5654000,7350000,,,,,,,
337000,37000,235000,204000,289000,120000,446000,,,,,,,
94000,95000,113000,129000,149000,173000,243000,,,,,,,
5130000,3213000,4329000,4748000,4958000,2759000,3387000,,,,,,,
67315000,31576000,36019000,38672000,42027000,43088000,34614000,,,,,,,
1207000,864000,952000,980000,733000,1127000,1485000,,,,,,,
1183000,1261000,1125000,1248000,1438000,720000,545000,,,,,,,
119000,98000,103000,115000,128000,93000,79000,,,,,,,
5529000,4124000,4205000,4594000,3800000,2917000,3007000,,,,,,,
1269000,604000,714000,814000,665000,507000,791000,,,,,,,
152000,233000,169000,205000,42000,170000,181000,,,,,,,
62000,69000,87000,90000,142000,138000,102000,,,,,,,
94000,114000,103000,111000,135000,102000,157000,,,,,,,
1719000,1569000,1475000,1558000,790000,1087000,3445000,,,,,,,
19082000,19243000,19024000,22349000,22945000,17780000,18225000,,,,,,,
169000,145000,143000,199000,243000,54000,215000,,,,,,,
59000,71000,83000,88000,6000,84000,76000,,,,,,,
1681000,1596000,1715000,1840000,2275000,1408000,2405000,,,,,,,
545000,491000,525000,735000,510000,704000,754000,,,,,,,
121000,233000,180000,133000,143000,203000,108000,,,,,,,
218000,296000,272000,234000,48000,187000,792000,,,,,,,
414000,311000,327000,404000,493000,299000,474000,,,,,,,
112000,113000,135000,110000,72000,98000,108000,,,,,,,
15641000,12240000,13255000,15163000,14176000,11276000,9962000,,,,,,,
6323000,6477000,6196000,7198000,6716000,4785000,4897000,,,,,,,
3962000,3931000,4030000,5037000,5252000,3693000,3810000,,,,,,,
363000,258000,271000,261000,300000,108000,307000,,,,,,,
635000,550000,618000,681000,202000,334000,842000,,,,,,,
155000,111000,117000,121000,148000,172000,170000,,,,,,,
216000,225000,196000,237000,249000,151000,340000,,,,,,,
356000,262000,334000,314000,253000,365000,734000,,,,,,,
910000,142000,201000,199000,191000,279000,138000,,,,,,,
3371000,1165000,1138000,1508000,1143000,1130000,1099000,,,,,,,
2989000,2907000,2857000,3077000,1854000,973000,2198000,,,,,,,
606000,537000,547000,583000,419000,234000,369000,,,,,,,
271000,206000,401000,397000,426000,224000,247000,,,,,,,
1023000,319000,1110000,1102000,1367000,1074000,1201000,,,,,,,
197000,229000,216000,211000,121000,202000,397000,,,,,,,
338000,284000,374000,521000,202000,527000,254000,,,,,,,
48000,8000,74000,64000,66000,47000,172000,,,,,,,
10000,6000,9000,11000,330000,9000,11000,,,,,,,
2973000,2668000,2781000,2921000,4293000,2452000,3302000,,,,,,,
2121000,1400000,1711000,1752000,1830000,1077000,3410000,,,,,,,
95000,110000,116000,129000,185000,106000,98000,,,,,,,
13481000,8287000,10795000,12335000,15156000,11373000,13027000,,,,,,,
38732000,35781000,37174000,41585000,46622000,32645000,41399000,,,,,,,
12000,15000,13000,15000,16000,12000,36000,,,,,,,
58176000,51741000,56243000,58556000,67971000,43177000,75800000,,,,,,,
79661000,68829000,83226000,88176000,96806000,74066000,101284000,,,,,,,
5494000,4513000,4793000,4974000,6491000,3692000,5711000,,,,,,,
3007000,1726000,1968000,2475000,2427000,1670000,1698000,,,,,,,
2881000,2588000,2695000,2969000,3562000,2387000,4815000,,,,,,,
3719000,3548000,3860000,4055000,5467000,3317000,4508000,,,,,,,
1594000,1174000,1171000,1089000,1590000,1511000,1985000,,,,,,,
475000,600000,571000,555000,1119000,688000,693000,,,,,,,
2294000,2158000,2250000,2251000,3127000,1836000,3234000,,,,,,,
9429000,8750000,9726000,10068000,13686000,7947000,13735000,,,,,,,
371000,269000,303000,331000,208000,292000,330000,,,,,,,
864000,621000,677000,660000,600000,440000,842000,,,,,,,
49379000,45290000,43531000,46235000,23047000,10319000,8076000,,,,,,,
4350000,4005000,4136000,3462000,1212000,391000,1741000,,,,,,,
9928000,9379000,9724000,10612000,11473000,4704000,6130000,,,,,,,
3842000,3435000,3331000,3738000,3684000,1632000,2236000,,,,,,,
171000,232000,204000,163000,246000,126000,379000,,,,,,,
205000,160000,155000,158000,200000,215000,220000,,,,,,,
74000,78000,45000,59000,18000,125000,113000,,,,,,,
126000,83000,114000,116000,190000,108000,211000,,,,,,,
1765000,1489000,1627000,1938000,2775000,1803000,2312000,,,,,,,
1172000,613000,537000,665000,582000,384000,657000,,,,,,,
15443000,14229000,15091000,16549000,12375000,2524000,6977000,,,,,,,
793000,700000,745000,854000,933000,621000,150000,,,,,,,
3439000,2864000,3534000,4265000,4505000,3363000,1921000,,,,,,,
1697000,1342000,1386000,1454000,1749000,1309000,1532000,,,,,,,
471000,56000,409000,565000,495000,243000,303000,,,,,,,
77000,62000,69000,97000,86000,152000,89000,,,,,,,
557000,490000,480000,560000,568000,455000,470000,,,,,,,
208000,288000,249000,307000,46000,248000,164000,,,,,,,
3313000,2451000,2532000,2819000,3045000,1807000,1018000,,,,,,,
227000,182000,201000,244000,268000,208000,239000,,,,,,,
107000,119000,146000,187000,126000,268000,197000,,,,,,,
2508000,2188000,2326000,2503000,2868000,2153000,1557000,,,,,,,
1019000,274000,243000,275000,352000,225000,326000,,,,,,,
479000,334000,384000,412000,602000,277000,598000,,,,,,,
39000,48000,46000,54000,54000,65000,55000,,,,,,,
12999000,13084000,14672000,14751000,18340000,12335000,19104000,,,,,,,
515000,450000,509000,601000,695000,417000,534000,,,,,,,
163000,156000,185000,223000,254000,139000,200000,,,,,,,
810000,619000,624000,635000,1060000,586000,1366000,,,,,,,
172000,184000,150000,85000,149000,137000,128000,,,,,,,
248000,198000,181000,271000,272000,230000,340000,,,,,,,
93000,81000,99000,107000,118000,94000,101000,,,,,,,
