DMSO,2.5 nM,25 nM,250 nM,2.5 µM,25 µM
155597000,206915000,233063000,345828000,273841000,323836000
34735000,39372000,24692000,27177000,29569000,40065000
80604000,47058000,35118000,56855000,68402000,78892000
12830000,18206000,32501000,63786000,21536000,52664000
552427000,7096000,5655000,7749000,7890000,10899000
50358000,55958000,28650000,72280000,49852000,52355000
178554000,118959000,127334000,153807000,181434000,122839000
256660000,269467000,245143000,253805000,192266000,245142000
10612107000,11906126000,11534924000,10041097000,7475900000,8707492000
17929000,10256000,11785000,11747000,9046000,12277000
2963131000,3109126000,2909118000,2459448000,1291570000,2559363000
54387000,81976000,89165000,41074000,24070000,41873000
16648000,24073000,31004000,24573000,647000,28798000
196320000,211037000,304803000,262506000,159320000,208213000
35463000,24967000,27140000,35720000,14008000,40368000
18016000,12352000,11929000,19779000,11474000,1840000
1146091000,1203056000,1481057000,1566004000,1466476000,1315481000
46221000,46809000,47538000,67626000,44205000,44882000
180730000,259168000,259433000,357519000,252739000,272440000
241204000,274039000,273308000,281867000,182715000,197898000
4136876000,3806858000,5003311000,5387799000,3313901000,4234783000
240394000,282095000,280336000,383077000,219102000,320495000
1804196000,1960768000,2053671000,1770766000,1845199000,1672452000
37296000,42662000,39409000,76746000,41969000,47329000
82371000,80375000,87665000,86752000,77952000,96997000
852500000,797148000,747697000,1143573000,477916000,669432000
9615000,12733000,11510000,19266000,6831000,19971000
917388000,1086803000,1176712000,1234672000,1264428000,1280402000
437959000,609597000,740128000,737242000,736159000,756763000
178578000,170538000,200151000,190370000,227150000,185810000
13075602000,11524840000,11818584000,14484177000,8598198000,9848354000
323919000,370329000,418981000,570323000,387178000,516185000
168316000,136108000,137546000,152226000,152193000,130406000
34418000,41359000,53515000,73544000,61340000,45970000
33654000,31874000,31645000,42028000,23895000,26688000
17950000,25099000,21210000,23288000,16282000,15307000
239679000,278350000,217412000,212890000,271138000,101691000
206084000,311573000,240120000,425737000,256172000,246015000
12008000,11771000,15633000,49129000,14364000,12719000
20302000,26141000,47271000,44489000,31581000,39134000
1874287000,1393572000,1879282000,1614482000,2026019000,1382937000
57000,2224000,1886000,2227000,1514000,2529000
186330000,210108000,200315000,242499000,148797000,235823000
191469000,207951000,246728000,255696000,185094000,271541000
21203000,15559000,14347000,16373000,8445000,12370000
7915000,10437000,8063000,11746000,6989000,8811000
87531000,58775000,58531000,58395000,35317000,52194000
2071346000,1568786000,1985284000,1753488000,2107039000,1503646000
305564000,329262000,350862000,498975000,373999000,436938000
64000,10747000,13541000,13060000,6216000,11653000
333325000,326286000,218713000,337110000,493763000,232156000
3475146000,4116298000,3997223000,5331007000,3938716000,4673923000
4348748000,4066250000,4482589000,6257145000,4413091000,6167569000
4484467000,4280273000,4383152000,7035428000,4928127000,6929217000
237147000,257862000,274616000,400409000,284862000,364207000
54097000,133586000,125636000,154007000,137107000,118745000
296165000,478510000,725949000,567958000,520442000,475403000
243114000,261076000,209737000,336611000,256073000,207437000
179052000,117978000,142523000,174936000,175621000,123540000
51639000,104661000,100946000,186268000,102605000,152429000
438664000,539090000,550627000,729227000,464557000,605628000
49000,13114000,16944000,18991000,9338000,7270000
77800000,79319000,116491000,130230000,143695000,111875000
15813057000,17025692000,20304836000,14537365000,8249026000,16041672000
2280271000,2482466000,2764004000,2001293000,855442000,2214247000
512950000,542147000,460202000,519379000,603851000,360431000
4432810000,4755181000,5360795000,4716614000,4700846000,3962632000
38346000,44789000,58408000,44651000,39357000,40317000
1474292000,1093100000,1166307000,1261318000,1407738000,948823000
3778649000,3683587000,4265305000,4077395000,2806797000,3560358000
84434000,97873000,93120000,75646000,85427000,74842000
2380000,28631000,17819000,25159000,18302000,19106000
198494000,396914000,414585000,393598000,362693000,325666000
260315000,227233000,181735000,204281000,190106000,158546000
82410000,85050000,69789000,86533000,65173000,69445000
0,0,0,0,0,0
49233000,10064000,11111000,13545000,12079000,12321000
1777132000,1727043000,1848181000,1662696000,1632306000,1566779000
60880000,71790000,91481000,88174000,98125000,83251000
13858000,15697000,7264000,16623000,10105000,12621000
1112937000,1073188000,1198638000,1283438000,924970000,843373000
12251000,16785000,12766000,20998000,12842000,11187000
36262000,32048000,27653000,38721000,25929000,25019000
129698000,130841000,95538000,66286000,58457000,64413000
291011000,171321000,69255000,211766000,352205000,186909000
19394000,39057000,29099000,36249000,15789000,26448000
456829000,278883000,339928000,537530000,410335000,289410000
0,0,0,0,0,0
793000,61474000,61470000,66245000,58638000,66909000
136850000,142497000,58545000,161596000,147015000,111001000
1634369000,1463269000,1586701000,1324096000,1641877000,997006000
82627000,80638000,86711000,112408000,77424000,95691000
56462000,49310000,58911000,71190000,50404000,51600000
649303000,691133000,552796000,578409000,588740000,537571000
108168000,95996000,85781000,93082000,90068000,76530000
0,0,0,0,0,0
54221000,54122000,46585000,59325000,41761000,57397000
45646000,88775000,70177000,80668000,30342000,72155000
125981000,167032000,125245000,262163000,148449000,169175000
767000,47341000,43505000,107734000,79072000,71339000
