151002_ig_TpFL20_1_1,151002_ig_TpFL20_1_2,151002_ig_TpFL21_1_1,151002_ig_TpFL21_1_2,151002_ig_TpFL22_1_1,151002_ig_TpFL22_1_2,151002_ig_TpFL23_1_1,151002_ig_TpFL23_1_2,151002_ig_TpCL21_1_1,151002_ig_TpCL21_1_2,151002_ig_TpCL22_1_1,151002_ig_TpCL22_1_2,151002_ig_TpCL23_1_1,151002_ig_TpCL23_1_2
2587742.528,2170957.376,1109550.291,1004932.554,3106629.672,2642715.947,880938.2531,711549.244,6968796.645,5952958.633,7321586.828,6686598.765,5586131.41,4690826.689
4528016.222,3173352.815,1261036.86,917884.1324,8677431.704,6788887.145,475318.3049,164501.5788,11663147.5,9178034.785,13952970.99,12192697.42,8226429.234,5000299.765
9785579.786,7898316.603,3169110.044,2296020.206,11621491.04,9357204.471,1579035.66,1055123.657,23572132,18920470.47,21428195.34,18055983.67,16775095.13,13008000.56
3228866.831,3012562.184,2713926.923,2651121.436,2033678.389,2052963.297,1560862.444,1455508.418,957812.5989,949970.9691,317256.9376,265325.278,946969.3272,901186.365
942952.1556,711424.9442,285198.4386,172080.975,1343277.199,1062567.911,30302.10741,15859.14307,2053352.042,1589615.036,1841653.471,1388712.509,2024421.88,1388859.551
890236.4839,910961.8536,542909.2833,556096.0343,879888.8576,907334.9888,651905.3097,610654.767,270751.7668,258965.8866,210703.6633,231650.6723,187519.477,166733.7521
3656218.191,3575459.668,3022301.775,2725344.012,2366018.938,2342035.844,2115369.919,2133677.008,710545.1673,607258.3691,927881.0496,1029351.545,942243.9304,794884.8493
392946.3036,372333.0864,1014484.001,979050.1583,365692.1876,377671.2295,578687.6681,575282.0707,339629.8197,325308.5582,143694.6487,133689.3672,141465.9744,145156.7391
492389.3383,516376.9704,401198.0569,424647.4757,571048.9225,632689.1156,432764.2477,425631.791,1433418.348,1414993.841,1383772.431,1540868.261,1488907.29,1378325.296
3661181.607,3428072.576,2136998.79,1849705.598,3029379.507,2686434.853,1227169.903,1035689.672,893804.1306,835489.144,1044532.435,911265.7733,783494.608,671152.5388
1724336.088,1824854.548,1983379.024,2152457.296,1296899.387,1349324.28,1887321.955,1882749.152,819593.5389,833212.7382,413358.1263,395378.1946,1078194.143,960068.5893
2160417.59,2018111.567,1228662.348,1074018.956,2990204.944,2927816.749,1365494.548,1197894.946,4824339.655,4721328.272,4783817.87,4515109.975,4754682.532,4518054.265
973023.7027,1003512.749,511865.6124,574618.9684,1279462.552,1185730.825,445661.0469,400737.3267,1822836.502,1931424.064,1965802.595,2067437.676,1907186.094,1937350.272
1531247.35,1515604.76,849946.3222,797613.7586,1976939.525,1911013.456,760720.6763,623327.015,3127893.435,2787660.254,2987960.114,3027458.069,3188404.868,2938339.008
4287615.14,3634844.059,1767170.861,1496811.206,5108864.709,4490287.753,1372659.666,1159732.221,7354893.481,6293221.298,7586322.454,6505455.914,6721653.029,5197091.721
66560330.43,64448481.64,50126093.17,47036248.92,79285355.08,75782824.63,48449093.73,44586632.79,36428008.66,35131749.14,11035310.65,11437149.73,37269647.05,34081979.83
778304.4361,662757.3239,343659.1293,261377.3713,913594.7678,789477.9,213870.818,152327.838,1229713.905,1134749.899,1133488.414,987628.9813,1154152.443,926938.6777
2734067.683,2404385.246,1161764.295,1029052.403,2908531.457,2560974.836,820317.7781,650544.7464,4120629.41,3657220.036,3976483.009,3732573.694,3832746.232,3362810.016
1076938.516,1069033.199,566959.1488,518976.099,1099521.15,1195482.011,711354.0351,723379.921,2454408.485,2255430.062,1991690.641,1999032.487,1626381.024,1533719.436
24457840.72,21462086.8,12435197.87,10744265.42,26934661.49,24398743.98,8365965.48,6812392.687,37943833.34,32604559.97,39512562.27,35322100.93,38522939.14,31679224.95
6445019.028,4983526.57,2684252.281,2066697.087,7638249.724,5177393.344,1272739.547,849945.2274,10436015.22,7166880.729,9546891.453,7000622.742,7922578.969,5542312.261
56004627.63,54488465.59,49100360.4,47711342.25,54752044.51,53321583.69,38291387.17,36101345.01,34788650.54,33346128.77,6724268.802,7177966.946,33620665.32,31133476.57
15721076.81,14766809.17,11364963.35,10406029.76,15115185.16,14532175.89,9904768.734,9163087.193,6014316.139,5575734.424,5833802.756,5727477.503,6767835.112,6233213.894
24443957.92,22451858.39,12709371.02,12424332.79,31251201.29,27756393.73,13978376.68,12039778.43,40738563.77,36625360.08,42800115.85,42258166.97,41946987.57,39263683.56
402557.1075,323553.2756,241877.3173,216971.4682,546379.3938,469631.9853,309687.8031,203367.5498,715861.9737,570880.243,920165.8913,821410.6204,729989.4363,480005.5639
17194796.35,14381104.33,6358181.152,5049717.435,20799271.02,17493855.39,4603485.871,3406225.645,23162463.42,19198664.17,25456758.24,22219431.11,21207405.29,17557561.43
866476.8479,874599.893,748581.2962,707438.7097,667456.4774,663994.7122,588781.3522,552331.5533,295255.0534,285784.9697,363880.5367,388128.8114,410499.7958,371575.1468
12185660.45,11614941.53,8234716.189,7910210.974,13506633.13,13250580.36,6311826.682,6222133.203,20484152.64,20137190.6,20442017.01,21192332.05,21555646.36,18933937.07
408833.8915,385286.5225,163803.0232,177653.5479,451490.4044,379392.369,145147.9589,154649.3646,656762.7865,611973.5128,557875.7177,548762.1131,532642.6996,476996.5043
7406255.697,6254632.397,3592411.607,3232127.876,6743354.887,5750820.942,2914236.669,2233918.495,10034242.48,8940552.712,10186481.17,9575481.512,9884195.501,8429114.614
9098992.137,8569956.007,5370599.272,4907331.711,10523539.03,9442992.963,4339995.002,3892172.684,14448056.83,13945716.2,14785013.28,14715492.09,13155108.49,11989512.29
5917220.042,5818999.772,6141436.91,6239983.991,4542905.431,4825118.583,5254593.286,5046707.194,3461796.169,3415895.091,1325218.131,1499444.665,4534426.812,4053017.149
27490617.99,26409732.72,19123860.02,19093306.46,30119985.25,29619452.3,16198213.45,15215950.93,45397496.29,43770706.81,48634406.91,51220668.84,44191605.53,41495186
12817624.52,12584066.07,8366524.337,8565408.597,15079904.52,14557932.04,7170021.087,6878180.923,20881810.29,20368878.73,21596120.92,22524788.9,20955699.99,20897401.75
4425214.337,4338678.732,4012449.75,4124548.464,5148405.357,5372448.679,5503683.726,5372750.652,7666696.39,7495958.616,9615121.07,10686353.34,13330612.82,11774449.23
10199849.35,10154225.7,6718493.88,7120315.96,11737972.54,11637273.17,8865712.319,8737738.831,20868432.4,20742309.85,16759624.52,17964272.98,19317653.32,19341164.57
6885304.068,6435505.397,4831810.945,4661478.539,7623271.247,7215337.732,5312079.594,4926288.148,15404590.52,14734688.79,8224392.384,8814333.839,13421606.33,12913593.92
3107994.268,2947526.433,1975464.318,1905181.541,4004642.375,3807837.949,1997970.076,1804373.919,5107128.43,5010762.794,5127544.323,5469857.995,5107746.464,4978006.237
450171.719,406898.2685,484673.4778,423333.5925,855959.7578,807445.994,626481.4275,536741.826,374089.285,363854.4427,100637.1043,121989.5433,524079.4485,474648.875
28564622.62,27476972.03,21826595.21,21268119.86,31453260.42,31094067.1,24722358.06,23802088.4,51179650,48707345.41,52517721.93,56122807.64,54654520.48,48226147.49
55134474.92,52497851.32,35537762.66,32718168.39,66311715.97,62274229.73,31134911.75,28321604,86283833.47,82363501.06,87780398.96,89514365.61,85599139.65,81025762.57
6746191.408,6378189.751,5467381.265,4798630.924,8802999.277,8279675.487,4514528.742,4219684.455,3689308.394,3392341.267,2494336.649,2496564.771,4202820.172,3743178.282
8439327.156,8011899.775,6578619.135,6139770.464,11380587.95,10748563.17,9068175.79,8150356.074,5507538.498,5109790.804,1824075.709,1897664.17,8071520.789,7297750.171
13042566.34,12928435.81,9452920.269,9691689.382,14065694.77,14056930.35,9541101.282,9468698.607,20457446.73,20536302.61,23893266.17,25251928.18,21315908.39,20259767.74
5409179.071,5298655.887,4486077.241,4470809.234,6184217.222,6238131.094,4659683.761,4489892.698,9731065.112,9289190.276,10149437.73,11305809.86,10190962.35,9156010.921
3059155.663,3007969.741,1865910.118,1750527.758,3454791.537,3548535.213,1423129.79,1349093.77,4018843.481,3646392.629,4678460.817,5029785.798,4441506.049,4562072.514
18168673.25,15413697.69,8067573.942,6644466.553,18949929.36,16372171.22,6122564.168,4798378.709,22321441.88,19470197.29,22315701.29,21159921.65,21176625.07,18614051.68
1099920.282,1110568.581,816145.4041,739885.8211,1284634.359,1226263.452,1010280.529,932848.2806,1835800.664,1838371.414,1944514.724,2118033.016,2111702.727,2026722.003
24859374.96,23975511.43,14577843.71,14941860.44,28614128.55,26404193.53,13259687.2,12422751.42,36359436.49,33388607.8,37351940.48,37518943.8,37870195.15,34689343.01
32103858.23,31020359.81,24282360.11,24849766.63,38336209.56,37899496.27,23650220.71,23072379.37,54923661.58,54936755.94,56463146.71,60933927.3,54358905.22,49536579.18
622673.1721,616899.4538,584533.2037,553748.1586,677660.2582,678863.9833,555734.4166,546990.7047,336170.3351,362305.0497,211731.7355,270672.2936,491055.7637,452815.2012
563853.5841,552977.0276,370517.9935,371705.6127,671317.8284,701639.1625,411485.6007,388125.4507,840389.009,856484.294,1017971.738,965775.8826,979079.7722,907943.6654
695379.8065,668143.3179,411084.2139,479497.2726,738178.264,701555.2501,674725.9767,679581.1993,386381.4668,316432.4761,270357.8841,292104.1142,496573.6983,473195.5455
36522937.81,34053752.09,20336450.46,18454297.87,45049327.89,40216938.57,16026204.98,12693970.88,49691303.04,45806531.6,53860958.26,50333282.13,48113492.82,43084577.9
1687212.516,1663213.086,1771112.302,1681081.204,1534030.767,1533372.624,1422826.882,1441358.192,1124322.254,1091576.244,581271.433,612939.3328,1207715.276,1172791.513
516482.9111,471677.589,387806.5836,449257.1608,598206.4515,573381.0793,411051.6719,365434.4482,478984.0081,458642.494,9780.549217,13534.33474,413135.94,364241.863
578583.068,557285.1721,359592.9187,369652.3733,650154.6895,642922.0368,418274.8575,378679.1613,1059144.013,1103858.653,830422.4582,911017.3804,823000.7603,734256.934
1651489.181,1386151.886,724454.3614,633156.0048,2334175.133,1943159.485,604833.8084,540513.8895,2911647.27,2504473.734,1597481.024,1468976.612,2339866.268,1894653.071
9803954.44,9751995.239,7103989.421,6843294.959,10608678.14,10417427.52,4304741.643,3960922.924,4272275.965,4090859.125,4859919.673,5043310.821,4122654.575,3393248.577
91346215.05,84947158.49,50730013.59,46705380.41,108332328.1,101526285.3,41853007.52,35459612.6,126418848.6,117911619.6,119316645,118266801,125718708.2,116047815.9
4428311.106,4103123.616,2610515.027,2581607.216,4261425.893,4096586.75,2340369.861,2155348.25,3102691.824,3043794.495,473348.7951,512797.5863,2457597.521,2378302.979
3762705.256,3008999.179,2354422.113,2081480.493,4319852.146,3690540.484,1809570.95,1497293.764,5067167.67,4247778.321,5237112.962,4634622.622,5546066.137,4427541.696
6607992.718,6562952.442,5596748.756,5161190.666,6266304.347,6273941.553,4876043.357,4512985.489,3759937.383,3484826.448,2612941.897,2905066.212,4203839.667,3779205.541
22335284.78,22326732.45,19549585.38,19110510.93,23220460.4,23452296.52,15472361.88,14743491.6,12209604.23,12056598.67,11438995,12995600.73,11457910.21,10770567.81
62905689.71,59274669.29,44836334.79,42281938.77,66796605.26,63380736.88,46728755.12,42386251.3,49243024.26,46690876.3,4273561.017,4355563.117,52037609.14,48350318.06
821898.1637,738499.4532,537094.3641,519383.563,1059564.605,922929.7795,388332.6495,398485.5502,1679846.36,1436846.009,940538.6963,993235.4796,985876.2524,875371.8958
58339818.74,57060499.87,42704699.43,40356518.55,66679080.11,62831954.02,39664916.93,37588103.49,84570116.63,84765084.54,88169892.82,97060153.26,88622185.14,81873113.61
3869004.596,3981236.51,4606377.687,4079874.556,3427913.654,3486201.597,3290798.153,3161413.422,2271006.652,2260000.253,1958827.359,2190509.07,2966639.105,2678462.226
2972434.489,2883973.533,2026838.107,1983761.929,3249322.48,3066545.316,1866108.899,1783320.686,2377602.756,2384518.489,192187.4772,184902.7139,2227970.903,2116724.25
35804024.13,34703354.07,27324642.06,28504413.34,41133633.21,42106767.65,25447520.31,24787458.13,54055019.19,53069141.09,54780816.18,62580124.97,59020810.43,52174060.97
24344870.86,24038383.09,18632297.31,18697159.23,27675331.05,27962169.07,18011511.86,17311824.61,36437665.07,36331817.45,39611364.45,40991999.08,36813957.25,36249652.17
20815410.71,20103496.7,15905856.89,14939128.25,21848819.5,21568501.68,14204360.85,13046311.76,18756163.46,17787135.86,1301747.547,1514941.291,15936583.47,14422083.17
38058425.1,38702948.49,30362299.62,30831459.68,41587910.96,45404534.26,25539517.84,24936007.33,57897737.89,57483618.1,58267485.95,60591011.76,61800644.85,55857275.73
11226229.95,11253524.89,8634860.019,8122907.949,13175864.27,12081611.57,8072484.262,7199739.368,15628417.58,15725723.33,17407905.52,18295626.8,17582900.11,16404625.54
931444.9509,865108.8118,669026.696,643960.85,1217917.475,1334530.511,806916.7027,720351.2096,1683982.317,1632527.134,1427358.727,1445746.759,1515596.158,1463274.944
13106701.58,13017550.69,9241963.776,9254941.105,13433627.52,13346550.05,9915007.274,9407759.272,10784931.53,10438715.93,3327946.504,3410105.06,8365872.967,8039581.093
1292875.515,1219216.633,860142.1745,775315.6571,1672357.623,1585607.182,759022.7411,720708.2303,2226387.012,1920483.711,1784541.432,1812097.143,1693646.72,1495426.727
552229.6552,570211.6491,412740.2047,416187.9031,656719.6844,666876.0074,315276.9325,333894.544,939285.646,967572.7686,687790.7407,765635.2854,840174.3457,708328.268
2405060.063,2387863.839,1686015.37,1584766.708,2781725.804,2772910.663,1673935.503,1666372.073,3222696.434,3251414.513,3974807.399,4182812.456,3328428.548,3031168.03
79518642.25,76951154.04,56463728.94,55702868.45,88028019.15,89420384.21,50133294.56,47995210.65,66060594.75,64218377.5,15850290.79,17470442.17,52945400.99,48271242.46
36836230.95,33468239.01,22747107.22,20534399.85,45819608.28,42152238.38,25209182.52,22152962.91,24655208.62,22800789.33,4229341.996,4194323.911,33950413.69,30737606.32
3381668.593,3364280.539,2646776.512,2687420.464,3831138.879,3953061.084,2309208.332,2222965.235,2952312.29,2900634.613,514924.1488,453594.9927,2644136.006,2604597.011
