Intensity IN_1,Intensity IN_2,Intensity IN_3,Intensity IN_5,Intensity IN_6,Intensity PD_1,Intensity PD_2,Intensity PD_3,Intensity PD_5,Intensity PD_6
265150000,211060000,294360000,126750000,245290000,58207000,27284000,69474000,2498800,50907000
21420000,15722000,26775000,12744000,29340000,0,0,0,0,0
37054000,5195000,30879000,9417600,14711000,0,0,0,0,0
7905000000,4786300000,10537000000,3243300000,6820200000,827490000,325440000,710160000,96150000,591360000
9300800000,14451000000,21683000000,17495000000,22306000000,2693700000,1155700000,2546900000,225150000,2070300000
66697000,35758000,40509000,16064000,17400000,8494500,3097100,9345500,893660,3693300
31149000,11631000,19334000,9884700,21945000,0,0,0,0,0
810580000,147960000,478590000,122160000,216610000,8950800,3977900,9631200,316340,10484000
2255300000,1891300000,2449500000,1666000000,1553000000,0,0,0,0,0
10308000000,7406700000,8465100000,4458700000,6653300000,1154100000,406040000,737120000,161610000,752600000
2699200000,1255100000,1308300000,875030000,2255400000,23697000,2296600,28326000,2323600,21616000
2617200000,1706000000,2267200000,753830000,1231700000,21729000,13159000,19124000,1452000,11892000
2642300000,1840900000,1905500000,1209700000,2188400000,477730000,196580000,498690000,51002000,263440000
23030000,8009300,38758000,21718000,35357000,0,0,0,0,0
58027000,23906000,42434000,27652000,76018000,0,0,0,0,0
0,0,58319000,44008000,0,0,0,0,0,0
18095000,8878300,25832000,2831800,25094000,12288000,6902600,12009000,230180,47760000
23057000,32135000,27654000,9645600,39568000,0,0,0,0,0
5849400,49119000,14827000,3772000,205140000,5481000,6551400,56964000,2195600,0
8004000,0,0,15181000,0,0,0,0,0,0
41912000,25464000,31301000,24466000,45043000,0,0,0,0,0
368770000,256060000,335960000,150880000,377240000,2996400,5917700,4817000,0,0
22889000,7711000,18137000,6684000,8914700,0,0,0,0,0
1749400000,875990000,1504300000,320340000,1726100000,605070000,271490000,587230000,24206000,585330000
99625000,58942000,100000000,61426000,72505000,0,1007600,709590,0,2285000
388080000,273280000,365920000,118940000,223400000,112460000,18689000,111320000,3551000,38105000
80044000,148450000,159900000,27733000,61306000,0,0,0,0,0
0,2950500,0,0,1838700,0,0,0,0,0
2083200000,1005300000,13182000000,666820000,726970000,25475000,10511000,41879000,0,28612000
367620000,163330000,174690000,63237000,374160000,218930000,102630000,222400000,16091000,165210000
22749000,50509000,11139000,13795000,8697200,0,0,0,0,0
112390000,47831000,106970000,29621000,63878000,0,0,0,0,0
367260000,226360000,375570000,156770000,237220000,0,0,0,0,0
85417000,32227000,108410000,51685000,83523000,5453800,3072000,5547200,0,4284800
56192000,61600000,105430000,29097000,90380000,5552200,2285500,2649900,0,2731500
66452000,71305000,128340000,22599000,90846000,0,0,0,0,0
456590000,425430000,555360000,444530000,582840000,78302000,40925000,71238000,1720400,46576000
92535000,73583000,48963000,66618000,105650000,0,0,0,0,0
106700000,15695000,73566000,0,10899000,0,0,0,0,0
0,0,5500300,2461500,0,0,0,0,0,0
113270000,47999000,110870000,13851000,58440000,0,0,0,0,2103000
21124000,25958000,26733000,4238900,26351000,0,0,0,0,0
340310000,169590000,291550000,153040000,256240000,12676000,5285400,6531700,0,4473600
197710000,116770000,173200000,43685000,109080000,0,0,0,0,0
3692800,26995000,25874000,25969000,5580700,9563700,873830,10327000,0,6376800
0,0,0,0,10174000,0,0,0,0,0
140970000,54893000,154570000,53013000,80656000,0,0,0,0,0
4534400000,3112900000,5143400000,2315300000,4636300000,3306800000,1686800000,2592400000,168280000,2584900000
80098000,62039000,84996000,775970000,284180000,375240000,144130000,189730000,4633700,284800000
313630000,252100000,361410000,343990000,478540000,0,0,0,0,0
778380000,421810000,905410000,488650000,686080000,1663400,1039500,1310700,0,798260
0,0,11670000,0,14943000,0,1345500,0,0,5549800
1037500000,670000000,758730000,448700000,653550000,23554000,5105700,0,0,0
65900000,38870000,67519000,34583000,50165000,0,2780100,647390,0,1037100
39892000,29643000,76931000,17347000,28108000,0,0,0,0,0
0,5596600,5450500,7641900,42881000,0,0,0,0,0
0,0,0,0,0,13725000,17411000,44717000,7332500,3980000
742190000,463100000,1126800000,0,523370000,19180000,7409200,50986000,0,19689000
130100000,198680000,194030000,144680000,596700000,62837000,9551900,31416000,149930,42808000
9948800,5269900,16022000,6973100,14654000,0,0,0,0,0
236240000,208850000,308700000,172740000,250210000,12092000,3795000,9527900,0,5283000
285930000,198310000,183360000,71641000,197630000,7287700,4771900,8360300,875440,528880
34987000,25326000,36204000,19715000,31372000,0,0,0,0,0
231460000,258860000,449700000,180130000,665800000,2197200,0,18734000,366150,1736500
271030000,108410000,227740000,212040000,315760000,0,0,0,0,0
698860000,466270000,80221000,716390000,98723000,7565000,510650,11879000,0,0
0,0,0,0,0,0,0,0,0,1909900
31173000,23869000,27577000,10019000,18202000,0,0,0,0,0
571970000,267390000,704550000,294550000,500860000,0,0,0,0,0
712110000,282550000,513620000,301790000,494610000,15004000,9032000,8912600,0,6457200
87407000,151220000,148680000,97815000,279600000,911820000,268190000,561620000,41933000,355660000
34995000,12932000,40080000,10001000,22845000,0,0,0,0,0
146050000,112820000,61014000,34726000,77267000,0,0,0,0,0
277200000,152650000,486930000,178190000,487110000,96137000,34731000,103700000,5531600,67910000
0,0,0,0,0,0,0,0,0,0
25480000,34330000,300140000,113740000,71770000,17556000,10625000,786660,733370,16191000
13613000,0,21198000,3015600,6435800,0,0,0,0,0
0,6567200,0,0,0,0,0,0,0,0
9944200,7995000,7751800,1517700,5479800,53106000,40726000,29950000,2525200,29140000
6387400000,1932400000,8042800000,3508900000,3872800000,797810000,352620000,673950000,67976000,448280000
7050000000,5898000000,7094700000,3486300000,6673600000,1059200000,471410000,1206300000,100490000,926610000
5694200,0,0,4903300,11952000,0,0,0,0,0
185820000,243500000,201720000,147320000,79661000,0,0,0,0,0
2618200000,1031000000,3711800000,1397300000,4814600000,0,0,0,0,0
7474400,8602700,6542100,3399100,0,0,0,0,0,0
26457000,13829000,41019000,10161000,18362000,0,0,0,0,0
0,0,10939000,0,7472800,0,0,0,0,0
2959900000,1831700000,3260500000,1356700000,2886300000,25133000,13182000,38283000,3729700,17334000
4872700,0,0,0,0,0,0,0,0,0
1681100,0,9091200,0,6965900,0,0,0,0,0
4632000000,2924900000,4189600000,4120700000,4197000000,285900000,120270000,242460000,15546000,137420000
615610000,512670000,738720000,384870000,949220000,0,15479000,39702000,0,21792000
0,512680,5333500,0,0,0,0,0,0,0
9169500,18178000,8888100,4706000,679370000,2792600,12055000,54506000,60592000,0
910950000,46502000,982320000,820750000,29379000,0,0,0,0,0
608310000,399000000,388720000,333530000,542920000,12238000,3934700,1040200,307080,4858300
15259000,8792200,13597000,9567400,12079000,0,0,0,0,0
78243000,60202000,93452000,17301000,63379000,0,0,0,0,0
92089000,26242000,44040000,71361000,64426000,0,0,0,0,0
152360000,123000000,340080000,73125000,290590000,0,0,0,0,0
35005000,27734000,34213000,24887000,60370000,0,0,0,0,0
3753200,0,6255200,0,5300600,0,0,0,0,0
64241000,53971000,105740000,53153000,87114000,0,0,0,0,0
7781600,13444000,0,0,18351000,0,0,0,0,0
15386000,0,28744000,16985000,9411500,0,0,0,0,0
35042000,33281000,41500000,10976000,17559000,0,0,0,0,0
130930000,60447000,153670000,29014000,85058000,5297400,2801000,0,0,2868600
191260000,30741000,65076000,37747000,59762000,0,0,0,0,0
136720000,102640000,244490000,122020000,113090000,0,0,0,0,0
12575000,0,32925000,9018000,29695000,0,0,0,0,0
0,0,0,0,0,5151500,1552600,1479900,0,2417700
10204000000,6828000000,18065000000,5203400000,11323000000,6800200000,2776200000,7036400000,947720000,3553800000
214450000,174470000,275710000,65791000,239220000,61172000,29255000,27157000,2388400,19812000
26222000,15998000,25390000,16726000,10612000,0,0,0,0,0
614850000,492860000,473710000,322780000,612070000,0,0,0,0,0
0,0,0,1656600,14128000,0,0,0,0,0
555370000,335980000,572030000,228550000,464520000,223590000,75660000,154390000,11443000,128410000
18132000,2947000,28373000,1906100,11353000,7298500,7084900,23047000,952530,13976000
66084000,40004000,111120000,43572000,205580000,0,0,0,0,0
9054800,0,13309000,0,0,1118500,664050,1583900,0,0
33955000,48441000,29818000,27339000,56237000,0,0,0,0,0
0,0,0,0,11780000,0,0,0,0,0
0,4804700,0,10552000,4630500,0,0,0,0,0
526060000,422300000,493380000,204510000,487960000,0,0,0,0,0
80004000,28471000,86894000,14101000,29488000,2557100,0,0,0,0
1487200000,1200900000,1831200000,719260000,1314300000,0,0,0,0,0
783740000,398490000,631570000,486780000,38779000,134480000,51068000,149040000,5266100,62223000
168230000,108530000,202550000,97822000,185770000,5986100,1264500,0,0,2389900
1569700000,1115800000,1535200000,966130000,1142500000,22451000,5383300,9891800,1715400,6910300
214920000,170140000,207110000,87187000,160370000,0,0,0,0,0
10825000,5426400,13236000,0,4317600,50571000,24952000,49848000,588880,10279000
175590000,108910000,130310000,27236000,172870000,7619300,3144100,2566500,0,4148700
0,3067000,8836400,7177500,10964000,0,0,0,0,0
0,22367000,19979000,11318000,29472000,0,0,0,0,0
38852000000,24177000000,47047000000,17628000000,33276000000,8429100000,3170000000,6815300000,256850000,3098000000
21889000,0,0,5963000,0,0,0,0,0,0
17391000,11019000,25043000,4892900,11595000,0,0,0,0,0
59813000,26245000,44633000,21250000,40542000,0,10807000,11235000,1005400,9191600
0,0,16539000,7383400,4250800,0,0,0,0,0
106710000,76660000,107000000,46039000,184770000,0,0,0,0,0
23466000,9935500,16263000,11916000,5136600,0,0,0,0,0
1614000000,1479300000,1195500000,648180000,2356600000,283810000,124740000,280490000,16357000,140980000
46193000,43120000,84751000,29268000,43626000,0,0,0,0,0
65818000,19935000,30376000,9487300,3431500,101950000,38019000,3362900,13504000,69813000
22704000,14794000,27872000,22341000,13054000,0,0,0,0,0
40117000,90783000,79252000,62214000,68743000,0,0,0,0,0
78734000,51537000,62348000,0,115080000,0,0,0,0,0
18785000,9752000,25972000,31886000,32221000,0,0,0,0,0
32316000,37242000,53952000,31034000,20873000,0,0,0,0,0
0,0,0,0,42758000,0,0,0,0,0
383620000,275500000,62733000,147820000,278100000,8393500,4527300,5364200,0,0
562480000,454810000,466280000,236790000,353760000,2911900,0,0,0,0
16011000,7305700,9146900,5207900,8767400,0,0,0,0,0
768020000,520490000,977080000,453410000,752090000,4962600,3620900,8195200,935360,3898900
