LFQ Intensity Lysate I,LFQ Intensity Scrambled I,LFQ Intensity Norad I,LFQ Intensity Neat I,LFQ Intensity Malat I,LFQ Intensity Lysate II,LFQ Intensity Scrambled II,LFQ Intensity Norad II,LFQ Intensity Neat II,LFQ Intensity Malat II,LFQ Intensity Lysate III,LFQ Intensity Scrambled III,LFQ Intensity Norad III,LFQ Intensity Neat III,LFQ Intensity Malat III
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,101080000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,162740000,0,0,0
19190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,123800000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128010000,0,37184000,0,0,70594000,0,38832000,17705000,0,44720000,0,0,0,0
151260000,0,100470000,0,0,122560000,0,73587000,72882000,0,106150000,0,104510000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195090000,0,83888000,0,0,157530000,0,62306000,104770000,0,112750000,0,93709000,0,0
0,0,0,0,0,12202000,0,0,0,0,0,0,0,0,0
6581500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,10556000,0,0,0,0,14430000,0,0
41893000,0,49477000,0,0,67231000,0,75109000,34212000,0,43031000,0,57024000,0,0
0,0,0,0,0,0,0,0,0,0,0,12845000,0,0,0
26142000,0,23115000,0,0,0,0,0,0,0,0,0,0,0,0
18233000,0,12560000,0,0,25094000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,134490000,0,0,0,0,0,0,0,0
146490000,0,99438000,0,0,112020000,103390000,519550000,273620000,182080000,72778000,0,193510000,41284000,0
0,0,0,0,0,0,0,0,0,0,17924000,0,0,0,0
0,0,0,0,0,7160000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8475100,0,0,0,0,0,0,0
0,0,0,12593000,0,0,0,0,0,0,0,0,0,0,0
0,0,0,69378000,0,0,0,0,0,0,0,0,0,0,0
0,0,0,160700000,0,0,0,0,0,138230000,0,0,0,0,0
0,0,32378000,0,0,0,0,37079000,38754000,76990000,0,41995000,0,39545000,0
0,0,0,0,0,0,0,0,0,0,0,174170000,0,0,0
0,0,19697000,0,0,30131000,0,19923000,17829000,0,0,0,35212000,0,0
0,82813000,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15431000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,44762000,0,0,0,0
114140000,0,77387000,0,0,114480000,0,56441000,43086000,0,51164000,0,58556000,0,0
0,0,0,0,0,0,0,16187000,0,0,0,0,0,0,0
292570000,0,237410000,0,42695000,473520000,20839000,266430000,252940000,0,130780000,50565000,289210000,42094000,0
0,0,32500000,0,0,35016000,0,0,0,0,32987000,0,0,0,0
0,0,0,0,0,29985000,0,0,0,0,0,0,0,0,0
175260000,0,149910000,0,57431000,155210000,0,90531000,88792000,0,126020000,0,0,49030000,0
8817300,0,0,0,0,11376000,0,0,0,0,12547000,0,0,0,0
20990000,0,0,0,0,25072000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64184000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81054000,0,67895000,0,0,119210000,0,41943000,48245000,0,110860000,0,49364000,0,0
0,0,0,0,0,0,0,0,0,0,0,587380000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,22785000,0,0,0,0,41118000,0,0
430050000,0,251240000,0,32922000,324970000,0,138820000,120650000,0,297440000,164820000,58112000,0,0
87075000,0,92227000,0,0,155160000,0,68503000,84728000,0,126530000,0,33347000,0,0
27635000,0,26491000,0,0,26034000,0,33169000,31461000,0,0,0,0,0,0
0,0,0,0,0,0,0,8080900,0,0,0,0,0,0,0
216290000,0,172340000,0,0,330670000,0,110470000,106850000,0,413360000,0,98739000,0,0
25999000,0,0,0,0,21230000,0,37178000,25557000,31526000,0,0,33176000,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20514000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,13107000,0,0
0,40578000,16838000,0,27538000,0,0,0,0,0,0,64743000,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,26286000,19200000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15516000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,55245000,0,32953000,31365000,46563000,0,0,0,0,0
324310000,0,0,0,0,58456000,0,31054000,24684000,0,0,0,41159000,0,0
35968000,0,0,0,0,52229000,0,16723000,0,0,44638000,0,0,0,0
0,0,0,0,0,9013600,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4633500,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47206000,22902000,51889000,54280000,48317000,30687000,42538000,73383000,47188000,49255000,33695000,0,148720000,63551000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27849000,0,27237000,0,0,26362000,0,0,0,0,34076000,0,0,0,0
86182000,0,0,0,0,152280000,0,75303000,0,0,0,0,0,0,0
129910000,0,154010000,0,72527000,107180000,0,60652000,102520000,0,0,118370000,77072000,0,0
10541000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,34341000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,32547000,0,0,0
33973000,0,25777000,0,0,28298000,0,54965000,51926000,0,0,0,28943000,0,0
62565000,0,42770000,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,14272000,0,0,0,0,0,0,0
369880000,55165000,305790000,0,124070000,164380000,64214000,355330000,255880000,104960000,89626000,19940000,275320000,28439000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166770000,0,70187000,0,0,172350000,0,93725000,103260000,0,59959000,0,84147000,0,0
24159000,0,24816000,0,0,29019000,0,0,0,0,0,0,0,0,0
40180000,0,40195000,0,0,44074000,0,0,0,0,60540000,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10616000,0,0
0,0,0,0,0,51622000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,18588000,0,0,0,0,0,0
68319000,0,54121000,0,0,69768000,0,0,0,0,94903000,0,0,0,0
0,0,0,0,0,0,0,1353600,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,55680000,44111000,0,69508000,0,0,72545000,58300000,0,0,0,0,0,0
0,0,0,0,0,41421000,0,0,0,0,0,0,0,0,0
49695000,0,87173000,0,0,87453000,0,57709000,0,0,0,0,0,0,0
44502000,0,49941000,0,0,49899000,0,55768000,0,0,60065000,0,59552000,39993000,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8547600,0,0,0,0,0,0,0
0,0,0,0,0,0,0,17376000,0,0,0,0,0,0,0
0,0,0,0,0,16160000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,221490000,102590000,0,164640000,0,91427000,96169000,95400000,114720000,0,0,122740000,108280000,0
