K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
7.464398,7.698419,7.678327,7.481592,7.948742,7.801169,7.878701,8.068727,7.853517,7.574199,8.122448,7.691531,8.48732,9.000633,8.953205,8.916968,8.79627,8.481631,8.768383,8.518063,8.84947,8.701781,8.863041,8.994701
7.464398,7.698419,7.574063,7.361859,7.930448,7.749935,7.85191,7.96627,7.813438,7.476517,8.087737,7.670658,8.454634,8.9774,8.953205,8.875272,8.830228,8.481631,8.699465,8.461602,8.821286,8.661694,8.844178,8.972541
7.59411,7.685899,7.574063,7.361859,8.079096,7.749935,8.031231,8.137086,8.035565,7.477852,8.180803,7.670658,8.640705,9.008478,9.059754,9.026378,8.83633,8.508982,8.935241,8.686233,8.986242,8.759549,9.031339,9.124171
7.811441,7.892585,7.750597,7.779282,7.86035,7.578656,7.637808,8.00122,7.903328,7.911263,7.995468,7.607979,7.357591,6.85888,6.855379,6.694033,7.221945,7.089262,6.847851,6.995443,6.769966,7.143692,,7.225821
7.255745,7.632016,7.174619,7.178355,7.121665,7.249216,7.498356,7.549101,7.46896,7.088712,7.636594,7.739506,7.713691,8.351983,8.316404,8.161309,8.070001,7.982853,8.155944,8.164615,8.029441,7.896084,8.057913,8.145507
7.43759,,7.925451,7.913092,8.070219,7.850688,7.843886,7.981328,7.946698,8.153087,8.004636,7.910669,7.135199,7.528976,,7.100424,7.396256,,7.287654,7.171571,7.26858,7.399701,7.003313,7.221607
7.43759,,8.20641,7.913092,8.070219,7.850688,7.843886,8.266168,7.946698,8.153087,8.004636,7.910669,7.135199,7.533725,,6.917388,6.94885,,6.959802,6.737585,6.759886,,7.003313,7.221607
6.794004,7.460682,6.936226,6.859327,7.501318,6.808728,7.943405,7.426232,7.844003,7.430016,7.41961,7.380419,7.929006,8.7239,8.463765,8.625252,8.67879,7.820375,8.603847,8.255148,8.648264,8.789794,8.451214,8.83623
,7.181301,7.137655,,,6.938424,7.086946,7.16892,7.118568,6.830036,7.1267,7.102135,7.28068,7.763754,7.637944,7.601056,7.661709,7.459665,7.632936,7.743357,7.523982,7.338096,7.778929,7.739462
7.43759,,8.20641,7.913092,8.070219,7.850688,7.843886,8.054903,7.946698,8.153087,8.004636,7.910669,7.135199,7.423657,,6.917388,6.958937,,,6.737585,,,7.003313,7.221607
8.175176,8.247251,8.291646,8.34527,8.492819,8.222972,8.368546,8.595121,8.719146,8.395332,8.517965,8.446358,8.661128,9.082555,9.272788,9.13787,8.869936,8.726533,9.077046,8.877406,8.910595,8.649735,9.109255,9.237422
8.063051,8.004998,7.940325,8.057636,7.986382,7.912077,8.138152,8.122843,8.051354,8.07223,7.966636,8.254741,7.066111,7.729503,,7.434493,7.542258,7.781872,7.311652,7.028584,7.488009,7.659274,,7.509393
7.820867,7.391135,7.634894,7.309351,7.721287,7.624853,7.608188,7.817268,7.896526,7.481648,7.796517,7.836395,7.968856,8.197582,8.306806,8.430367,8.124372,7.873456,8.2051,8.139766,8.194485,8.058287,8.458513,8.5321
7.43759,,8.20641,7.744393,8.070219,7.850688,7.843886,8.266168,7.946698,7.91119,7.78361,7.910669,7.135199,7.423657,,6.917388,6.958937,,,6.737585,,,7.003313,7.221607
6.963666,7.641015,7.539936,6.921808,7.37151,7.353053,7.353703,7.7207,7.615469,7.401999,7.735402,7.648893,7.748318,8.576738,8.231137,8.431947,8.352405,7.67334,8.210062,8.194358,8.1812,7.939868,8.079659,8.401064
8.004923,7.817766,7.810405,7.860962,7.861769,7.886747,8.06652,7.814572,7.997996,7.9069,7.928382,8.209254,7.066111,7.657766,7.293897,7.250756,7.620573,7.593487,7.408425,6.991002,7.683061,7.479016,6.896593,7.509393
7.43759,,7.845531,7.694131,8.070219,7.642427,7.584835,7.968466,7.946698,7.776908,7.745152,7.910669,7.135199,7.423657,,6.917388,6.958937,,,6.737585,,,7.003313,7.221607
7.811676,7.99824,8.043009,7.901297,7.922548,7.848562,7.64663,8.046061,7.999624,7.890301,7.908263,7.916877,7.275449,7.248505,7.121647,7.287862,7.417398,7.482381,7.480779,7.280378,7.621933,7.525503,7.994149,7.082177
8.380605,8.341175,8.340073,8.183674,7.893551,8.263173,8.037997,7.678751,8.23689,7.99063,7.990141,8.013287,8.571809,8.297661,8.811843,8.471075,8.426534,8.664213,8.772407,8.654372,8.535056,8.588178,8.669203,8.599741
8.397745,8.348651,8.340073,8.183674,7.953755,8.281186,8.061435,7.668094,8.277435,8.022558,7.903781,8.099084,8.571809,8.275388,8.811843,8.513422,8.504463,8.674127,8.772407,8.654372,8.572699,8.594956,8.669203,8.599741
7.908898,7.817766,7.810405,7.860962,7.724595,7.886747,7.893964,7.814572,7.917356,7.9069,7.928382,8.070821,7.066111,7.745126,7.293897,7.250756,7.581364,7.593487,7.408425,6.991002,7.521045,7.555626,6.896593,7.509393
7.875841,7.781198,7.810405,7.860962,7.68164,7.886747,7.885554,7.798961,7.693258,7.895432,7.711193,8.045439,7.066111,7.611852,7.293897,7.250756,7.586972,7.593487,7.263172,6.991002,7.521045,7.479016,6.896593,7.509393
7.253052,7.585189,7.591331,6.90686,7.620195,7.416925,6.684421,7.866927,7.268497,7.296369,7.391627,7.476182,7.974007,7.897388,7.907469,7.955207,8.138181,,7.947792,8.146346,8.091922,7.800481,8.131229,8.206502
6.770443,7.051967,6.767428,,,,6.964797,7.006274,6.895331,,,6.679517,6.980715,7.512725,7.310715,7.53877,7.602222,,7.742801,7.629807,7.619563,7.440578,7.564904,7.715526
8.397745,8.348651,8.333248,8.168768,7.917482,8.281186,8.045089,7.562382,8.277435,8.001468,7.903781,8.117166,8.571809,8.280946,8.811843,8.513422,8.504437,8.674127,8.772407,8.654372,8.572699,8.594956,8.669203,8.599741
,7.216046,6.957771,6.584607,6.923343,6.928482,6.933954,7.026674,7.079048,,7.276626,7.029512,7.209062,7.600655,7.540697,7.521312,7.582888,7.243269,7.497411,7.478942,7.433463,7.206536,7.413692,7.486953
8.004923,7.781198,7.810405,7.860962,7.861769,7.886747,8.06652,7.798961,7.864125,7.895432,7.765074,8.209254,7.066111,7.700979,7.070208,7.250756,7.620573,7.593487,7.300987,6.926226,7.683061,7.479016,6.896593,7.509393
8.004923,7.920008,7.810405,7.860962,7.861769,7.886747,8.06652,7.91262,7.980641,7.832705,7.765074,8.209254,7.066111,7.700979,7.140162,7.250756,7.620573,7.593487,7.568373,6.926226,7.683061,7.594215,7.024432,7.509393
7.92624,7.964537,8.007967,7.901297,7.874201,7.833482,7.640723,8.046061,8.027179,7.890301,7.902696,7.916877,7.328125,7.418059,7.015232,7.351136,7.447485,7.047156,7.580394,7.307315,7.66346,7.56142,7.994149,7.202094
7.949567,7.867587,7.810405,7.860962,7.70441,7.886747,7.885554,7.814572,7.917356,7.902002,7.940487,8.083026,7.066111,7.745126,7.317622,7.250756,7.581364,7.593487,7.408425,6.991002,7.521045,7.71857,6.896593,7.496942
7.748185,7.884402,7.932778,7.980791,8.075646,7.801735,7.730064,8.121818,7.724519,8.042936,8.108083,8.040217,8.272724,8.202974,8.141394,8.229124,8.179913,8.115005,8.103863,8.192606,8.373192,8.260057,8.392953,8.231809
7.908898,7.781198,7.810405,7.860962,7.68164,7.886747,7.885554,7.798961,7.693258,7.9069,7.718911,8.045439,7.066111,7.745126,7.293897,7.250756,7.581364,7.593487,7.408425,6.991002,7.521045,7.479016,6.896593,7.509393
7.86528,8.367739,8.442985,8.221873,8.303759,8.152351,8.135593,8.338627,8.124872,8.357449,8.37412,8.220695,8.778327,8.60554,8.273462,8.64163,8.573207,8.367201,8.575667,8.614647,8.660381,8.678532,8.733056,8.552051
8.012835,7.772954,8.096912,8.096989,8.497676,7.979429,8.586881,8.942248,8.66033,8.394276,8.705357,8.660444,8.997661,9.2899,9.13422,9.232131,9.175383,8.887861,8.924043,8.983659,8.683446,8.926651,8.842173,9.050271
7.449169,7.265073,7.473514,7.195991,7.445518,7.304333,7.349276,7.454137,7.328832,7.519644,7.564841,7.58001,7.896667,7.797523,7.727251,7.727003,7.856053,8.02032,7.74658,7.50436,7.741435,7.456694,7.680949,7.54716
,7.078655,7.143675,6.391002,6.610011,,6.867125,7.212706,6.602211,7.03182,6.980146,7.037547,7.590147,7.318342,,7.34917,7.752513,,7.240137,7.527937,7.437336,7.494824,7.284483,7.703639
7.765866,7.753393,7.807313,7.636901,7.612766,7.575608,7.941551,7.797271,7.844891,7.604745,7.618844,7.771476,7.269896,7.303355,6.970818,7.254488,7.464684,7.155441,7.457765,7.208626,7.534596,7.585062,7.776598,7.035906
,7.296581,7.70821,7.823344,7.966043,7.45505,7.980448,7.649264,,7.875837,7.854955,7.721916,8.213329,7.956089,8.072367,8.026502,8.314447,8.217124,8.007308,8.238418,8.228538,8.159506,8.253382,7.911113
8.323517,8.595049,8.521279,8.549788,8.691534,8.536345,8.567783,8.697463,8.496027,8.519193,8.753146,8.561877,8.243987,8.605448,8.335994,8.278312,8.409324,,8.226943,,8.288839,8.277916,8.273074,8.194414
7.960971,7.941365,7.955454,7.840576,7.874146,7.871934,7.979119,7.541395,7.847309,8.264894,7.7203,7.704865,8.293775,8.124691,7.96418,7.982211,8.153901,8.113676,8.257794,8.204512,8.387281,8.414884,8.258399,8.286232
7.507158,7.607331,7.88103,7.718403,7.924619,7.805311,7.574085,7.357788,7.603993,7.479035,7.881947,7.815994,7.871609,8.257803,8.251228,7.787064,8.075051,8.558671,8.269627,7.976784,8.550281,8.28681,8.214316,7.721574
7.161937,7.967953,7.880686,8.383041,8.02775,8.096673,7.863754,8.382986,7.709815,8.245824,8.552553,8.085189,7.156852,7.095269,7.537961,,7.425474,,7.139881,7.138453,7.649515,7.575828,7.551184,7.314101
,7.118745,6.773703,7.036037,7.35665,6.808827,7.421764,7.54133,7.382703,7.018456,7.523401,7.404343,7.542141,7.611209,7.70358,7.910602,7.482234,7.426059,7.920004,7.810207,7.850276,7.913346,8.188038,7.563476
7.435364,7.481397,7.60943,7.676318,7.654347,7.531871,7.620168,7.569306,7.545994,7.819368,7.474092,7.596858,7.803117,7.567549,7.829598,7.70041,8.27279,8.020537,7.93626,7.775248,7.803243,8.001334,7.817627,8.06494
7.609013,7.768142,7.817034,7.956921,7.957168,7.504121,7.88249,7.802669,7.981583,7.931341,7.925377,7.723876,7.958463,7.925086,8.001925,8.075373,8.17891,7.849067,8.225793,8.150803,8.253911,8.22737,8.278349,8.275418
7.936409,7.754916,7.75605,7.925111,7.80935,7.835445,7.877938,7.91262,7.864665,7.938767,7.718911,8.011684,7.066111,7.677021,7.140162,7.250756,7.782096,7.703598,7.568373,6.913909,7.574624,7.594215,,7.509393
7.52975,7.3721,7.592669,7.501347,7.581196,7.545024,7.501619,7.536552,7.737676,7.444477,7.751834,7.582204,7.708081,,7.901008,7.72101,7.859859,8.047695,7.76555,7.631522,8.029676,7.677752,7.705791,7.819235
,,,6.89726,7.297311,7.071102,7.450253,7.484346,,6.901823,7.61092,7.705375,7.624734,8.092368,7.76402,7.813313,7.816374,7.732898,7.663477,8.020924,7.722609,7.753587,7.980594,7.829115
7.458266,,7.227591,7.426941,,6.728841,7.00461,,6.97787,,,7.213016,7.706539,,7.694679,8.022054,8.019024,,7.483852,7.720942,8.082473,,7.832285,
,7.182466,7.116934,7.056289,6.494801,7.45505,7.033034,7.501487,7.051938,7.186677,7.313595,7.021403,7.505283,7.944195,7.568563,7.779599,7.546717,7.457373,7.556682,7.342332,7.785952,7.403629,7.413011,7.689188
7.581983,7.411011,7.491734,7.462932,7.60563,7.63115,7.845915,8.277127,8.219651,7.62787,7.90432,8.019993,8.096233,8.418663,8.522178,8.431806,8.193732,8.492477,8.110909,8.113908,7.989614,8.106199,8.034154,8.282487
7.602786,7.768142,7.817034,7.956921,7.957168,7.504121,7.871195,7.771343,7.964962,7.903038,7.930555,7.708158,7.958463,7.873566,8.071403,8.045907,8.071323,7.849067,8.205864,8.1351,8.244031,8.173178,8.269038,8.197007
7.719082,7.810054,8.161641,7.81862,8.073858,7.878496,8.135581,8.237082,8.488376,8.166697,8.246206,8.195518,8.432961,8.277447,8.482388,8.784633,8.666585,7.984724,8.612348,8.670128,8.516908,8.394159,8.853867,8.973443
