K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
7.531896,,,,,,,,,,,,,,,,,,,,,
8.142344,7.722628,,,,7.513704,7.862315,,8.105087,7.822572,,,7.601329,7.578028,7.699015,,,,,,7.844753,
7.546093,,,,,,,7.044547,,,,,,,,,,,,,,
6.884363,,,,,,,,,,,,7.879447,,,,,,7.585381,,,
7.834161,,,,,,,,7.860857,,,,,7.486749,,,,,,,,
7.968538,,,,,,,,,,,,,,,,,,,,,
7.621204,,,,,7.628981,,,7.68295,,7.957378,,,,,,,,,,,
8.577673,8.325528,,,,8.197239,8.314585,8.45133,,,7.971593,,7.795209,7.994811,7.374147,,,,7.792646,7.873805,8.101213,6.876877
7.609011,7.325658,,,,7.915241,7.637729,7.766573,7.719632,7.473235,,,,7.801783,7.487415,,7.547114,,7.640335,7.642877,7.016246,6.959076
7.209892,,,,,7.787361,6.823385,7.049871,7.172629,,,,,7.128829,,,,,6.592851,,,
8.593244,8.542364,8.593906,8.704709,7.799106,8.335652,8.498658,7.98227,8.664326,8.416519,8.06654,9.015741,8.386461,8.174585,8.48618,8.697072,8.348663,8.255478,8.400496,8.459135,8.255382,8.294314
7.215558,,,,,7.246648,,7.506338,,,,,,,,,,,,,,
7.365634,,,,,,,,,,6.443377,,,7.624606,,,,,,7.341215,,
7.247526,,,,,,,,,,,,,,,,,,,,,
7.183811,,,,,,,,,,,,,7.054352,,,6.888856,,,,,
8.07075,7.221172,,,,7.638895,,,,7.617279,,,,,,,,,,,7.8493,
7.425967,7.460638,,,,,,,7.28403,,,,,,,,6.7901,,7.484052,8.297996,,
7.35895,7.278844,,,,,,,7.097766,,,,,,,,6.7901,,7.460239,8.055959,,6.856641
8.002036,,,,,,,,,,,,,,,,8.041656,,7.806748,7.95392,7.67787,
7.251164,,,,,7.421292,,,,,6.924228,,,7.475593,,,,,,,,
8.162097,,,,,7.756022,,,,,,,,,,,,,,,,
8.401292,7.672285,,,,7.917448,7.50763,7.92372,7.01519,7.653742,,,,,,,,,,,,
8.528356,,,,,8.213744,7.28076,8.330478,7.800349,7.859356,,,,7.909823,,,,,,7.693403,,
,7.244027,,,,,,7.44238,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.10014,
7.35719,,,,,7.536798,,,,,,,,,,,,,,,,
7.317771,,,,,7.10672,,7.332973,,,,,,7.112373,,,,,,,,
7.529228,7.060197,,,,8.075854,7.705447,7.6933,7.312966,,,,,8.165879,,,,,7.975941,7.809624,,
8.002761,,,,,7.659373,,7.551366,,,,,,,,,,,,,7.233117,
7.091252,,,,,,,,,,,,,,,,,,,,,
6.949194,,,,,6.780909,,6.883657,,,,,,,,,,,,,,
8.904187,,8.020083,8.056876,8.651881,8.429954,8.697002,8.156671,9.096793,7.878403,7.944411,8.07733,,8.730481,8.103467,7.897825,8.143608,7.47372,7.934978,8.136644,8.31746,7.876845
8.754308,8.172021,7.142428,8.239831,8.677593,8.518715,8.691868,8.255799,9.117934,7.967442,8.227505,7.93296,7.580485,8.659709,8.132259,8.044788,8.193363,7.47372,,8.171488,8.379131,7.841202
8.706578,,,7.914043,8.836172,8.373793,8.592172,8.094106,9.07157,8.162992,,8.157951,,8.590878,,7.897825,8.014178,7.47372,7.840557,8.171488,8.34384,7.878627
,,,,,7.288331,,,,,,,,,,,,,,,,
7.517094,,,,,7.338048,7.21768,7.322012,,,,,,,,,,,7.052358,,,
7.4846,,,,,,,7.403217,,,,,,,,,,,,,,
7.397336,,,,,,7.564103,,,,,,8.159073,7.208164,7.97072,,,,,,,7.373539
8.016334,7.368221,,,,7.458406,,7.918995,,,,,,,,,,,,,,
7.765147,7.186444,,,,7.484726,,7.358624,7.848282,7.37502,,,,7.479132,,,,,,,,
7.295216,,,,,,,,,,,,,,7.485149,,,,,,,
,,,,,,,,,,,,,,,,,,,,7.627887,
7.889394,,,,,,8.204323,,7.891109,7.482576,,,8.300985,7.112342,8.466944,,7.630852,,7.277274,,,
8.588831,8.477257,,7.31723,7.193705,8.885291,8.407926,8.701995,6.784199,8.033667,7.958399,,,7.406318,,,,,,,7.913217,
7.408107,,,,,7.188477,,,,,,,,,,,,,,,,
7.867585,,,,,,,,,,,,,,,,,,,,,
7.264338,,,,,,,,,,,,,,,,,,,,,
7.217225,,,,,,,,,,,,,,7.746527,,7.514736,,7.808372,7.773949,8.116504,
7.334797,,,7.415934,,7.14343,,7.53169,,,8.05193,,,7.463784,,,,,,,,
8.060414,7.658316,7.727968,7.465355,,8.033385,7.331557,8.455157,8.015461,,8.450562,7.883293,7.80861,7.981902,7.960222,7.490139,8.010725,7.817087,7.790978,8.176014,7.863474,
7.788003,,,,,,,,,,,,,,,,,,,,,
6.966242,,,,,,,,,,,,,,,,,,,,,
8.463271,8.435468,8.593906,8.704709,8.415113,8.335652,8.487155,8.141489,8.575868,8.541084,8.06654,9.05803,8.386461,8.063296,8.744243,8.848773,8.289617,8.255478,8.360179,8.563791,8.153087,8.342998
8.051185,,,,,,,,7.481923,,,,6.893464,7.469787,7.526624,,,,,7.031375,,
7.633069,,,,,,7.809393,,7.298405,,,,7.833971,7.699415,8.109073,,7.99935,,7.870282,7.56684,,7.402743
8.224237,7.999275,,,,7.834232,7.821221,7.895269,8.137033,7.538383,,,,7.563847,,,7.675648,,,7.70422,7.860478,
7.785903,,,,,7.839019,,7.787199,7.637007,,,,,7.430249,,,,,,7.583594,,
7.56644,,,,,7.921751,,7.761807,7.666827,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
7.047606,,,,,,,7.595928,,,,,,6.864595,,,,,,,,
8.547896,8.307644,7.972954,8.14281,7.435124,,8.473719,7.748339,8.568032,8.116063,,7.706522,8.341351,8.35961,9.465004,7.559801,8.31703,,8.011137,8.896612,8.197309,8.237025
6.838121,,,,,,,,,,,,,,,,,,,,,
7.89159,,,,,7.546268,7.684298,7.469101,7.717086,,,,7.012669,,,,,,7.324916,,7.618012,
7.079595,,,,,7.570559,7.503807,,8.011246,7.770512,,,,,,,,,,,,
8.184159,,,,,7.50747,,,7.743435,8.011204,,,8.532457,8.234642,8.585123,,,7.535982,8.466525,8.348844,,7.795373
7.419959,7.554094,,,,,7.420377,,,,,,,,,,,,,7.55268,,
7.990006,7.86115,,7.491849,,7.571309,7.705888,,7.655104,7.528422,,,,7.748838,7.976178,,8.082056,,7.826335,7.714346,7.512058,7.194852
7.727048,,,7.787303,,,7.803446,,7.871802,,,,,7.538078,,,7.787174,,,,,
7.420978,,,,,,,,,,,,,,,,,,,,,
8.413219,8.25131,,7.974199,7.745306,8.018119,,,8.541018,,,,,,8.00657,,,,7.969318,,8.373421,7.431564
7.671023,7.693212,,7.472988,,,,,7.787957,7.941078,,,,,,,7.41602,,,7.447671,,
