K1M1,K1M2,K1M3,K1M4,K1M5,K1M6,K2M1,K2M2,K2M3,K2M4,K2M5,K2M6,K3M1,K3M2,K3M3,K3M4,K3M5,K3M6,K4M1,K4M2,K4M3,K4M4,K4M5,K4M6
7.204859561,7.360028551,7.665713095,,,7.291566384,,,,,,7.574212385,,,,,,,,,,,,
7.727531555,,6.873022706,7.590991662,7.077814896,7.318451407,,6.718049655,7.186575153,7.567487701,6.614366848,7.124235381,8.143973551,7.238875411,7.458549342,7.757908455,8.446611146,8.390316697,8.3396568,7.952247472,8.047446877,7.589065919,8.455963706,7.44893255
7.167302587,,,,,,,,,6.950627821,7.172666739,,7.158228006,,7.436930492,7.168132456,,,,,,,7.170042557,7.740120565
8.206698,8.156878859,8.266630955,8.398659537,8.47842448,8.341067507,8.466730959,8.004988662,8.399707875,8.699341336,8.286978309,8.53735334,8.568050993,8.759888317,8.780095281,8.676648952,8.688084162,8.746621042,8.619052231,8.770321022,8.514434468,8.596920663,8.676282691,8.632412176
6.980934753,,,,,,,,,,,,,,,,,,,,,,,
7.251070395,,,6.830294899,7.435448778,7.080787682,7.270658051,,,7.992061983,,7.503891421,7.944875216,8.488298825,8.433021211,8.074196464,6.827223064,8.284011651,8.330633331,8.186074056,7.74867429,8.051333374,8.585302325,7.571248798
,,,,8.103322211,8.126779551,,8.073208035,8.096021211,,7.972474756,8.110079609,,,,,,,,,7.860797788,7.689348875,,8.118910063
6.652552705,7.486849772,,7.259769827,7.642707635,,7.63959488,,7.462629482,7.926562066,,,7.856142858,,7.885254872,8.019074381,,7.744558465,8.063139939,7.809614365,7.397582629,7.871075605,8.061884338,
8.546577241,8.304191551,8.370594278,8.258247603,8.389547199,8.475282062,8.451516434,8.463967921,8.425784582,8.615418575,8.405978221,8.731634017,8.085355457,,8.348141833,8.588372659,8.19116631,8.143011805,8.258363571,8.13265032,8.055897138,8.403852505,8.335518147,8.041870021
6.968308261,7.140830364,6.852541456,7.03928443,7.469796693,7.340867584,7.40402598,6.975471898,7.216081773,7.635359901,,7.255272646,,,7.409193762,7.496526753,7.510110229,6.517581087,7.456545141,7.358132604,,7.548004808,7.614661021,7.151921162
7.347337625,7.372269014,7.019667812,6.596290039,7.091035334,7.398041259,7.39285582,6.810082851,7.536095548,7.940267047,7.434785008,7.556282247,7.630832546,7.393696013,7.841733866,7.883104727,7.846278422,7.871071299,7.71433973,7.70122208,7.2903259,7.570019506,8.015328763,7.362312535
6.472665231,,7.307588788,,,,,,,,,,7.068211271,,,,,,,,,,,
6.365770911,6.758016891,,,7.06571936,7.076673604,6.997455129,,6.748300986,7.805951621,,6.779133446,7.623926922,,7.830868818,7.466968402,7.039583099,7.813817522,7.484059073,7.82046042,6.782335104,7.262516703,7.81918016,
6.511772191,,,,,,,,,,,,,,,,,,,,,,,
7.803845513,7.773395443,7.669455575,7.798444487,8.066955339,7.915358671,8.146841921,7.997123239,8.137063911,8.188379493,7.868477986,8.015822503,8.094908209,7.592269891,8.230030811,8.318334715,7.629250804,8.234124583,8.391124511,8.232731151,8.086324442,8.24491782,8.115481005,7.891739866
8.141118563,8.536248427,8.225114173,8.5895702,,8.632314621,,,6.880946454,8.745325607,,,8.513465184,7.025979357,8.547404733,8.651866521,8.487660466,8.507122153,8.640150861,8.555832087,,8.465717451,8.523091297,7.809603119
8.443546398,8.357202405,8.382528169,8.415667466,8.441319026,8.507513169,8.439480994,8.710031689,8.672557727,8.575016963,8.565156447,8.591131986,8.580525683,8.629059652,8.782451432,8.659042266,8.850766284,8.661413117,8.769382547,8.780416174,8.725833827,8.624850038,8.770868156,8.635040469
7.806006035,7.634162924,7.542091651,7.531442277,7.676588587,7.730850952,7.84663451,7.722409126,7.769063112,7.719321163,7.479845136,7.559948434,7.777257022,,7.863156975,7.94743633,7.944707495,7.87637432,7.80658861,7.857701484,7.532404746,7.712775722,8.228833714,7.709180677
7.667074088,7.520545105,7.432767308,7.428892995,7.623717132,7.585337522,7.757452913,7.197134262,7.852373325,7.828033883,7.601115751,7.798584097,7.66001001,,7.744858542,7.870290267,7.780611007,7.902366123,7.736766767,7.71698805,7.367993329,7.706384161,8.046321688,7.343411364
7.663834459,7.307735023,7.298990142,7.890056959,7.329908316,7.418897943,7.390012274,7.593343662,7.649964273,7.993072248,7.704494717,7.43452813,7.964502339,7.508069557,8.101024336,7.772940379,7.747491631,8.061845499,7.972195672,8.024690899,7.64218671,7.539144535,8.069376941,7.592387377
7.302932571,,,,8.033877644,,7.779224569,7.318586822,,,,,,,,,,,,,,,,
,,6.509695736,,,,,,,7.276754267,,,7.313769099,,7.511755243,7.123351411,,7.390826533,7.414000948,7.306824507,,6.992624762,7.547257788,
7.195021243,,,7.163399271,6.700450763,6.874837297,6.48490637,7.152380719,7.30241092,7.450563167,7.154664553,6.58276562,7.50700675,6.616274466,7.696705398,7.672961159,7.711132923,7.554006947,7.775526339,7.699954796,7.534017793,7.064778323,7.616474385,7.12453316
10.09579557,10.10742875,10.04341961,10.18403528,10.18117534,10.13218179,10.14571381,10.06544266,10.27545646,10.38907467,10.04436564,10.13815339,10.2222561,10.03044919,10.3316008,10.34660831,10.12119465,10.35247618,10.32682992,10.29486949,10.08472759,10.21879387,10.42830112,10.05938636
6.474231932,7.478096241,6.801185707,7.262194552,,,,,,,,,7.048589176,7.595927465,7.644813716,7.004595183,,,,,,,,
,,,,7.108202461,7.4171596,7.529311418,,7.078625885,7.667544579,,7.381843981,,,,,,7.363147648,7.607896803,7.192578044,7.428608673,7.516547878,7.302378402,6.482753031
6.814073652,,,,,,,,,,,,7.104972293,,7.354038818,7.311475414,,,,,,,,
,,,,,,,,,,,,,,,,,7.32635354,,7.241645486,,,7.146639951,
7.839293209,,,,,,8.169662184,,,8.177577814,,,,,,8.361402024,8.210955869,,8.1503869,,,,,
9.705182405,9.712198533,9.703227524,9.820534069,9.981534488,9.872915121,9.912498104,9.662294748,9.898571847,10.13175212,9.65613867,9.882551442,9.896637755,9.752569037,10.04303919,10.03863499,9.81244682,10.06524656,10.07487028,10.08560708,9.79697864,9.965591124,10.2231909,9.769781875
7.35462998,7.339923797,7.338246882,7.432129365,7.442321819,7.349863404,7.555181902,,7.411650171,7.594946592,7.301347855,7.447453558,7.868955919,7.218501807,7.594792267,7.7388986,7.998292355,8.175602232,8.086301155,7.605458616,7.969448072,8.193295655,8.396078998,7.51506982
,,,,,,,,,,,,,,,,,,,,,,,
6.906278703,7.101264931,7.234275259,7.105047561,6.964021302,,7.028520727,,,7.14345991,,6.994628297,7.592256233,7.428657518,,7.396698082,7.368882524,7.497150642,7.4025492,7.605451425,7.405498818,7.548694746,7.506324886,7.347480945
6.883401713,7.039480079,7.066797585,6.962852639,,,,7.12217112,,7.626080189,6.705353997,6.857562729,7.383034326,6.885886524,7.553191285,7.590829487,7.425093422,7.52336247,7.183116021,7.758201968,,,7.469695263,
7.946291046,7.665278886,7.799333869,7.693858449,6.553706284,8.072718589,,7.983613121,7.600994903,7.807125379,7.735426987,7.742901424,7.942272887,7.910965663,8.090723585,8.030707156,7.933291412,7.913681293,7.852384553,8.025302248,6.593475766,7.792279223,7.962439768,7.707370194
7.609545255,7.911423891,7.303460343,7.865811334,8.058516164,7.886659636,7.853017034,7.429549694,7.769262399,8.144508309,7.716471705,7.878947931,8.140023955,8.330063648,8.194989789,8.12841881,7.938063654,8.06693273,8.139316938,8.304870247,7.939863693,8.098387286,8.072375944,7.697406442
8.923154405,8.660945024,8.72899616,8.807437656,8.853201137,8.89818534,8.848685072,8.775392344,8.968005188,8.942751915,8.855147053,8.997666764,8.672039412,7.503606531,8.834165856,8.791423404,8.886183244,8.846535555,8.894974699,8.733156254,8.711455376,8.736469785,8.919427347,8.689066892
7.859880971,7.769159044,7.734797119,8.12294497,8.057576179,7.777447864,7.62752535,7.70159172,7.714923005,8.132620642,7.860366592,7.79717308,8.064596345,8.107163085,8.266647612,8.177216837,7.912225716,8.238060473,8.220570863,8.288492187,7.763971634,7.76151036,8.251802202,7.892405807
8.130968512,7.835539389,8.100678311,8.30291243,8.312706822,8.279654324,8.150798688,7.842469755,8.208216268,8.632718216,8.253024357,8.184239874,8.452015986,8.472916979,8.646837022,8.640656797,8.269770318,8.679719888,8.65845657,8.703429463,8.214778405,8.417836816,8.661627577,8.124297804
6.863490115,,,,7.006695089,6.673971343,,,,,,7.20724263,,,7.168150374,,7.246603999,7.347296657,,,7.120499375,7.301554164,6.588584458,7.528537101
7.069779509,,,,,,6.589476208,,,7.133922449,6.458450713,6.831363946,6.532803436,,7.484865333,7.306554791,6.970986578,6.725020516,7.274209117,7.411492095,6.608149485,6.727384234,,6.522129798
8.688740581,8.351860504,8.581208886,8.523878513,8.604527758,8.823859383,8.377059136,8.919910927,8.813268941,8.680354051,8.243703945,8.590134552,8.562961262,8.663435411,8.886635984,8.80095589,8.657907371,8.688923072,8.807477762,8.788978591,8.635501265,8.596912515,8.598499,8.443217361
7.202490811,,,,,,,,,,,,7.785269454,7.917232881,8.076667633,8.049452485,,,,8.111852429,,,,
9.103233292,9.204315974,9.091040961,9.272994645,9.423702651,9.1820299,9.329727788,9.101944183,9.355009285,9.411398898,9.38313871,9.401205475,9.337861464,9.188491528,9.46047992,9.45901833,9.33618832,9.428800238,9.471697474,9.394969598,9.254526226,9.39925155,9.601017625,9.181244836
,6.748468305,6.71423295,6.638104016,6.52032292,,6.892847939,6.906818854,6.66631389,7.013641955,6.773427264,6.616621645,6.823947591,7.166340319,7.029518249,7.086228634,6.839069337,7.148800942,6.882860947,7.348489041,6.792840768,6.770761955,7.064433404,6.292488781
6.923455533,7.558757498,7.423731095,7.525217366,7.306789096,7.940037006,7.890578087,7.553841569,7.392759474,8.136211264,7.436903639,7.981243435,8.082596862,7.978042387,8.422677425,8.138959018,7.742562786,8.19920463,8.272730003,8.31131477,8.138817818,8.103407127,8.530924439,8.017355165
7.545677611,,,,,7.624490453,,,,6.506333713,,,,,,,,,,,,,,
7.40395298,6.459426581,7.235432583,6.898380986,6.457438871,6.675314816,,6.738352808,6.827100869,,,7.322820811,6.617060779,,7.507740488,,7.533171179,7.36584579,7.140880855,7.38731248,6.553346666,,7.256478184,6.773074749
10.30681603,10.28652377,10.24218505,10.45165929,10.17448149,10.54842206,10.16471849,10.25845503,10.30378156,10.28027129,9.949729395,9.473744138,10.2864879,10.00056766,10.45145021,10.40230799,10.60170821,10.44780519,10.11808894,10.33155005,8.780593638,6.175778388,10.19412805,
