TFA Replicate 1 Intensity,TFA Replicate 2 Intensity,TFA Replicate 3 Intensity,TEAA Replicate 1 Intensity,TEAA Replicate 2 Intensity,TEAA Replicate 3 Intensity,,
NA,5620600000,2581200,5114200,6171000,5901500,,
NA,11401000,27737000,NA,NA,125300,,
39066000,34231000,NA,379600,800290,707020,,
876620,891850,221100000,1513500,NA,2801500,,
55334000,39566000,1138900,1194600,1372700,1626300,,
24144000,NA,NA,NA,1571400,NA,,
NA,54332000,80294000,3669700,6093500,6239600,,
98134000,122290000,129590000,12256000,13161000,16438000,,
10056000,23097000,11114000,NA,2354300,2173200,,
34735000,28123000,35695000,6805700,NA,4607700,,
NA,14195000,22228000,3782300,NA,2707900,,
6013500,NA,4808600,990960,1112400,1187700,,
69699000,NA,NA,NA,15257000,16449000,,
5188200,4043200,NA,1172800,NA,NA,,
15498000,23530000,26627000,NA,7144200,4896400,,
766030000,264560000,327500000,137160000,131030000,105460000,,
17797000,20969000,45762000,6820000,10245000,9347200,,
13504000,10759000,NA,3817000,4911900,NA,,
NA,NA,2844900,NA,1160900,951480,,
NA,5227800,1865900,1425600,NA,NA,,
54616000,37471000,43194000,NA,16281000,23524000,,
42321000,54606000,67602000,63989000,21198000,1438700,,
NA,NA,15434000,7408600,8309900,9123300,,
19659000,NA,25420000,11726000,12522000,13215000,,
NA,NA,16419000,9250300,NA,NA,,
73428000,71857000,105320000,1999400,137040000,2314900,,
NA,NA,9481600,NA,5460100,NA,,
9145700,NA,NA,13545000,1608400,1745900,,
9311500,13159000,9541500,5412800,6759000,8924700,,
19503000,17398000,NA,8223000,10713000,20262000,,
5715500,NA,8999100,3729300,7200600,5133800,,
NA,NA,51747000,11109000,99120000,6989800,,
7987100,NA,NA,6044100,NA,NA,,
182880000,137510000,320370000,124410000,203470000,163900000,,
178700000,222590000,354140000,166470000,226780000,NA,,
14676000,13795000,NA,11443000,NA,NA,,
NA,22147000,31219000,16039000,15080000,34248000,,
50565000,42552000,35896000,30602000,40389000,NA,,
NA,NA,6194300,NA,5749700,4556600,,
NA,45137000,25162000,NA,29329000,NA,,
35852000,34716000,30961000,28969000,31807000,24335000,,
14311000,11515000,16940000,14006000,9930000,NA,,
1885200,2265600,4107000,2767700,3296700,868520,,
100250000,77286000,107730000,NA,NA,80040000,,
12497000,9209200,10728000,8072900,9400600,9946500,,
22995000,NA,31460000,21044000,23953000,25091000,,
NA,3160800,5405400,3311800,4099100,3706300,,
109030000,NA,NA,87841000,NA,102180000,,
54463000,40255000,57803000,41765000,46162000,46361000,,
14629000,7468400,15626000,9946700,11596000,12206000,,
53129000,NA,NA,NA,53405000,42033000,,
12841000,9021000,14390000,11310000,10730000,10584000,,
14181000,NA,13974000,11394000,14005000,NA,,
19191000,13342000,NA,NA,14678000,NA,,
15637000,17191000,21824000,17051000,19642000,12727000,,
24432000,NA,17426000,16202000,21681000,NA,,
3387300,4119000,3810500,3134400,4221000,2971100,,
5742100,5053400,8640900,4090000,7233700,6571700,,
NA,194600000,493030000,275470000,365660000,NA,,
60251000,59138000,50276000,67659000,41046000,49701000,,
NA,2263800,3395500,NA,2587500,2721200,,
NA,NA,21590000,20446000,NA,NA,,
138920000,90836000,178610000,NA,128990000,NA,,
4961400,4459000,6039300,4680900,6381200,3770100,,
18827000,16405000,NA,NA,16962000,NA,,
656670000,383330000,690690000,629600000,647810000,391030000,,
NA,NA,57650000,46564000,62946000,59125000,,
16952000,NA,NA,15680000,NA,17452000,,
2561500,1913000,3276500,4238400,2764700,593570,,
43417000,NA,NA,NA,NA,42599000,,
7326700,5784600,7283000,6760000,6629900,NA,,
13526000,6687900,10587000,9877200,14059000,6529300,,
3016000,NA,NA,NA,3042800,3006300,,
NA,15176000,NA,NA,27935000,2949100,,
22074000,11878000,19898000,15634000,27208000,12022000,,
4095500,NA,4108600,4183100,4673100,3737800,,
NA,NA,13141000,10969000,NA,16204000,,
15937000,12960000,21786000,14967000,20163000,NA,,
NA,NA,6158600,5230000,6557700,7436900,,
21198000,NA,NA,17061000,28032000,NA,,
NA,NA,17110000,NA,18640000,NA,,
9641100,NA,12030000,9915500,NA,13778000,,
NA,15123000,21921000,18433000,21451000,21041000,,
NA,NA,14271000,NA,NA,15816000,,
20781000,NA,NA,22147000,NA,24020000,,
NA,NA,6698400,6231700,9234400,6925200,,
42781000,40899000,64043000,51669000,65451000,50468000,,
