Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3,LFQ intensity 30_1,LFQ intensity 30_2,LFQ intensity 30_3,LFQ intensity 35_1,LFQ intensity 35_2,LFQ intensity 35_3,LFQ intensity 40_1,LFQ intensity 40_2,LFQ intensity 40_3,LFQ intensity 45_1,LFQ intensity 45_2,LFQ intensity 45_3
389230,75731,0,0,26730,0,0,66882,0,0,219890,0,0,0,0,0,0,0,0,0,0,0,175730,0,0
34790000,9224600,2490200,1098200,4279700,1642700,1229800,6672300,1224800,551450,4641000,1280200,455440,0,0,0,6582600,0,2476300,5031700,0,0,3908800,0,0
13759000,1069900,2469300,317380,290670,2781700,1481300,397180,631080,1704900,1746700,332740,535730,1280400,2445900,529600,563910,2038900,2103800,457450,501300,1744900,1584300,688940,648510
3654300,99402,485670,211930,104370,979550,534560,0,128200,586440,495520,28680,0,0,554680,303160,197050,1130300,495270,0,0,529350,376350,0,0
5008700,295210,305020,330610,212550,106200,163420,2570600,100540,354090,268750,225420,76371,168000,173640,223330,181230,0,151580,3470200,0,203610,144500,178700,0
61559,0,0,0,0,0,0,61559,0,0,0,0,0,0,0,0,0,0,0,57298,0,0,0,0,0
1970600,0,0,0,0,0,0,1970600,0,0,0,0,0,0,0,0,0,0,0,1497200,0,0,0,0,0
1057500,123140,104780,72150,90604,63374,74333,117980,88730,59864,121710,83626,57245,0,0,0,0,0,0,0,0,0,0,0,71275
19871000,8079200,2576500,711030,517540,283070,440240,1150800,3949000,247400,564370,312810,1039500,8070600,2232500,694870,1040800,447690,350960,1177400,4085700,314960,455420,684070,1227600
19590000,1348600,2415200,747730,265610,5385900,2534800,0,483610,3221800,2484000,356530,345970,1482500,2389900,1056900,661970,5583600,3071600,0,587780,3101400,2210900,499710,421280
1088400000,92514000,181100000,95069000,34510000,110290000,84423000,83904000,58776000,118140000,123430000,40059000,66192000,98942000,175090000,130650000,52863000,113450000,100930000,79315000,57647000,133950000,98118000,55736000,70538000
684200000,44006000,27549000,84985000,24045000,51314000,62336000,74021000,86108000,53268000,72800000,25425000,78346000,0,0,0,0,0,0,0,0,0,0,0,96844000
37921000,2435100,5355000,1443700,454660,12312000,3191500,605030,1049400,3950300,5219900,681770,1223400,2453700,4886800,2615300,855300,10656000,3831900,790250,1579600,4731400,4003600,951480,1703900
666670000,81907000,78966000,59402000,15249000,44293000,50214000,66292000,55461000,83117000,63094000,23697000,44981000,80047000,75767000,76405000,27596000,46945000,57714000,70780000,51852000,83730000,52751000,32202000,56294000
56873000,4632000,9867200,4294900,1097500,10375000,4513900,1777700,2718300,8102900,6085200,1161500,2246300,4401300,8050900,5342000,2210600,9446300,6333000,2008000,2945100,8569900,4474500,2766900,3074700
788020,0,0,0,132170,135970,102030,0,0,120330,163580,133930,0,0,0,0,0,0,0,0,0,0,0,186960,0
509120000,21970000,127690000,50025000,15904000,53294000,40438000,21397000,22245000,57007000,54883000,23796000,20465000,21920000,113220000,71991000,23441000,52357000,49193000,18845000,22358000,64867000,42470000,29579000,24333000
330500000,43545000,41017000,32721000,7817400,22485000,23231000,17734000,25257000,40181000,38227000,12714000,25569000,45531000,35569000,47284000,11751000,22538000,29143000,20357000,27145000,43316000,30637000,15768000,30824000
1660600,38975,229300,0,0,679170,308480,0,0,303950,73123,27594,0,0,0,0,0,697720,422540,0,0,0,0,0,0
1754100,164070,229000,128430,65119,237360,195000,118440,44329,279780,164650,0,127890,0,0,0,0,0,0,0,0,0,0,0,159230
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145820,0,0,16989,0,0,15714,113120,0,0,0,0,0,0,0,0,0,0,0,105290,0,0,0,0,0
219010,0,14104,0,0,0,0,204910,0,0,0,0,0,0,0,0,0,0,0,190720,0,0,0,0,0
121130,0,0,0,0,0,0,0,0,0,0,121130,0,0,0,0,0,0,0,0,0,0,0,169090,0
762030000,41239000,35986000,29347000,107770000,71132000,78149000,149880000,118340000,62889000,25954000,20103000,21226000,40658000,38426000,45451000,151080000,71186000,76762000,187490000,121280000,65424000,19709000,26340000,21093000
3206400,110200,0,81549,386230,271330,285790,657850,916740,292730,0,130410,73611,153770,0,178130,0,289470,331990,373900,1101800,308700,0,228040,0
381790,0,0,0,0,0,0,136430,149380,95982,0,0,0,0,0,0,0,0,0,0,0,107560,0,0,0
38116000,0,9035600,6593000,1942300,0,6020400,0,0,8558700,0,2639200,3326500,0,0,0,0,0,0,0,0,0,0,0,4141700
60839000,11244000,5085400,3029600,7816600,5575600,3916700,6979300,4663300,2947100,5270100,2480700,1830500,10931000,5209500,4673700,10263000,5284600,5264000,7303100,4941800,3070700,4681700,3593900,2434000
14661000,1614700,960110,884360,1245600,685410,725770,1134400,1276300,1020300,2124300,1684500,1305300,1214800,1293300,1540400,1544300,1209800,1246500,1053600,1241600,1030600,1590500,2089800,1451100
13660000,2036500,1187000,971040,894460,934040,554460,264100,590970,575760,2516200,2198200,937070,1828800,945960,1045000,1420900,760950,977940,576090,668370,622480,1815400,2698500,1953000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12204000,1119300,1666700,1131600,449250,441200,520260,774050,959730,326350,1897500,1746200,1171300,997930,1700900,1321900,567510,729680,769150,612220,900840,451450,1372900,2203900,1948100
2024000,0,0,243540,130380,286050,247010,144520,534650,263120,138960,35800,0,0,0,0,0,0,0,0,0,0,0,49974,0
1053400,148940,0,66885,137950,92968,56281,128510,0,0,169790,134880,117180,0,0,0,0,0,0,119610,0,0,0,0,0
5518600,0,0,23802,163540,81727,0,2353700,1888500,1007300,0,0,0,0,0,0,390020,0,0,2022400,1928200,1200400,0,0,0
3882900,97120,416260,253580,282320,473740,335010,497640,367420,247500,365000,316820,230490,0,396810,0,432620,450560,0,469730,381710,0,362410,399680,0
1190500,112460,218150,0,0,0,0,0,0,0,0,375780,484060,0,0,0,0,0,0,0,0,0,0,0,602690
1420700,42701,62395,45071,0,24020,38984,0,59493,44697,403890,326300,373130,0,0,0,0,0,0,0,0,0,323080,456470,463280
5217200,480150,357090,347320,77625,335560,180580,116390,0,0,995230,1221200,1106000,547930,438110,489240,0,495670,309360,274000,0,0,761840,1318300,1238400
1238300,165540,161660,86675,92277,129000,0,0,65530,0,0,293510,244110,0,0,0,0,0,0,0,0,0,0,0,303940
8791600,60434,0,59177,741790,893340,510100,1467200,2058000,910660,904870,512140,673980,0,0,0,1156300,805950,876450,1163000,2123900,1094900,716280,737880,871330
