Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
698050,74039,0,0,126010,84421,53451,149820,135150,75160,0,0,0
8311500,1072300,937680,647680,399870,500170,315920,314400,371240,217350,1271100,1005300,1258500
1610900,201400,169660,180100,95459,92347,0,0,79531,0,251870,249470,291030
466680,188990,87340,0,0,0,0,0,0,0,131130,0,59215
411000,0,0,0,0,0,0,214320,150480,46200,0,0,0
1422300,0,67826,0,168120,295850,239280,226880,214610,176260,0,0,33450
131920,0,0,0,131920,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
4352400,2353700,161430,46101,897770,0,0,348210,57718,0,325510,100140,61788
5946700,1696300,261280,886550,278070,0,705200,0,198040,797520,272360,0,851400
18006000,5037600,1300200,641870,2023200,1125000,818370,2520700,763100,727190,1677900,818010,553070
2035200,0,215550,0,312420,322340,0,418550,621100,145250,0,0,0
3313900,0,0,0,863090,560220,568700,0,888610,433240,0,0,0
132320,0,0,0,132320,0,0,0,0,0,0,0,0
1387100,0,0,0,203020,270470,229430,291260,212020,180910,0,0,0
670630,40498,175920,44300,0,64425,33380,45809,0,110500,112810,0,42994
8198600,0,1480800,1362600,464730,642140,2377400,730660,797530,0,0,0,342760
34463000,4162000,5347000,2016500,1240400,2050500,1729100,5618300,2303000,3069600,3230100,1175700,2520500
16105000,262000,128220,418910,1685600,1247200,1645100,2585200,4233100,1980500,816370,494060,609000
1680500,86865,110580,58883,266150,171310,209000,295990,281460,150260,49965,0,0
6441800,731270,715190,362960,177090,1685500,533340,0,265180,604080,999840,157490,209870
614550,0,72198,37113,37971,43530,22551,0,48500,0,157710,110000,84973
13780000,782340,1985700,1055100,694980,1666900,1396100,1027900,0,1962400,1801100,688900,718270
538650,0,142310,0,0,0,160050,0,0,236290,0,0,0
804480,105530,0,83490,0,0,69612,0,0,0,245930,98463,201450
1628000,721240,277900,82906,0,0,46754,0,479830,0,19412,0,0
2939000,250270,591210,303060,115700,0,0,215020,257540,0,614060,592180,0
1437700,0,0,0,180110,179930,0,507950,569730,0,0,0,0
927270,148940,0,66885,56285,92968,56281,84063,0,0,169790,134880,117180
3529200,388210,213850,115150,391300,350880,371630,421960,461190,233100,278950,165710,137310
1821800,0,0,0,0,173240,136200,89253,320100,168710,475890,183980,274430
654080,0,0,0,132170,135970,102030,0,0,120330,163580,0,0
1295100,41451,0,207910,64160,109800,169160,155590,175540,113390,33639,51762,172680
1900500,447900,190680,95000,214600,145550,0,0,68484,0,392430,219820,125990
7921200,1232400,860660,405560,591220,593850,420590,1280600,752010,328450,765510,430850,259430
1944800,210460,209170,172190,96655,66974,77236,0,97785,49060,322000,353140,290170
2680500,525580,261530,115830,312090,0,87048,390160,123570,103100,431230,188920,141410
1772500,41107,0,0,152910,159480,174490,526070,540730,0,101250,76442,0
4742600,430480,697180,318660,257790,244750,168050,181480,199300,137260,717290,755870,634500
6742700,642890,1295400,310320,136370,1233200,576220,222890,325910,762510,806190,161580,269220
1031500,0,229300,0,0,309660,261160,0,0,203810,0,27594,0
74617000,9739200,8585500,6813400,0,4400900,5544100,7489400,6935900,7855400,7477100,2793400,6982500
0,0,0,0,0,0,0,0,0,0,0,0,0
4430000,1819200,190720,112750,420720,139920,98259,160450,77821,40182,859800,33928,476290
1190500,112460,218150,0,0,0,0,0,0,0,0,375780,484060
0,0,0,0,0,0,0,0,0,0,0,0,0
4110200,0,83765,0,2830400,177260,166370,331020,318680,125710,0,0,76999
384890,0,42204,0,0,0,29723,0,0,0,107990,103420,101560
466640,0,0,94411,0,0,66805,0,0,0,0,169150,136270
1717800,207080,190280,203510,113690,92697,77748,117050,0,29117,303400,192820,190440
1527500,105210,55676,90092,146590,149800,127780,264750,245750,144640,92648,0,104590
925790,114440,138750,78377,43422,56415,0,67099,45944,0,213240,168110,0
941560,117690,153290,0,40237,0,49443,0,41380,0,171270,197350,170910
361560,60619,0,0,0,0,0,0,0,0,125540,106870,68538
1115800,0,225860,0,0,407380,247020,0,0,174380,0,0,61161
904510,0,0,0,0,0,355330,0,0,453710,0,0,95472
10962000,524430,396760,0,362380,382830,0,281930,607150,0,3061900,2599200,2745000
1728700,186220,38060,33650,85135,34017,0,154620,0,64393,450730,247420,434450
37964000,10156000,3062500,1058600,6003900,2000900,771970,6975800,1533200,719420,3813500,1209100,659530
56715000,3369500,3024000,3656000,5201100,7595800,5943400,7264400,10660000,5699600,1533100,1272600,1495500
69883,0,0,0,69883,0,0,0,0,0,0,0,0
73244,0,0,0,0,0,0,0,0,0,73244,0,0
1095200,0,0,0,0,455780,0,225310,0,414150,0,0,0
25988000,2760900,3075800,2788600,729240,2602000,2202700,1153500,1436300,3396900,2657600,1011900,2172300
0,0,0,0,0,0,0,0,0,0,0,0,0
255190,38975,0,0,0,168890,47322,0,0,0,0,0,0
3464400,220530,543740,286980,66349,996250,314950,0,192060,0,610650,67629,165260
740770,0,0,0,110650,101270,76166,0,312130,140540,0,0,0
624810,109630,51659,79478,29724,83849,123140,0,120460,0,0,26868,0
692330,157470,136340,0,398520,0,0,0,0,0,0,0,0
559190,0,0,0,0,169740,132220,0,0,146390,110840,0,0
1254800,230790,193320,125250,77625,79208,67901,41342,0,0,0,217810,221530
1138300,141410,149500,122070,83190,75729,0,79245,63257,0,118330,169900,135630
373890,0,0,0,0,200620,0,0,0,100140,73123,0,0
3210400,0,0,0,290490,451720,325220,836390,631820,421540,122950,0,130250
0,0,0,0,0,0,0,0,0,0,0,0,0
388960,148940,0,70715,19801,0,0,0,0,0,113370,36136,0
139710,139710,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1968000,0,0,0,96988,0,0,793430,624210,453400,0,0,0
331090,0,0,0,160670,99959,0,0,0,70462,0,0,0
97181,0,0,0,0,97181,0,0,0,0,0,0,0
4278000,125620,0,0,0,512640,553670,756370,1536600,661920,0,131150,0
1547000,154000,207550,141410,83384,65150,135770,0,81495,112880,223240,155470,186650
37617000,4227500,4540300,3082200,1122900,2771700,3031900,2546700,3273600,5217000,3504500,1575100,2723800
2207400,198640,386640,0,49482,342390,217900,105290,73818,238630,328720,128620,137310
1007300,332370,36623,0,267330,39824,0,137870,25157,0,168130,0,0
199540,0,0,0,18596,0,133750,0,47199,0,0,0,0
2642400,830180,408760,68508,306690,173290,38730,137670,310670,44107,113310,105610,104810
0,0,0,0,0,0,0,0,0,0,0,0,0
111760000,6044600,4857500,7091400,12788000,11324000,12100000,16098000,19208000,9515200,4997800,4171900,3564200
131660,0,0,0,131660,0,0,0,0,0,0,0,0
2926800,0,0,0,2146600,0,68962,520830,96920,93496,0,0,0
4268100,548580,461860,381140,225170,186660,237570,141080,222220,144720,508930,648130,562020
6357500,505370,777320,603310,284830,367380,365540,465730,411040,208720,859810,840030,668410
830240,0,0,0,0,184390,0,0,0,0,645850,0,0
17586000,1352900,512420,949820,1927900,1630800,1921100,1661600,3969000,1930700,635610,515180,579190
1684400,128240,104380,0,0,136720,70204,73992,0,0,323980,328610,518230
4277400,0,77137,0,330570,0,241620,470360,950680,566270,605350,380670,654690
118410,0,0,0,0,0,0,118410,0,0,0,0,0
4525300,273820,242600,157350,979940,664450,503830,698000,567150,341800,0,96370,0
76642000,3918400,21505000,6685900,4130500,6438500,5699800,2851600,3251200,7916400,7178200,4197000,2869800
0,0,0,0,0,0,0,0,0,0,0,0,0
418610,0,0,0,261910,0,0,156700,0,0,0,0,0
364970,0,0,0,148210,0,0,216760,0,0,0,0,0
2234500,147420,176890,174020,0,104440,137250,0,124500,49719,490430,462380,367480
1289200,351300,0,0,156490,0,0,313640,0,0,246940,129340,91535
3982400,0,0,76885,280590,0,384900,493320,602340,352680,637880,358270,795580
1166200,216430,147920,151020,0,106770,148920,0,118390,0,276760,0,0
61559,0,0,0,0,0,0,61559,0,0,0,0,0
643680,0,0,0,94062,93853,78673,142790,179190,55115,0,0,0
469290,37222,38670,0,13759,0,32266,39963,31156,0,98382,98384,79489
3569500,171010,252550,115590,550890,412140,123790,1058400,416050,244550,98302,69150,57073
681740,0,0,48539,32202,54025,0,0,0,0,0,306360,240620
8246200,0,1522000,1211200,0,888980,718010,0,433760,1463900,1116400,413150,478730
60683000,4473000,2352900,0,4879200,7635200,6091700,8787600,11764000,7141000,2982200,2484100,2092300
2387800,102240,175680,103970,316010,188190,0,428570,497920,201400,183440,190410,0
445200,0,0,0,32068,72456,0,203330,0,137350,0,0,0
3012000,495770,305430,315320,226980,217710,207400,108890,174710,131990,0,486490,341360
26848000,2283100,4891500,2460000,659100,2665900,2698500,1232800,1682000,2680300,2865100,780080,1949700
467010,370540,21275,0,0,0,0,0,0,0,75199,0,0
4791400,634920,507830,599690,0,283540,308800,270580,354580,775820,577250,172400,306040
1057500,123140,104780,72150,90604,63374,74333,117980,88730,59864,121710,83626,57245
