Intensity,Intensity 1_Bl,Intensity 2_test,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
1154200,0,1154200,0,0,0,0,0,0,0,0,0,0,0,0
1894700,0,0,0,0,0,0,0,0,0,0,0,1244200,650500,0
2212200000,0,2597100,101930000,279270000,170080000,407130000,254840000,272580000,252790000,140020000,105430000,158370000,37979000,29170000
4714000,0,0,0,0,0,4714000,0,0,0,0,0,0,0,0
7519500,0,0,0,1227400,269280,1252100,396740,0,2792700,0,527950,0,0,1053300
119670000,0,0,0,0,0,0,0,0,1294100,330160,0,57561000,34178000,26301000
9843200,0,401200,705550,0,330730,4130900,0,0,3226200,729360,319280,0,0,0
373840000,0,127700,0,30070000,15346000,65844000,23979000,31649000,26840000,12205000,7736400,103060000,41794000,15194000
34118000,0,0,1002100,1894400,994990,2504000,1273800,786400,4592800,2152800,1487900,9432800,4083400,3912200
267370,0,267370,0,0,0,0,0,0,0,0,0,0,0,0
3486400,0,0,0,0,0,469880,512640,507680,590400,747500,658280,0,0,0
30240000,0,481550,0,1487900,1159200,7731100,5413600,5818700,3116600,2375100,1113700,1003600,328690,210400
4041900,0,0,0,0,0,4041900,0,0,0,0,0,0,0,0
10658000,0,0,0,0,0,0,0,0,0,0,0,2652400,2583700,5421900
942540,0,303060,28143,75732,92768,0,0,172210,0,0,170510,0,46326,53793
153600,0,153600,0,0,0,0,0,0,0,0,0,0,0,0
1676500,0,345530,0,0,0,0,0,0,0,0,0,1104000,226920,0
33827000,0,119770,0,1814100,1062600,4962800,1650000,2603200,4306300,2079200,1390500,6839700,4618400,2379800
17694000,0,0,0,0,0,2416500,0,1147400,7702000,3401600,3026200,0,0,0
3970500,0,0,141690,0,0,754760,212640,0,0,0,0,1737000,0,1124400
788950,0,788950,0,0,0,0,0,0,0,0,0,0,0,0
377780,0,377780,0,0,0,0,0,0,0,0,0,0,0,0
5064300,0,0,0,0,0,0,0,0,0,0,0,0,1816400,3247800
9020600,0,0,0,0,0,0,0,0,0,0,0,4064900,2456900,2498900
2731600,0,583380,0,0,0,778340,481410,541600,346890,0,0,0,0,0
8217900,0,0,0,0,282390,0,0,0,0,0,0,0,4104700,3830800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8501600,0,0,0,0,0,0,0,0,0,0,0,5380400,2137900,983250
18709000,0,3290900,0,2262500,1255100,1466400,1782100,1833300,3118000,2309500,1391600,0,0,0
13377000,0,13377000,0,0,0,0,0,0,0,0,0,0,0,0
2483100,0,1195900,0,0,0,0,0,0,0,0,0,430250,502100,354860
553740000,63191,0,508030,3467200,24533000,3189900,2347400,4502800,13983000,7509800,5926900,172800000,150210000,164700000
1670700,0,146610,0,199520,0,650880,0,0,673670,0,0,0,0,0
3908800,0,0,0,0,0,0,0,0,0,0,0,2201200,891700,815940
4682600,0,0,0,0,0,0,0,0,0,0,0,2516700,1153500,1012400
15332000,0,0,0,0,0,0,0,0,0,11123000,0,0,0,4209300
9792200,0,0,0,0,0,1134500,1160800,1343600,2255800,1142500,933470,1821500,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133720000,0,0,2551800,4068200,2761900,6396300,0,0,7352700,3140300,2991500,58907000,30222000,15330000
38764000,0,0,1231000,9568200,3403500,5168000,1682400,4526500,5655900,5235300,2293500,0,0,0
299850000,0,0,16936000,29378000,30700000,82120000,28827000,41881000,32535000,14966000,22507000,0,0,0
6230600,0,0,247240,1493500,0,0,934710,1094000,0,394630,0,1488100,578540,0
23065000,0,347310,431290,1065700,0,2132200,1801500,2165500,5965800,5084600,4071100,0,0,0
21941000,0,0,1024100,1965600,0,11179000,3303600,3357300,0,0,1112200,0,0,0
8398200,0,0,0,0,0,0,526740,590340,0,0,0,4218000,1947700,1115500
10617000,0,71065,497090,852400,470710,2689200,794680,1847000,1666200,1022600,706040,0,0,0
2183600,0,486240,0,0,0,718570,0,0,570780,222070,185920,0,0,0
6093300,0,0,0,0,0,0,339060,385980,535910,602980,385550,1528000,1240700,1075200
18680000,0,0,0,0,0,0,1112300,702190,3884600,2821000,2030000,4692100,2220500,1217000
43842000,0,0,0,0,0,3151000,3309400,5836500,13860000,10809000,6876900,0,0,0
7062800,0,5831200,0,0,0,0,444040,787600,0,0,0,0,0,0
83404000,0,264390,0,0,0,11844000,4099000,4033400,13941000,7150600,5267300,22899000,8479200,5426000
50684000,0,0,0,0,0,0,0,0,887640,474110,325110,17404000,17411000,14183000
9395400,0,1433800,350740,1046700,565630,2390200,1059100,444510,748250,1356400,0,0,0,0
16638000,0,0,0,0,0,2678600,0,847840,1695700,992290,622080,4899500,2617200,2284600
3878900,0,3878900,0,0,0,0,0,0,0,0,0,0,0,0
112720000,0,99015,960640,0,367190,28186000,10416000,10145000,29172000,15296000,9829200,5116900,1749200,1384700
12778000,0,0,0,0,0,0,214290,0,2149800,1272300,696530,5152400,1821300,1471300
7462500,0,0,0,0,0,693690,0,0,1536700,1017000,670500,0,1965500,1579200
3265000,0,0,0,0,0,769750,445190,1550400,354400,145230,0,0,0,0
7710300,0,0,0,0,0,0,0,0,0,0,0,3867500,926350,2916500
18684000,0,0,0,0,0,0,0,563990,542980,490130,247090,9631800,5631500,1576900
263500,0,263500,0,0,0,0,0,0,0,0,0,0,0,0
922550000,0,181590,0,0,1921700,8042500,4281100,8107600,56369000,29824000,23407000,242700000,310680000,237040000
1258500000,0,0,2431800,7225500,4513600,220940000,162630000,125700000,131840000,367890000,210850000,10061000,7049400,7381200
4330900,0,0,0,0,0,0,0,0,0,2006300,2324600,0,0,0
3355100,0,0,0,0,0,0,0,0,0,0,0,1356300,758910,1239900
7969300,0,44614,0,0,0,0,0,1022700,0,0,0,0,3968000,2934000
1445000,0,0,0,0,0,0,0,0,413490,419910,611550,0,0,0
258840,0,258840,0,0,0,0,0,0,0,0,0,0,0,0
3579900,0,0,0,0,0,0,0,0,0,0,0,1765600,726060,1088200
24261000,0,0,0,0,0,0,0,0,0,0,0,14105000,6343700,3812400
2139000,0,738240,0,0,0,0,0,0,803770,596970,0,0,0,0
33345000,0,673140,781210,1429200,0,5671300,1473900,1304000,0,998850,745380,6473600,5671400,8123400
14955000,0,721140,167790,1972400,1437200,2678000,1534300,1382900,2548400,0,944180,1024800,543910,0
19166000,0,1169800,0,0,0,4328700,1905100,2794700,3934200,3287300,1745900,0,0,0
10285000,0,0,0,1428100,0,0,0,0,2671600,3224900,1489600,1056500,413730,0
6350300,0,0,0,0,0,0,0,0,0,0,0,3268300,1217800,1864200
11793000,0,342620,0,0,0,1712500,608330,1197700,1950500,854280,550630,2641000,1375900,559320
31876000,0,1733100,868570,3531400,2065000,6096600,1906100,5923200,3453900,3700400,2597900,0,0,0
80284000,0,468690,2102200,10031000,5169500,9597900,7025500,6867000,6015100,5551100,4111100,11122000,7853700,4368100
113730000,0,0,3051700,21407000,13960000,24701000,10470000,14202000,11025000,8071100,6846000,0,0,0
91692000,0,181390,0,401890,0,7220800,3529600,4267900,9883700,5598600,4071700,26350000,17258000,12929000
8171500,0,0,0,0,0,3881000,0,2516900,0,1773600,0,0,0,0
11968000,0,548170,371310,1000300,0,4565300,2167200,2521600,0,0,793950,0,0,0
810660,0,810660,0,0,0,0,0,0,0,0,0,0,0,0
3453600,0,3453600,0,0,0,0,0,0,0,0,0,0,0,0
1449700,0,0,58436,0,0,0,0,0,1391200,0,0,0,0,0
76996000,0,1080600,1022100,15329000,12267000,10989000,8834000,7379100,9450200,5993400,3314500,1005900,156020,175050
12843000,0,0,0,0,0,3613400,1358700,1787900,2544600,2056800,1482100,0,0,0
3176500,0,3176500,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59166000,0,0,0,0,0,0,0,0,1050900,841020,446870,31074000,15399000,10355000
123840000,0,0,0,0,0,0,0,0,17206000,9641500,5641900,35421000,23879000,32051000
63924000,0,0,0,0,0,9416400,2473800,3327700,6748000,2597100,3059600,18232000,11718000,6351400
37970000,0,0,0,0,0,0,0,0,483950,481780,0,14048000,12525000,10431000
1250300,0,1250300,0,0,0,0,0,0,0,0,0,0,0,0
633670,0,633670,0,0,0,0,0,0,0,0,0,0,0,0
884280,0,0,0,0,0,0,0,0,0,0,0,884280,0,0
6453700,0,218300,0,0,0,0,0,0,1814000,1353000,936610,0,1192000,939750
40885000,0,99894,0,0,0,2061300,736240,935930,5168100,2611300,1868300,12284000,8622600,6497600
39157000,0,651620,404100,820520,518950,2983100,732570,1327700,8905000,8839600,4869800,4078700,2943500,2081800
1630600,0,1387400,0,243260,0,0,0,0,0,0,0,0,0,0
19741000,0,0,0,0,0,2143900,928510,497140,5717500,5623000,4210100,0,620800,0
4786300,0,0,0,0,0,0,0,0,0,0,0,1591100,1484900,1710300
147930000,0,0,2866500,16361000,8539000,15542000,10863000,11009000,25895000,35867000,19859000,0,742140,381960
7459400,0,0,0,0,0,0,0,0,4482500,2976900,0,0,0,0
105460,0,105460,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1221800,0,418110,45152,0,0,0,758510,0,0,0,0,0,0,0
129570000,0,0,2911900,7893900,4696600,15488000,6438600,10024000,32004000,31431000,18681000,0,0,0
2105400,0,0,157810,0,0,1459400,0,488190,0,0,0,0,0,0
31539000,0,0,98531,832740,465480,5091900,1759600,2871800,8858600,6922000,4638600,0,0,0
1329600,0,679790,0,0,0,0,293910,0,0,0,355920,0,0,0
15041000,0,0,348490,1576600,949070,4205500,1498600,2622700,1525100,1159500,1155800,0,0,0
13437000,0,290110,0,0,0,0,0,0,0,0,0,7881400,2807000,2458900
19219000,0,3470700,0,0,0,1899700,1291800,1115200,3087800,2158400,1537800,2987500,0,1670300
79659000,0,0,0,0,204020,4351000,1392200,1385200,7177900,5704900,2767000,23932000,18907000,13837000
446040000,0,88265,0,0,0,1788600,1220000,1125900,40794000,27446000,13871000,131620000,141870000,86218000
13552000,0,164080,156260,929190,887760,1556500,1036600,508100,3161000,2429900,1319700,693370,317070,392710
13544000,0,0,0,1355900,0,4610600,3117900,3045300,0,0,1414100,0,0,0
19664000,0,0,0,0,0,405580,0,392680,0,0,0,7928600,6321600,4615600
57304000,0,4964500,0,6623700,4739400,15498000,6702700,8210100,5061000,4031500,1473400,0,0,0
7141600,0,305900,0,0,0,2982000,0,0,1919100,1018000,916660,0,0,0
1366400,0,0,0,0,0,0,0,0,0,0,0,746600,0,619830
27977000,0,689470,1687000,2574500,1220500,8856300,3671500,4409500,0,2858100,2009900,0,0,0
7395900,0,0,818460,0,0,2861100,831610,1077900,1053500,0,753300,0,0,0
523090000,0,0,0,840650,17672000,0,0,1238200,384700,560680,721930,227310000,163620000,110740000
3114200,0,0,0,0,0,0,0,0,0,0,0,3114200,0,0
31589000,0,1790100,0,0,0,5736100,2248900,3426300,7544400,6331300,4512400,0,0,0
108700000,0,218770,1646000,5812100,4360700,32912000,12517000,11324000,18293000,18211000,2353500,599010,176210,279440
19268000,0,0,0,0,0,2941400,942700,2320600,5481100,5342900,2239600,0,0,0
11201000,0,0,0,0,0,0,0,0,7424700,0,3775900,0,0,0
21560000,0,1929400,452290,1350400,452020,2248200,970840,1008300,4841000,4197200,2125000,1048800,936110,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639260000,0,898000,19620000,62530000,27064000,124310000,41716000,70016000,87924000,54512000,47886000,53731000,32865000,16193000
163410000,0,0,0,0,0,0,0,0,4353900,3040500,1880700,85553000,44631000,23946000
1788600,0,0,0,0,0,0,0,0,0,0,1788600,0,0,0
44560000,0,0,0,0,0,926650,438520,0,3531900,2389200,970260,22631000,10770000,2902700
7156400,0,0,0,0,0,5841000,0,1315400,0,0,0,0,0,0
247340,0,247340,0,0,0,0,0,0,0,0,0,0,0,0
6505700,0,0,0,0,0,2417300,1475000,1705400,0,0,678530,229430,0,0
9367900,5951.3,107660,0,0,0,0,0,0,0,0,245230,2779300,2010000,4219800
2342200,0,0,185920,0,133980,520370,0,0,513120,675300,313520,0,0,0
4307600,0,0,0,0,0,1560200,0,1359600,0,0,0,885090,502770,0
10314000,0,207470,619750,0,0,0,1480500,1622700,3631700,1620100,1131900,0,0,0
2753900,0,0,0,0,0,0,0,0,0,426080,0,0,1485700,842140
1056100,0,0,9269.9,64688,174350,0,82115,72867,215700,262030,175070,0,0,0
13802000,0,0,0,0,0,0,0,0,0,0,159470,0,8305600,5337400
3825600,0,0,0,0,386820,1741700,826630,489160,381330,0,0,0,0,0
4433400,0,0,0,0,0,0,1352700,1560900,0,984810,535030,0,0,0
7083400,5779.1,0,0,0,0,0,116980,0,1448500,0,575320,3037400,1899400,0
26776000,0,0,0,0,0,0,0,0,0,0,0,12526000,8434400,5816200
66349000,0,2825400,676550,2495900,932560,3477800,1447100,1806900,3535700,2208600,2403500,15841000,18336000,10362000
7562500,0,0,0,0,0,1654700,543420,452040,1837500,762220,586240,1346500,379860,0
9333700,0,0,0,0,0,0,0,0,3547800,3390600,2094000,0,301260,0
397500,0,397500,0,0,0,0,0,0,0,0,0,0,0,0
373670000,0,411220,12194000,42566000,24070000,52918000,29832000,40827000,48452000,36862000,21640000,34423000,18460000,11017000
203800000,0,0,7941000,36734000,25951000,36817000,18499000,36529000,13542000,16525000,10493000,599300,0,165950
21994000,0,0,0,0,0,0,0,0,0,0,0,10657000,6913700,4423700
183260000,0,0,5847200,23436000,17810000,27962000,10157000,20510000,16554000,6886800,9607600,26448000,7851900,10185000
101380000,0,0,1493500,9454800,5985200,20983000,10372000,17231000,15870000,11246000,8749000,0,0,0
24339000,0,0,0,0,0,558340,211850,0,1432100,833740,504680,9727000,6669100,4402000
5856800,0,0,0,0,0,4198000,1658800,0,0,0,0,0,0,0
5885400,0,0,0,0,0,0,0,285880,1632600,516310,657050,1176200,678280,939090
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21180000,0,0,0,5912400,1394600,2545900,895460,3165200,0,0,0,3416400,2411700,1438100
381300000,0,11404000,674060,908670,671600,29370000,13891000,15175000,122480000,69772000,51074000,32051000,16572000,17258000
18949000,0,0,0,1128100,344230,0,0,753960,2363500,1020700,0,7962500,3742600,1633300
17034000,0,0,0,1860700,1167600,1445000,1622100,1266400,2891900,2482200,1781300,1342000,0,1175000
249110000,0,2111100,0,0,0,5755300,2723600,2699600,53692000,29163000,18381000,67421000,41462000,25698000
60938000,0,243910,0,2210900,5965600,0,2080600,2996000,0,2001200,3355700,12393000,13533000,16158000
165210,0,165210,0,0,0,0,0,0,0,0,0,0,0,0
6909100,0,0,0,0,420090,0,0,402870,2164300,1193000,1204400,875350,356820,292320
91782000,0,860600,6747200,8693500,4238300,34501000,10004000,14898000,6778900,2767900,2293300,0,0,0
1008300,0,1008300,0,0,0,0,0,0,0,0,0,0,0,0
16898000,0,11741000,0,0,0,1250700,0,0,956340,673220,2276200,0,0,0
215100,0,215100,0,0,0,0,0,0,0,0,0,0,0,0
3867500,0,0,0,0,0,0,0,0,0,0,0,1372200,1121300,1374000
509270,0,509270,0,0,0,0,0,0,0,0,0,0,0,0
3690700,0,2070300,0,511210,232020,467870,0,0,0,0,0,235600,173690,0
823780,0,823780,0,0,0,0,0,0,0,0,0,0,0,0
10653000,0,0,0,0,116270,275390,0,0,0,0,427870,4013000,3015400,2804600
10686000,0,0,0,0,0,3105000,1070500,1560500,2508200,1441400,999910,0,0,0
2452800,0,110980,0,0,0,0,0,0,1223800,794630,323380,0,0,0
7551400,0,0,0,0,0,0,0,0,0,0,0,2421200,2720200,2410000
36769000,0,138650,0,0,0,1083200,0,343970,2886700,2179800,2217500,14118000,7358600,6442200
23553000,0,734860,190220,1986200,0,5675000,2329300,2256800,0,5848000,4299900,233130,0,0
651280000,0,852870,778300,5572600,4025200,68656000,31895000,42434000,60202000,39333000,26085000,155530000,121470000,94449000
256060,0,256060,0,0,0,0,0,0,0,0,0,0,0,0
53642000,0,0,344880,658740,417510,1207900,414630,406080,1371000,1128600,813010,24532000,11530000,10817000
8614600,0,737680,0,0,0,0,0,0,0,0,0,3810600,2835600,1230600
