Intensity,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3
580130,140580,94262,74551,0,70253,50479,0,95120,0,0,54880,0
47934000,4088400,0,3175900,3487700,5395700,3315900,4850300,63696,7112900,4183900,8605200,3653800
8378000,559180,351570,321130,461020,332200,323540,741480,641080,620010,1340300,1405800,1280800
728120000,87938000,73631000,80889000,47020000,53656000,54159000,82773000,59817000,60344000,45038000,48178000,34673000
32044000,6807500,4300900,103650,897280,1622700,295260,370640,6662200,7870300,540330,823650,1749300
2217100,197390,141350,170000,100350,109670,110430,172990,246350,218680,288530,282490,178860
33886000,5118600,3692900,4236800,2113500,1995700,2655300,4370500,3097000,3002400,1296800,1389600,916720
4045700,599640,393990,256630,445490,199360,81103,236670,804090,891950,45489,44237,47056
1283300,0,0,0,0,0,0,0,0,0,436990,527940,318350
41824000,4683500,3905600,6233600,3125700,1923500,2649400,6355900,2517200,1649000,3294700,3614000,1871900
20113000,4140400,2504400,1197100,1786200,779980,280510,1534400,3398000,3069800,721580,0,700270
654720,0,142730,163080,74055,51655,59478,73446,90277,0,0,0,0
10412000,1511300,836050,686870,1011800,542240,465650,1449600,1041200,841040,843650,725460,457240
2222000,347210,189400,240160,144540,142240,96262,236990,207170,210480,153550,149390,104660
1463900,213330,176510,125990,104170,0,0,0,182110,178720,145750,189160,148180
2101900,24656,0,0,431670,354780,0,380820,465390,444540,0,0,0
10073000,1014000,701910,693500,960430,638780,0,1395900,2217500,1721100,333620,395750,0
1967700,187720,88346,144830,141980,87799,122790,206460,211800,143020,198960,260480,173480
2744400,419880,190860,337230,223520,183270,170140,291440,387700,345420,66421,79934,48633
877810,485260,0,0,211190,0,0,0,0,0,181360,0,0
3152800,502830,252570,349090,169460,168160,204910,318150,357220,415610,119580,161250,133950
310870000,35930000,26703000,40454000,14642000,13057000,19741000,25125000,28424000,26374000,25958000,28773000,25687000
31307000,4570000,2594100,3039600,2731900,1809000,2126200,3558200,3411600,3270400,1432300,1446700,1317200
2941600,488600,218590,174230,307460,203850,136970,286770,366310,268860,226480,153710,109810
4185100,796110,505680,422810,434280,265770,223650,448620,371640,321380,166440,124260,104500
1671500,304260,278880,281360,110660,100170,159000,161370,225410,0,50346,0,0
1416100,257900,151200,163550,121990,80665,86708,205000,164520,118530,66084,0,0
1165200,185620,0,99083,109670,0,77449,203150,0,198380,167370,124440,0
48443000,5285200,3753700,4173900,4031800,2808700,3112300,6709600,5277300,4166300,3296100,3422300,2406200
18501000,3526700,1387500,1750800,2455600,681090,458950,1995800,2697300,2279800,644510,622890,0
560880,87055,85943,67682,33850,29689,51495,0,73374,71929,0,35890,23971
1220800,234800,372190,0,0,0,0,249160,90608,0,0,96387,177650
938930,156060,104160,117740,0,91030,82004,108630,140280,109380,29651,0,0
1062200,65664,43222,46911,64947,40704,45340,58177,101150,72495,169220,201010,153350
2070800,163770,113640,125570,316200,232020,0,476890,514250,0,60988,67466,0
3313800,559030,385070,264630,293180,180390,0,444440,495380,0,339030,352640,0
2080600,340280,252630,176940,129110,138360,148410,247000,241770,255640,61163,48790,40468
8655800,200860,107360,84234,1536500,993930,1251100,1620700,1355400,1321200,62094,62738,59672
1045000,463490,97747,53734,84367,33035,0,97870,120090,94678,0,0,0
3972400,317400,209550,240180,190880,151530,203070,344380,331880,396680,546760,595650,444470
910210,233140,164320,106990,62932,40175,38885,80073,109530,74157,0,0,0
2895500,262500,223430,179780,181550,181930,158580,389590,319450,269150,244320,275240,209980
40971000,14516000,4160600,4513500,3891400,1350600,1352300,4892200,2527900,2573300,686140,346070,160420
19040000,3196300,1559800,1198200,1429300,798200,665270,2040000,1435500,1161900,2385500,1822000,1348100
1506100,211130,204110,168630,90024,76904,90308,109020,100880,114660,91844,131280,117300
25741000,4074400,1452500,1141900,1061400,1075700,733980,3931500,1657900,1072700,4735100,3283200,1520200
1925700,655100,113710,0,85958,31693,0,0,163460,164160,711590,0,0
12400000,6008800,857790,858000,0,293570,0,828110,654000,549960,1540300,809780,0
12313000,1994400,1051900,1395500,1028000,561120,693810,1598000,1004700,1156300,752610,591030,485350
3766900,448850,490640,392300,294620,143250,50016,356980,617620,459250,149310,217570,146520
45806000,3232900,1431800,599240,6085800,3498800,1364900,8272000,12288000,8272200,412250,348150,0
120010000,5396400,4085100,4667000,21004000,10154000,17809000,27174000,26934000,0,867770,999950,920930
2279200,67304,133600,193040,106700,62727,101780,258070,107460,0,374620,542110,331750
2591800,212150,84767,66465,217510,66571,0,280160,164460,0,447070,318600,734020
1885400,248450,197210,70081,200110,34477,0,206960,515970,235960,0,176150,0
8058400,158590,0,0,1725400,846560,664200,1605300,1573200,1444900,0,0,40265
2688300,870070,321410,0,40242,119880,30522,52358,398270,514020,183140,33311,125110
1419200,192690,174010,129430,122410,87036,89764,136110,156120,138220,56190,79646,57549
249840,0,130750,0,0,0,0,0,119090,0,0,0,0
2097100,143300,232800,307110,246930,110670,199500,534920,0,97790,224060,0,0
3820500,526860,379090,460000,215700,219290,236130,423160,457980,406620,173160,169240,153290
56020000,5066200,3409500,4578500,2249400,2932700,3485800,4953300,6871600,6134600,4790300,6767600,4780600
14092000,3077400,1653100,986580,1190100,641050,465980,1417600,2138600,1437100,719820,0,364300
25093000,2796400,1896700,2003300,1336900,1109600,1283000,2587700,2572000,1966900,2411400,2562400,2566600
4848200,783620,319580,418300,407290,220540,229550,639360,464280,499360,309870,341640,214860
607570,0,82519,95249,63175,69828,0,86783,133910,0,39831,36279,0
5417800,651890,548550,707160,371730,249460,365840,998840,472390,464730,185010,220120,182110
575350,444830,0,0,71083,0,0,0,0,0,59439,0,0
2826300,388970,0,337430,0,320480,0,569190,0,528400,350570,331220,0
2221500,199580,214110,730740,226040,109330,196810,240930,121240,0,0,102140,80578
7088800,1796800,1417000,0,92714,474840,396290,352380,1197200,793670,254640,166560,146680
6284600,552850,339940,378640,347780,316070,498920,1001500,725880,807290,365290,506620,443770
7175000,392740,331040,185500,690410,247540,125880,562110,1519300,1000600,706600,839970,573280
1083000,0,0,124680,97548,0,50377,0,121090,184390,184070,201250,119560
13809000,1848300,1348900,1446300,948770,857750,887500,1736600,1445200,1133300,854230,708420,593940
6598300,905540,192600,38677,587970,169030,146940,1019000,456900,498910,1218700,821710,542410
4198900,0,514110,534430,377950,280460,245070,423290,397340,671760,229650,272460,252330
13512000,1789300,1362400,1420600,731660,703710,633350,1481700,1744700,1775000,658970,716590,494140
18782000,4131400,2774500,3001900,377480,455990,461980,1048700,709000,715290,1862400,1706100,1537200
2464500,421270,315480,305350,165280,117010,168700,262060,223940,244290,97817,79051,64266
3081400,386340,343480,370290,199460,228680,330980,255260,331580,285510,167290,182510,0
1260700,368410,256650,219250,51064,0,0,81411,62755,52367,78961,89875,0
935960,0,0,0,60135,41684,0,122550,94108,0,214100,198570,204810
11319000,1146100,1034600,1026300,713700,634660,684310,1201000,1216300,1146200,879910,888050,748140
396300,0,0,20553,0,0,17851,0,0,35639,134290,102010,85950
734490,163600,0,116930,0,49657,58207,106370,109310,0,35784,67887,26748
14224000,2488100,1799300,1879800,875690,765200,931750,1381100,1561800,1303800,430840,442240,364540
1122700,431190,0,0,289890,0,0,0,401670,0,0,0,0
1441100,322910,187840,282880,103090,74714,75277,150990,0,144170,55034,21241,22979
8037300,1082800,732900,739140,568420,298280,168280,609680,967090,901290,618620,773260,577550
73525000,7041400,6075500,5943300,3167000,3270000,3733200,5255800,5596700,5636500,9311900,9726500,8766900
72077000,2427700,4302300,4435800,3408400,3883600,5716600,9373300,4768700,3879800,10493000,10334000,9054200
1947500,139760,219720,134410,0,126750,148420,0,279650,147620,291390,262930,196890
652350,53913,0,28494,54672,17305,0,75977,62811,52868,170550,135760,0
127830,0,0,0,19817,0,23474,0,28492,28599,0,0,27445
7114400,1551600,620060,509200,682980,355550,316980,1032900,655780,551160,316480,290690,231090
1648500,137620,110970,144680,95863,64471,67537,130990,107620,92438,220350,277050,198930
1484800,257800,305870,0,313730,108160,0,239100,260120,0,0,0,0
18855000,978520,1002700,929160,1023400,431400,419380,1078000,1154500,1018600,3623500,3963100,3232900
2291300,410180,242170,265190,180310,150320,146670,236210,283770,275130,0,45612,55771
6320800,2339100,1849200,1812300,0,95076,84796,0,0,140370,0,0,0
439400,0,0,0,0,0,0,0,0,0,118680,178220,142510
6955800,1009400,710630,745850,401710,363600,414430,704320,831540,791670,281810,380160,320670
17425000,2048800,1678900,1786300,1062300,825170,1115000,2179100,1705300,1418600,1223800,1422700,958790
1805700,156250,57303,58054,88511,49019,41322,162350,116700,94325,432470,302060,247320
3204300,165340,135540,191860,178200,119240,131670,303570,353760,317890,460000,500220,346990
5380500,316780,283970,374810,239000,177200,237770,462830,252680,219050,895740,1087300,833410
