Intensity,Intensity 1_Bl,Intensity 2_test,Intensity 30_1,Intensity 30_2,Intensity 30_3,Intensity 35_1,Intensity 35_2,Intensity 35_3,Intensity 40_1,Intensity 40_2,Intensity 40_3,Intensity 45_1,Intensity 45_2,Intensity 45_3,LFQ intensity 1_Bl,LFQ intensity 2_test,LFQ intensity 30_1,LFQ intensity 30_2,LFQ intensity 30_3,LFQ intensity 35_1,LFQ intensity 35_2,LFQ intensity 35_3,LFQ intensity 40_1,LFQ intensity 40_2,LFQ intensity 40_3,LFQ intensity 45_1,LFQ intensity 45_2,LFQ intensity 45_3
984830,0,0,984830,0,0,0,0,0,0,0,0,0,0,0,0,0,14633,0,0,0,0,0,0,0,0,0,0,0
1836100000,0,71810000,7956100,17215000,8135200,34210000,16091000,19372000,38429000,36241000,18255000,695040000,535050000,338300000,0,0,0,0,0,0,0,0,0,0,0,0,0,1234800
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513200000,0,6909200,0,2056600,0,75929000,33793000,34700000,428820000,302020000,204130000,336280000,53779000,34770000,0,117690,0,0,0,217840,203930,164470,1118600,977730,949290,316380,215580,263240
10245000,0,0,747750,1951000,1307300,0,1870100,1654200,0,1233500,930600,0,0,550320,0,0,0,0,0,0,0,0,0,0,0,0,0,2447.8
4307800,0,0,0,0,0,0,0,0,0,0,0,2541700,1006000,760150,0,0,0,0,0,0,0,0,0,0,0,0,0,3381.1
33862000,55842,0,0,0,0,1298000,0,706390,1974700,1391900,1130900,14827000,7012000,5465200,0,0,0,0,0,0,0,0,0,0,6717.1,28176,23584,23576
75329000,0,304480,2783600,4425700,2625600,22648000,7489000,9933900,10530000,5864700,4815900,2474000,955150,479220,0,0,25962,21329,18146,97848,28242,28983,18531,16097,17098,9668.2,8403.7,0
2618600,0,239190,0,0,0,0,0,0,0,0,0,0,2379400,0,0,0,0,0,0,0,0,0,0,0,0,0,7699.2,0
292030000,0,42155000,8899000,28876000,15234000,47152000,20155000,24868000,45570000,31466000,20745000,2820800,1833600,2259100,0,315240,100120,141710,211110,122520,171750,123370,89174,117840,60386,27769,40666,48417
52775000,0,8165100,2341600,1612900,1242200,8754200,4098800,4627200,9271700,5725600,3534800,1998700,842280,559910,0,125380,0,0,0,18306,20519,18313,20334,17797,13874,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9317700,0,664630,0,2477200,763630,1929900,0,1058300,0,0,0,1505500,559770,358910,0,11687,0,0,0,0,0,0,0,0,0,0,0,0
15735000,0,0,697750,1483400,1055500,6017600,1757500,3857200,0,0,866330,0,0,0,0,0,0,0,0,0,0,0,0,0,4094,0,0,0
43306000,0,2829800,0,0,2767500,4519000,2593300,4555400,1449100,534140,972100,8649800,7965000,6470700,0,0,0,0,0,0,0,0,0,0,0,16448,28485,26954
22841000,0,71758,0,0,0,0,0,0,0,0,0,9752900,6272400,6744200,0,0,0,0,0,0,0,0,0,0,0,0,0,29998
6093300,0,0,0,0,0,0,339060,385980,535910,602980,385550,1528000,1240700,1075200,0,0,0,0,0,0,0,0,0,0,0,0,0,4782.3
172710000,0,21652000,25315000,27126000,10565000,46794000,12547000,15344000,8122300,3227100,2018200,0,0,0,0,389440,277480,161110,97425,132970,62892,76608,30294,0,0,0,0,0
8997200,0,0,0,0,0,0,0,0,1261700,900060,515720,3133200,1533000,1653500,0,0,0,0,0,0,0,0,0,0,0,0,0,7354.9
8761900,0,0,0,0,0,8252700,0,509240,0,0,0,0,0,0,0,0,0,0,0,18938,0,0,0,0,0,0,0,0
28590000,0,0,0,0,0,3957600,1364100,1429000,7035300,2517800,1802300,5941300,2305500,2237100,0,0,0,0,0,0,0,0,0,0,0,0,0,9950.8
2389600,0,2389600,0,0,0,0,0,0,0,0,0,0,0,0,0,42019,0,0,0,0,0,0,0,0,0,0,0,0
125380000,0,10058000,3258300,12216000,9653700,24707000,11957000,12349000,9952200,6838300,4522700,11165000,5946800,2752400,0,0,51774,62325,75313,56666,57622,54294,22367,19850,20463,23715,18155,11449
9354200,0,0,0,0,0,0,0,0,0,190270,0,5382700,2134700,1646500,0,0,0,0,0,0,0,0,0,0,0,0,0,7323.8
24339000,0,0,0,0,0,558340,211850,0,1432100,833740,504680,9727000,6669100,4402000,0,0,0,0,0,0,0,0,0,0,0,0,0,19580
37189000,0,0,0,0,0,741800,0,0,808760,0,0,12877000,12000000,10761000,0,0,0,0,0,0,0,0,0,0,0,38033,36266,38199
5302700,0,4641500,0,0,0,443430,0,0,0,0,217680,0,0,0,0,0,0,0,0,0,0,0,0,0,1028.7,0,0,0
2100600000,384010,28772000,39144000,131130000,64111000,302690000,118510000,154640000,321200000,235840000,193140000,227750000,160060000,123240000,230320,333370,819210,837060,563320,702150,648240,575650,683870,690430,816710,389970,438990,438420
2036600,0,0,0,0,0,0,0,0,1138700,469010,428840,0,0,0,0,0,0,0,0,0,0,0,0,0,2026.6,0,0,0
38315000,0,1457200,1166600,4703100,3475000,8562600,3357700,5019500,3129300,3051600,2124700,1467900,381700,417840,0,0,0,21908,21665,19681,16120,22247,11901,11079,10786,0,0,0
12174000,0,2349600,0,0,0,0,0,0,0,0,0,9824100,0,0,0,41315,0,0,0,0,0,0,0,0,0,0,0,0
59251000,0,293420,4373600,11708000,6039300,13995000,6643200,5928600,3902000,3006000,1842800,0,478080,1041300,0,0,34520,81754,41961,0,32547,0,0,22451,0,0,0,0
14361000,0,0,0,0,0,0,0,0,0,0,0,6489600,4568700,3302300,0,0,0,0,0,0,0,0,0,0,0,13552,13578,15346
5274200,0,148400,0,0,0,593990,0,392290,1962300,1364700,812550,0,0,0,0,0,0,0,0,0,0,0,0,0,3839.8,0,0,0
1306600,0,0,0,0,0,1306600,0,0,0,0,0,0,0,0,0,0,0,0,0,2998.4,0,0,0,0,0,0,0,0
