iBAQ control_1,iBAQ control_2,iBAQ control_3,iBAQ     0.1% FA_1,iBAQ       0.1% FA_2,iBAQ          0.1% FA_3,iBAQ        0.2% FA_1,iBAQ          0.2% FA_2,iBAQ            0.2% FA_3,iBAQ             0.5% FA_1,iBAQ           0.5% FA_2,iBAQ           0.5% FA_3,iBAQ 1% FA_1,iBAQ 1% FA_2,iBAQ 1% FA_3
0.002337537,0.001897804,0.003993778,1.399744484,0.455228489,1.422119579,1.630987029,1.324759075,1.54268669,1.47896737,0.951632497,0.930347584,0.567356492,0.654686271,0.615393939
0,0,0.000501023,0.458064293,0.622313709,0.536733385,0.35885164,0.000582639,0.387067133,0,0,0.186926035,0.00028791,0,0
0.000540021,0,0,0.373239874,0.15536572,0.278592507,0.308562394,0.332135353,0.144250154,0.078056611,0.063086222,0.074854859,0.039305864,0.034538634,0.035958182
0,0,0.003247674,0.1981078,0.11426513,0.070522197,0.446229025,0.351539743,0.197188507,0.206689818,0.348767941,0.393666591,0.236215817,0.16952865,0.127545455
0.000150873,0,0,0,0,0.003860021,0,0,0.013028184,0.003495151,0,0.002690492,0,0,0
0.001265625,0.000899907,0.001758141,0.076454542,0.224927954,0.135315627,0.100614423,0.070612274,0.128382363,0.017704102,0.025520044,0.034407902,0.015129958,0.013020512,0.001604182
0.001043403,0,0,0,0.002574997,0,0.054429234,0.093485979,0.065579785,0.058504128,0.035763457,0.033381889,0.02530611,0.027400617,0
0,0.000444503,0.000862294,0,0.000358028,0,0.049507384,0.03701326,0.043303161,0.026751409,0.001972674,0.001760567,0,0.000487741,0
7.29085E-05,8.38909E-05,0.000197656,0.001641725,0.001617744,0.00260476,0.00017367,0.017932034,0.005359048,0.003962718,0.012545255,0.01358667,0.00581966,0.000146034,0
0.000881149,0,0.001149163,0.073533372,0.058794428,0.059766487,0.094800762,0.041137599,0.034466845,0.002206723,0.021008744,0.009524844,0.001675289,0.001402735,0.002461879
0,0.001087106,0,0.033581713,0.032823521,0.049933924,0.069975208,0.037386421,0,0.071006421,0.023957287,0.022742969,0,0.001963212,0
0.002104513,0.003989993,0.003867644,0.242146335,0.172780294,0.373255068,0.100125759,0.252988914,0.128800658,0.265004587,0.057340312,0.061645178,0.04184713,0.010914262,0.013019394
0.002795902,0.005056287,0.00376227,0.003472532,0.028056814,0.022371696,0.065001617,0.211158612,0.210224234,0.007273621,0.031039189,0.030311694,0.00086031,0,0
0.00707091,0,0.006050244,0.284755361,0.343673665,0.218090839,0.218116489,0.299956525,0.30383323,0.023519198,0.031021192,0.022145216,0.059889135,0.019298118,0.015896364
0.002880982,0,0.009861596,0.397486275,0.290263483,0.26643572,0.386058712,0.162198391,0.208324762,0.092170096,0.099464583,0.041565257,0.121316827,0.037154959,0.124563636
0,0,0.00126605,0.02202272,0.022823521,0.038197331,0.042178147,0.040816607,0.063754372,0,0,0.015484883,0,0.016247958,0.023515152
9.30037E-05,0.003039894,0.003575425,0.023829978,0.030963359,0.034707467,0.092587403,0.081965075,0.081505863,0.055786267,0.050529568,0.030687476,0.025346144,0.031766806,0.009253333
0.000499479,0.000502275,0.001516981,0,0.009307671,0,0.012647048,0,0.046423233,0,0.00083963,0,0.000812639,0.068130937,0.000484182
0.015537738,0.017964072,0,0.280639481,0.289927268,0.355292533,0.722791132,0.58992102,0.44047864,0.234490892,0.205996071,0.250700445,0.13960951,0.136879046,0.046641212
0,0,0.000832635,0.001433031,0.036852614,0.015907108,0.001964716,0.031759293,0.052403484,0.001675141,0,0.001693915,0,0.017758214,0.020449091
0.006642724,0.005918829,0.006593975,0.100362557,0.063504872,0.146875802,0.107534763,0.179943482,0.231283001,0.076680645,0.0277433,0.020789867,0.023452821,0.028926605,0.011288485
0.006143267,0.031160612,0,0.443051,0.646747633,0.708942776,0.541432216,0.390819506,0.57132963,0.126890316,0.121553159,0.04605112,0.080789603,0.059466933,0.001619697
0.000519001,0.00028875,0.002195511,0.000390615,0.001455743,0.000500763,0.07508893,0.000536251,0.000670616,0.141724545,0.12090526,0.001068235,0.113981276,0.099068191,0.00102503
0.001529775,0,0.003507211,0.043821691,0.050885824,0.043977419,0.063226618,0.054372872,0.068123157,0,0.027005414,0.002585418,0,0,0
0.043362009,0.222722555,0.086915562,3.072131487,2.366474544,2.255196305,2.557292228,3.940946308,1.902832065,2.978508714,2.002249651,1.36059715,0.062090416,0.744599746,2.622484848
0.001536847,0.001480133,0.038170505,0.106902386,0.303190613,0.220150115,0.11831411,0.257705963,0.602694919,0.196068667,0.170133629,0.186003167,0.025687361,0.000775216,0.002351758
0,0.044522156,0.012461619,0.353413211,0.643838342,0.581575571,0.484308864,0.73067169,0.800041144,0.582066571,0.324465708,0.511703235,0.272782705,0.236237672,0.20510303
0.003072469,0.001364471,0.003547104,0,0.05914025,0.212490377,0.073910388,0.005404536,0.104662964,0.894509239,0.717968715,0.713745005,1.251970929,1.158952018,0.005259636
0.00337476,0.012073985,0.006102582,0.085963882,0.05395293,0.073255068,0.161359635,0.159329034,0.173523966,0.068549338,0.007489239,0.099711981,0.115299335,0.129708961,0.0199
0.005216292,0.005334398,0.008566527,0.018552536,0.022632771,0.014182063,0.151112069,0.14309108,0.102982925,0.128167999,0.101090331,0.060360401,0.059892831,0.041528408,0.013576364
0,0,0.002174459,0.090770346,0.006067106,0.035248268,0.051904711,0.034162742,0.048643626,0.040750229,0.020307452,0.026543014,0.001428923,0.004556665,0.004929576
0,0.000349264,0,0,0.001565802,0.000836477,0,0,0.006962216,0.001515463,0,0.001340391,0,0.000434743,0.001549879
0.002508923,0.002965855,0.003648407,0.036299852,0.04745986,0.039620221,0.065816536,0.04019129,0.073469108,0.067120954,0.05393824,0.050863907,0.002932126,0.023758093,0.003942667
0.02446783,0.01942515,0.018546174,0.289720659,0.144648003,0.140030793,0.32613273,0.398702993,0.50205719,0.25846547,0.109764986,0.106950162,0.113408475,0.104053972,0.023527273
0,0.001114997,0,0.011587998,0.005501853,0.004386708,0,0.021541193,0.022269766,0.041246232,0.016108703,0.012300686,0.001195615,0,0
0.014567777,0.014585762,0.026795185,0.15381375,0.29230822,0.104394406,0.246365564,0.423483806,0.401515463,0.131712751,0.139148432,0.127404056,0.137835674,0.030013917,0.096806061
0,0.048558882,0,0.525389317,0.353760121,0.509346934,0.858539039,0.667900877,1.145031886,0.696173503,0.456181292,0.419482772,0.210698448,0.076783445,0.305351515
0.001962582,0,0.001385904,0.049842202,0.008490462,0.0028835,0.028537243,0.02606188,0.035136117,0.011803826,0,0.021843625,0,0,0
0.25334781,0.413274784,0.301645732,4.260764476,4.687457115,4.314921735,4.775753656,5.771900587,6.364876911,3.968156205,2.925206593,3.958501093,2.165311653,1.630120409,1.336848485
0.00391904,0.025475981,0.024287625,0.103863817,0.14190339,0.197703362,0.252919406,0.355611912,0.301056024,0.165843271,0.15851343,0.04951097,0.064991377,0.123628003,0.072115152
0.006886606,0,0.008613631,0.009373986,0.012422808,0.026553759,0.043549998,0.165893776,0.184015635,0.034363779,0.053809859,0.112523562,0.013215078,0.007929449,0.00712303
0,0.109705921,0,1.04285073,0.651660491,1.010200154,2.000862348,1.949931164,1.498182816,1.291573844,1.669541221,0.680328734,0.458382607,1.164821202,0.556509091
0.004706367,0.004615462,0.006178181,0,0,0,0,0.084870662,0,0.061949286,0.10206218,0,0.052798719,0.013757488,0.014004242
0.000441109,0.000539295,0.002176785,0.032545147,0.001911212,0.020630613,0.007217851,0.017701616,0.026773641,0.016733063,0.002017007,0.00961713,0.001250431,0.001088098,0.001345818
0.017175311,0.020233134,0.051013026,0.289920928,0.370646357,0.384379009,0.487801373,0.401753496,0.546910787,0.264355917,0.420252861,0.459407374,0.228720128,0.014151994,0.068509091
