iBAQ 1Methanol_1,iBAQ  1Methanol_2,iBAQ  1Methanol_3,iBAQ  5Methanol_1,iBAQ  5Methanol_2,iBAQ  5Methanol_3,iBAQ  9Methanol_1,iBAQ  9Methanol_2,iBAQ  9Methanol_3,iBAQ 1Ethanol_1,iBAQ  1Ethanol_2,iBAQ  1Ethanol_3,iBAQ 5Ethanol_1,iBAQ  5Ethanol_2,iBAQ  5Ethanol_3,iBAQ 9Ethanol_1,iBAQ  9Ethanol_2,iBAQ  9Ethanol_3,iBAQ 1Isopropanol _1,iBAQ  1Isopropanol_2,iBAQ  1Isopropanol_3,iBAQ 5Isopropanol _1,iBAQ  5Isopropanol_2,iBAQ  5Isopropanol_3,iBAQ 9Isopropanol _1,iBAQ  9Isopropanol_2,iBAQ  9Isopropanol_3,iBAQ control_1,iBAQ control_2,iBAQ control_3
0.8181372,0.8181372,0.8181372,0.8181372,0.044956824,0.05928293,0.000772999,0.054677879,0.291249074,0.176616306,0.217907439,0.181409945,0.08667958,0.076104192,0.063242173,0.039841831,0.010071292,0.043625742,0.581271682,0.490704594,0.556338258,0.00119919,0,0,0.144494098,0.361250677,0,0.000451624,0.000291979,0.000662339
0.809044491,0.809044491,0.809044491,0.809044491,0,0.139872717,0.114098862,0,0,0.730450153,1.156274541,1.025276067,0.077075641,0.244873307,0.184141833,0.001120761,0,0.139116385,0.953051958,0.764311649,0.92129814,0,0,0,0.274418212,0.196206331,0.35587084,0,0.000852364,0
0.065076591,0.065076591,0.065076591,0.065076591,0.001572706,0,0.054559709,0.069354244,0.064619079,0.082544802,0.11725695,0.087603566,0.119833343,0.059737122,0.090982648,0,0.04317474,0.061675947,0.092959803,0.104634053,0.140586135,0.105705845,0.074903108,0.086360048,0.083094435,0.103514538,0.089582721,0,0,0.000367994
0.019177351,0.019177351,0.019177351,0.019177351,0.000577795,0.311510383,0.385180228,0.160560343,0.204037841,0.152502355,0.527904298,0.261505534,0.150348042,0.076111862,0.310260279,0.204311102,0.057152211,0.245696029,0.101224266,0.216046518,0.048614312,0.085240036,0.419696148,0.044149346,0.223389545,0.580811706,0.264029211,0.000422904,0,0
0.472924219,0.472924219,0.472924219,0.472924219,0,0.005979242,0.331503968,0.337302901,0.010614361,1.059052731,0.845335323,1.145471973,0.149230273,0.001973597,0.148679743,0,0.005863577,0.182583295,0.547249421,0.393191559,0.448760552,0.009896772,0.233683435,0.008454507,0.257150084,0.317664194,0.290548172,0.000529698,0.003664857,0.00391883
0,0,0,0,0.006809491,0.001057727,0,0.000857691,0.000957297,0.000488678,0.043319721,0.04670492,0.030381535,0.050784703,0.001318088,0.011447734,0.104605311,0.092655408,0.060981556,0.010024023,0.064540095,0,0.000922487,0.001082254,0.015483811,0.008469142,0.021393096,0.00023727,0.000340268,0
0.303710273,0.303710273,0.303710273,0.303710273,0.167458185,0,0.206578067,0.217175396,0.198724444,0.50839279,0.290757028,0.488202314,0.273671892,0.340552408,0.335213127,0.48745584,0.26318034,0.529840256,0.169495158,0.154800579,0.200335568,0.324393322,0.11836098,0.298197384,0.579443508,0,0,0.001293461,0,0
0.316918811,0.316918811,0.316918811,0.316918811,0.022686304,0.027858242,0.007456736,0.000465773,0.001485197,0.482020979,0.080908068,0.23662338,0.133920465,0.024485413,0.108555262,0.150443843,0.148495122,0.006521041,0.35046948,0.417965658,0.362361513,0.007561828,0.009085342,0.00870868,0.198920742,0.023478943,0.015694769,0.002717802,0.004290891,0.001658749
0.000748564,0.000748564,0.000748564,0.000748564,0.006114358,0,0.012828951,0.001332621,0,0.155702066,0.086471912,0.062223769,0.001280451,0.00077803,0,0.000882431,0.010131254,0,0.126924468,0.072713003,0.039249737,0.001245471,0.012761026,0.021591439,0.039913997,0.015870449,0.001433896,0,0.000653753,0
0.631650551,0.631650551,0.631650551,0.631650551,0.036054376,0.013401806,0.012041113,0.010915712,0,0.65905015,0.940827705,0.703698841,0.157887941,0.135618894,0.144984911,0.015893693,0.018484999,0.049849384,0.418714923,0.692883077,0.67654221,0,0.039436865,0,0.014650759,0.025220052,0.097959247,0.006048704,0,0.006696836
